"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
0,8,0,8201.28311553097,0,5810.19818945741,0,1830.67925209653,0,714.721608432349
0,8,5,8329.62896719051,5,5850.38072384045,5,1108.92404342719,5,205.609738218654
0,8,10,8394.58131284224,10,5846.03832835861,10,378.729253200732,10,-305.06694625344
0,8,15,8395.64582591646,15,5797.2040512635,15,-354.347895325561,15,-813.42188706009
0,8,20,8332.81440482591,20,5704.24955089076,20,-1084.72824240732,20,-1315.58619614865
0,8,25,8206.56523462372,25,5567.88226711569,25,-1806.85315258754,25,-1807.73809991185
0,8,30,8017.85914772647,30,5389.14003730864,30,-2515.2268192688,30,-2286.13202519261
0,8,35,7768.13231139931,35,5169.38319776595,35,-3204.45809111995,35,-2747.1271053574
0,8,40,7459.28529765587,40,4910.28423072935,40,-3869.30150199298,40,-3187.21488948972
0,8,45,7093.66861875766,45,4613.81503578621,45,-4504.69719208772,45,-3603.04604382006
0,8,50,6674.06483839648,50,4282.23192252305,50,-5105.80941654013,50,-3991.45584217825
0,8,55,6203.66739470457,55,3918.05843864716,55,-5668.06334836066,55,-4349.48825147052
0,8,60,5686.05629626218,60,3524.0661642648,60,-6187.17989562995,60,-4674.41842887629
0,8,65,5125.17087607056,65,3103.25361848305,65,-6659.20826797212,65,-4963.7734595473
0,8,70,4525.27981084926,70,2658.82343886888,70,-7080.55604445514,70,-5215.35117698278
0,8,75,3890.94863382875,75,2194.15800744343,75,-7448.01651408322,75,-5427.2369228463
0,8,80,3227.00498828577,80,1712.79370871251,80,-7758.7930808038,80,-5597.81811867169
0,8,85,2538.50188626305,85,1218.39401564517,85,-8010.52054729211,85,-5725.79653855901
0,8,90,1830.67925209653,90,714.721608432353,90,-8201.28311553097,90,-5810.19818945741
5,8,0,7688.07610658088,0,7631.95512011881,0,1904.85729750125,0,570.963020581685
5,8,5,7827.30107649579,5,7653.72014257628,5,1282.54670455821,5,21.6332850595728
5,8,10,7920.56908591713,10,7624.43914277946,10,648.300058912661,10,-525.451070746469
5,8,15,7966.50389381836,15,7544.85623914655,15,4.8175225444409,15,-1065.39854061736
5,8,20,7963.71306604131,20,7416.18933888682,20,-644.977039088952,20,-1593.45962296571
5,8,25,7910.83252994349,25,7240.10865724666,25,-1297.8907149684,25,-2105.07120256684
5,8,30,7806.58327508539,30,7018.71208421008,30,-1950.42565105024,30,-2595.89844746914
5,8,35,7649.8381726752,35,6754.49744196341,35,-2598.75521820038,35,-3061.87432642307
5,8,40,7439.69633847924,40,6450.33153518573,40,-3238.71442655293,40,-3499.23675891721
5,8,45,7175.5620128835,45,6109.41579835245,45,-3865.80620784876,45,-3904.56326411148
5,8,50,6857.22460628409,50,5735.24830712372,50,-4475.22453076056,50,-4274.80279112775
5,8,55,6484.93638072656,55,5331.5819571714,55,-5061.8945907654,55,-4607.30421154619
5,8,60,6059.4842244932,60,4902.3787294201,60,-5620.52956178579,60,-4899.8407599445
5,8,65,5582.25213041378,65,4451.76015354405,65,-6145.70265104547,65,-5150.62954615337
5,8,70,5055.27130597787,70,3983.95434105992,70,-6631.93250150696,70,-5358.34515903241
5,8,75,4481.25530853117,75,3503.24026680065,75,-7073.77937573712,75,-5522.12635790171
5,8,80,3863.61818732816,80,3013.89030753155,80,-7465.94906389157,80,-5641.5749201666
5,8,85,3206.4742938326,85,2520.11236892092,85,-7803.40111210001,85,-5716.74589001832
5,8,90,2514.61915505529,90,2025.99321491815,90,-8081.45778211677,90,-5748.1287520199
10,8,0,6803.60238506821,0,9169.58737219134,0,1930.27552112317,0,426.963053006854
10,8,5,6949.24572250533,5,9175.39937503409,5,1424.72099867562,5,-139.542832363666
10,8,10,7069.91405118437,10,9127.94160760442,10,904.198139208697,10,-700.643034639692
10,8,15,7163.40427285336,15,9028.42537202137,15,368.152565475171,15,-1251.25333872367
10,8,20,7226.89188620246,20,8878.4816612165,20,-183.553906271181,20,-1786.49247385306
10,8,25,7257.01734894648,25,8680.13867620029,25,-750.48362898254,25,-2301.69913390298
10,8,30,7250.00824240897,30,8435.80657409118,30,-1331.48173273549,30,-2792.44813592569
10,8,35,7201.83348097494,35,8148.26868861112,35,-1924.56105123593,35,-3254.56906117912
10,8,40,7108.38385328487,40,7820.67719922328,40,-2526.82063632872,40,-3684.17042328022
10,8,45,6965.67140744519,45,7456.55008257684,45,-3134.40379080219,45,-4077.67166884361
10,8,50,6770.03875787428,50,7059.76532927774,50,-3742.49972706129,50,-4431.84418474055
10,8,55,6518.36843907256,55,6634.54799068528,55,-4345.39075681283,55,-4743.86107215049
10,8,60,6208.28206962849,60,6185.44572276174,60,-4936.54448415494,60,-5011.35390643048
10,8,65,5838.31937636375,65,5717.28913882635,65,-5508.74799262753,65,-5232.47321230909
10,8,70,5408.08806188698,70,5235.13442351744,70,-6054.2786794257,70,-5405.94812202267
10,8,75,4918.37701490543,75,4744.18719024732,75,-6565.10438031126,75,-5531.13979928648
10,8,80,4371.22734206847,80,4249.70833659814,80,-7033.10389769292,80,-5608.08281070091
10,8,85,3769.95798362736,85,3756.9044992725,85,-7450.29809356411,85,-5637.50876348746
10,8,90,3119.14508456569,90,3270.80746504927,90,-7809.08138232231,90,-5620.84720882603
15,8,0,5630.46497344557,0,10359.2886669713,0,1907.83089547922,0,290.027472331011
15,8,5,5777.69553396293,5,10351.7874298699,5,1527.81757044884,5,-272.664285344583
15,8,10,5922.66021836275,10,10292.6509457977,10,1130.67196569831,10,-827.302274208944
15,8,15,6062.54647828553,15,10183.4168868682,15,712.461683871147,15,-1369.25317577779
15,8,20,6193.26870835474,20,10025.8270278024,20,269.800034130034,20,-1894.13638473542
15,8,25,6309.57515941523,25,9821.80125002671,25,-199.860301307146,25,-2397.77846582136
15,8,30,6405.22191856073,30,9573.44226109178,30,-697.954014643752,30,-2876.1645579992
15,8,35,6473.21062534909,35,9283.07096228579,35,-1224.56715947269,35,-3325.39763307355
15,8,40,6506.08204662923,40,8953.28783834459,40,-1778.25469175048,40,-3741.6765214784
15,8,45,6496.25312185897,45,8587.05136124761,45,-2355.92590832411,45,-4121.30196245909
15,8,50,6436.38107523769,50,8187.76095229533,50,-2952.80869065528,50,-4460.71676388731
15,8,55,6319.7351592128,55,7759.33015670367,55,-3562.49874272042,55,-4756.58189277406
15,8,60,6140.55499263603,60,7306.23570245069,60,-4177.09439624732,60,-5005.88558459595
15,8,65,5894.37459869189,65,6833.5300362096,65,-4787.41160495171,65,-5206.07804798449
15,8,70,5578.29322563836,70,6346.80840951106,70,-5383.26812167247,70,-5355.22065906257
15,8,75,5191.1776726421,75,5852.12604885123,75,-5953.82118930115,75,-5452.13609316578
15,8,80,4733.78571487776,80,5355.86573477861,80,-6487.93987522489,80,-5496.54478515567
15,8,85,4208.8057243351,85,4864.56067991613,85,-6974.59169534574,85,-5489.17337667598
15,8,90,3620.81306735467,90,4384.68157260531,90,-7403.22338447031,90,-5431.8222062502
20,8,0,4268.38008922844,0,11178.5167657164,0,1842.3410146272,0,165.066325901157
20,8,5,4412.82564220585,5,11159.914123505,5,1587.88548135792,5,-376.534074034952
20,8,10,4577.54422587245,10,11094.4143765762,10,1315.22219236385,10,-907.792372209944
20,8,15,4759.43175873409,15,10983.8639793675,15,1017.20500119239,15,-1424.96685606094
20,8,20,4953.47914350611,20,10829.9608592327,20,687.26048354535,20,-1924.65275506012
20,8,25,5152.86529269446,25,10634.2032469732,25,319.823517263877,25,-2403.64390705612
20,8,30,5349.1525817643,30,10397.9109270317,30,-89.2372913689781,30,-2858.78000560779
20,8,35,5532.58611167806,35,10122.3230638942,35,-542.232949653017,35,-3286.80430419129
20,8,40,5692.49029035879,40,9808.76464179911,40,-1039.33647537248,40,-3684.25769412453
20,8,45,5817.74734773361,45,9458.86145554888,45,-1578.36328540969,45,-4047.431683673
20,8,50,5897.33335496238,50,9074.77403997141,50,-2154.67357762306,50,-4372.39534298241
20,8,55,5920.87942914314,55,8659.4161274767,55,-2761.21217109442,55,-4655.10104310893
20,8,60,5879.22058920284,60,8216.62434250653,60,-3388.68987631771,60,-4891.56280066026
20,8,65,5764.89352007423,65,7751.25254276398,65,-4025.89772005386,65,-5078.09139397571
20,8,70,5572.54798830879,70,7269.17470368777,70,-4660.13324454093,70,-5211.56380124127
20,8,75,5299.2445439486,75,6777.19185517107,75,-5277.70863858711,75,-5289.70158902297
20,8,80,4944.62213779435,80,6282.84873960921,80,-5864.50509769503,80,-5311.33319870818
20,8,85,4510.93137646222,85,5794.17296798122,85,-6406.5370580533,85,-5276.61740355493
20,8,90,4002.94019670512,90,5319.35334147939,90,-6890.4932461049,90,-5187.20817249517
25,8,0,2821.91958503311,0,11642.3134099333,0,1741.23489835489,0,54.4206203096089
25,8,5,2960.30018221371,5,11614.2785064442,5,1604.32067214013,5,-453.406805765994
25,8,10,3139.56906569866,10,11546.2064658474,10,1449.245451183,10,-948.879343655547
