"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
0,8,0,-2146.81563271466,0,2878.03674612114,0,3071.22993776527,0,-6587.82085580452
0,8,5,-1870.97102471604,5,2292.91852762294,5,3246.65029163393,5,-6813.58963879393
0,8,10,-1580.88719749615,10,1690.34981462747,10,3397.36167640222,10,-6987.50289047421
0,8,15,-1278.77186413752,15,1074.91651888156,15,3522.21708743001,15,-7108.23702598838
0,8,20,-966.924304749236,20,451.302459374625,20,3620.26629964964,20,-7174.87318566391
0,8,25,-647.717867556956,25,-175.746284352027,25,3690.76309935238,25,-7186.90422808966
0,8,30,-323.581906289825,30,-801.45749273625,30,3733.17096332535,30,-7144.23858976823
0,8,35,3.01670866826864,35,-1421.06912566749,35,3747.16714211716,35,-7047.20098196945
0,8,40,329.592364651858,40,-2029.8655644874,40,3732.64511635608,40,-6896.5299194816
0,8,45,653.659623727135,45,-2623.21350069522,45,3689.71540742678,45,-6693.37210006787
0,8,50,972.752138375376,50,-3196.59719822313,50,3618.70473633589,50,-6439.27367740404
0,8,55,1284.44142188678,55,-3745.65286091441,55,3520.15353716783,55,-6136.16849391542
0,8,60,1586.35533061069,60,-4266.20184364709,60,3394.81184405509,60,-5786.36336306827
0,8,65,1876.19611740112,65,-4754.28245434651,65,3243.63358296566,65,-5392.52051312644
0,8,70,2151.75791885993,70,-5206.18010485412,70,3067.76931175036,70,-4957.63732598681
0,8,75,2410.94354328927,75,-5618.4555811863,75,2868.55746370288,75,-4485.02352529316
0,8,80,2651.78043158666,80,-5987.97121802942,80,2647.51416127426,80,-3978.27598744078
0,8,85,2872.43566961087,85,-6311.91477826745,85,2406.3216774656,85,-3441.25136717525
0,8,90,3071.22993776527,90,-6587.82085580452,90,2146.81563271466,90,-2878.03674612114
5,8,0,-1252.83246213434,0,2625.75003399427,0,1338.28587571496,0,-7296.80882502643
5,8,5,-1103.0334817743,5,1978.16824710161,5,1558.1445776323,5,-7516.7830155468
5,8,10,-928.735682401309,10,1314.94498438967,10,1774.91286303532,10,-7672.30371107674
5,8,15,-728.490770897848,15,642.867796325645,15,1985.21478310735,15,-7762.40651263497
5,8,20,-501.415177284115,20,-31.2569398199593,20,2185.25043782209,20,-7786.92844414422
5,8,25,-247.276071688403,25,-700.708458920175,25,2370.90225977599,25,-7746.50062307179
5,8,30,33.4437890671809,30,-1358.95445525257,30,2537.85691195086,30,-7642.52544826956
5,8,35,339.504999338677,35,-1999.74981182105,35,2681.73849240459,35,-7477.13839068427
5,8,40,668.895970578074,40,-2617.22860157909,40,2798.24831813832,40,-7253.15494106296
5,8,45,1018.84373269327,45,-3205.98676496577,45,2883.30631153381,45,-6974.00378746559
5,8,50,1385.85090771768,50,-3761.15300307776,50,2933.18894765884,50,-6643.64783999493
5,8,55,1765.75772252405,55,-4278.44569592526,55,2944.65884639774,55,-6266.49525793526
5,8,60,2153.82699531849,60,-4754.2140652035,60,2915.08141039728,60,-5847.30312660927
5,8,65,2544.84917636228,65,-5185.46234289656,65,2842.52441082706,65,-5391.07683627342
5,8,70,2933.26378614146,70,-5569.85635921525,70,2725.83709117454,70,-4902.96849364862
5,8,75,3313.29301035812,75,-5905.7126912565,75,2564.70616800408,75,-4388.17781517407
5,8,80,3679.08281076563,80,-6191.9712721885,80,2359.68702060869,80,-3851.85888774964
5,8,85,4024.84671487564,85,-6428.15309799854,85,2112.20933481008,85,-3299.03593001777
5,8,90,4345.00746515584,90,-6614.30533177958,90,1824.55745090753,90,-2734.53075384675
10,8,0,-372.12857603896,0,2172.93340642376,0,-351.50906212652,0,-7761.02324647505
10,8,5,-349.269478920481,5,1497.91162664486,5,-91.1693494400598,5,-7968.83656510247
10,8,10,-291.102482263723,10,809.32794108611,10,188.834385089478,10,-8102.07361216404
10,8,15,-192.342987307387,15,115.699191567831,15,482.623369931666,15,-8159.82804977478
10,8,20,-48.8342818352308,20,-574.410659812958,20,783.215584170993,20,-8142.34567731904
10,8,25,142.25604252643,25,-1252.5514613869,25,1082.7542521829,25,-8051.03781782482
10,8,30,382.285732462583,30,-1910.55589160672,30,1372.77031174587,30,-7888.46885948915
10,8,35,671.038775584305,35,-2540.71249123477,35,1644.46988824391,35,-7658.3143835266
10,8,40,1006.68136318072,40,-3135.9371078357,40,1889.03701921253,40,-7365.28702837554
10,8,45,1385.77518171174,45,-3689.93573741159,45,2097.94117382157,45,-7015.02852812517
10,8,50,1803.34854218473,50,-4197.35067449328,50,2263.23854695552,50,-6613.96820740224
10,8,55,2253.02380581505,55,-4653.88138652262,55,2377.85579694506,55,-6169.15051435247
10,8,60,2727.19723858858,60,-5056.37181093496,60,2435.84500621596,60,-5688.03673209462
10,8,65,3217.26494422619,65,-5402.85695372952,65,2432.59934055341,65,-5178.28855002891
