"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,-0.207556974677856,0,-0.917978839986872
5,8,0,-0.207556974677855,0,-0.917978839986871
10,8,0,-0.207556974677854,0,-0.917978839986869
15,8,0,-0.207556974677854,0,-0.91797883998687
20,8,0,-0.207556974677856,0,-0.917978839986871
25,8,0,-0.207556974677858,0,-0.917978839986873
30,8,0,-0.207556974677854,0,-0.917978839986869
35,8,0,-0.207556974677854,0,-0.91797883998687
40,8,0,-0.207556974677855,0,-0.917978839986871
45,8,0,-0.207556974677854,0,-0.91797883998687
50,8,0,-0.207556974677854,0,-0.917978839986869
55,8,0,-0.207556974677855,0,-0.917978839986871
60,8,0,-0.207556974677857,0,-0.917978839986873
65,8,0,-0.207556974677854,0,-0.917978839986869
70,8,0,-0.207556974677856,0,-0.917978839986872
75,8,0,-0.207556974677857,0,-0.917978839986873
80,8,0,-0.207556974677856,0,-0.917978839986871
85,8,0,-0.207556974677854,0,-0.91797883998687
90,8,0,-0.207556974677855,0,-0.917978839986871
0,8,5,-0.725322451459389,5,-1.4357443167684
5,8,5,-0.719051941073569,5,-1.42947380638258
10,8,5,-0.706112735290714,5,-1.41653460059973
15,8,5,-0.686743975833271,5,-1.39716584114229
20,8,5,-0.661287133958161,5,-1.37170899926718
25,8,5,-0.630173183115929,5,-1.34059504842494
30,8,5,-0.593907334437686,5,-1.3043291997467
35,8,5,-0.5530523737495,5,-1.26347423905852
40,8,5,-0.508211631023479,5,-1.21863349633249
45,8,5,-0.460012504550903,5,-1.17043436985992
50,8,5,-0.409091279107566,5,-1.11951314441658
55,8,5,-0.356079753080225,5,-1.06650161838924
60,8,5,-0.301593957334668,5,-1.01201582264368
65,8,5,-0.246225037044488,5,-0.956646902353504
70,8,5,-0.190532197159447,5,-0.900954062468462
75,8,5,-0.135037493736744,5,-0.845459359045759
80,8,5,-0.0802221892213594,5,-0.790644054530375
85,8,5,-0.026524374988872,5,-0.736946240297887
90,8,5,0.0256624108665314,5,-0.684759454442484
0,8,10,-0.952274857950467,10,-1.66269672325948
5,8,10,-0.935683223330752,10,-1.64610508863977
10,8,10,-0.902954447325223,10,-1.61337631263424
15,8,10,-0.855105414357979,10,-1.56552727966699
20,8,10,-0.79353088653517,10,-1.50395275184419
25,8,10,-0.719903979637059,10,-1.43032584494607
30,8,10,-0.636067087823128,10,-1.34648895313214
35,8,10,-0.543926254141694,10,-1.25434811945071
40,8,10,-0.44535952023773,10,-1.15578138554674
45,8,10,-0.342146050128522,10,-1.05256791543754
50,8,10,-0.235918791933355,10,-0.946340657242371
55,8,10,-0.128139892228193,10,-0.838561757537208
60,8,10,-0.0200954586063868,10,-0.730517323915402
65,8,10,0.087095280598617,10,-0.623326584710399
70,8,10,0.192461917497627,10,-0.517959947811388
75,8,10,0.295161140979631,10,-0.415260724329384
80,8,10,0.394455738617811,10,-0.315966126691204
85,8,10,0.489697521454162,10,-0.220724343854853
90,8,10,0.58031603676864,10,-0.130105828540375
0,8,15,-0.879079165616687,15,-1.5895010309257
5,8,15,-0.85133745571956,15,-1.56175932102857
10,8,15,-0.797457869878673,15,-1.50787973518769
15,8,15,-0.719892215634385,15,-1.4303140809434
20,8,15,-0.621936717849248,15,-1.33235858315826
25,8,15,-0.507378125431404,15,-1.21779999074042
30,8,15,-0.38013234929526,15,-1.09055421460428
35,8,15,-0.243931654050446,15,-0.954353519359462
40,8,15,-0.102096033895267,15,-0.812517899204282
45,8,15,0.042597934853956,15,-0.66782393045506
50,8,15,0.187955704965362,15,-0.522466160343654
55,8,15,0.33232756149553,15,-0.378094303813485
60,8,15,0.474518114853342,15,-0.235903750455673
65,8,15,0.613666312001768,15,-0.0967555533072475
70,8,15,0.749118213214581,15,0.0386963479055662
75,8,15,0.880311302041267,15,0.169889436732251
80,8,15,1.00668430918411,15,0.2962624438751
85,8,15,1.12762091549477,15,0.417199050185753
90,8,15,1.24242985234537,15,0.532007987036356
0,8,20,-0.588532409082832,20,-1.29895427439185
5,8,20,-0.552845689266142,20,-1.26326755457516
10,8,20,-0.482383035082228,20,-1.19280490039124
15,8,20,-0.381438628659913,20,-1.09186049396893
20,8,20,-0.255786234347979,20,-0.966208099656994
25,8,20,-0.111867967875952,20,-0.822289833184968
30,8,20,0.0439926441969661,20,-0.666429221112049
35,8,20,0.206215072350276,20,-0.504206792958739
40,8,20,0.370356672671632,20,-0.340065192637383
45,8,20,0.533273066735907,20,-0.177148798573108
50,8,20,0.693077224055504,20,-0.0173446412535114
55,8,20,0.848946866216546,20,0.13852500090753
60,8,20,1.00083342775968,20,0.290411562450663
65,8,20,1.1491245393527,20,0.438702674043684
70,8,20,1.29430923483748,20,0.583887369528469
75,8,20,1.43669018008493,20,0.72626831477591
80,8,20,1.57617800222847,20,0.865756136919454
85,8,20,1.71218830370011,20,1.0017664383911
90,8,20,1.84364396628812,20,1.13322210097911
0,8,25,-0.1959026126745,25,-0.906324477983515
5,8,25,-0.157700591247368,25,-0.868122456556384
10,8,25,-0.0781197930389689,25,-0.788541658347984
15,8,25,0.036729452674952,25,-0.673692412634064
20,8,25,0.178466791347945,25,-0.53195507396107
25,8,25,0.337853754113101,25,-0.372568111195914
30,8,25,0.506126674221739,25,-0.204295191087277
35,8,25,0.676001817681075,25,-0.0344200476279403
40,8,25,0.84226095198885,25,0.131839086679835
45,8,25,1.00193883351963,25,0.291516968210617
50,8,25,1.1541840928727,25,0.443762227563685
55,8,25,1.29987264740178,25,0.589450782092768
60,8,25,1.44104807579291,25,0.730626210483898
65,8,25,1.58026559046275,25,0.86984372515374
70,8,25,1.71992778398099,25,1.00950591867198
75,8,25,1.86171002091234,25,1.15128815560333
80,8,25,2.00616557672939,25,1.29574371142038
85,8,25,2.15256708527704,25,1.44214521996802
90,8,25,2.29898829000217,25,1.58856642469316
0,8,30,0.202223019585611,30,-0.508198845723404
5,8,30,0.237514007993827,30,-0.472907857315189
10,8,30,0.318724869377684,30,-0.391696995931331
15,8,30,0.438333968094538,30,-0.272087897214477
20,8,30,0.585638595431072,30,-0.124783269877943
25,8,30,0.748789058644413,30,0.0383671933353974
30,8,30,0.916703043727913,30,0.206281178418898
35,8,30,1.08049157738226,30,0.370069712073249
40,8,30,1.23428660469118,30,0.523864739382168
45,8,30,1.37552121884364,30,0.665099353534627
50,8,30,1.50475863102882,30,0.794336765719803
55,8,30,1.62514850156027,30,0.914726636251251
60,8,30,1.74157247053737,30,1.03115060522836
65,8,30,1.85956301142504,30,1.14914114611603
70,8,30,1.98414126047892,30,1.27371939516991
75,8,30,2.11878245697066,30,1.40836059166165
80,8,30,2.26472648953271,30,1.55430462422369
85,8,30,2.42077275532408,30,1.71035089001506
90,8,30,2.58355625641283,30,1.87313439110382
0,8,35,0.542890935161852,35,-0.167530930147163
5,8,35,0.571308349882521,35,-0.139113515426494
10,8,35,0.648060266707027,35,-0.0623615986019879
15,8,35,0.764853346039318,35,0.0544314807303024
20,8,35,0.909293076027105,35,0.19887121071809
25,8,35,1.06740620222308,35,0.356984336914064
30,8,35,1.22606368026321,35,0.5156418149542
35,8,35,1.3748350167792,35,0.664413151470186
40,8,35,1.50714143125374,35,0.796719565944729
45,8,35,1.62076311353283,35,0.910341248223814
50,8,35,1.71777870576456,35,1.00735684045554
55,8,35,1.80395980951807,35,1.09353794420905
60,8,35,1.88761416558439,35,1.17719230027537
65,8,35,1.9779413592772,35,1.26751949396818
70,8,35,2.08313906396032,35,1.37271719865131
75,8,35,2.20868431003845,35,1.49826244472943
80,8,35,2.35625905909011,35,1.64583719378109
85,8,35,2.52359833387819,35,1.81317646856918
90,8,35,2.70519212530248,35,1.99477025999347
0,8,40,0.792299639864101,40,0.0818777745550859
5,8,40,0.812046710357125,40,0.101624845048111
10,8,40,0.880103536505793,40,0.169681671196778
15,8,40,0.988119480837287,40,0.277697615528272
20,8,40,1.12291417072385,40,0.41249230541484
25,8,40,1.26918731752028,40,0.55876545221127
30,8,40,1.41224389069347,40,0.701822025384457
35,8,40,1.54023601590872,40,0.829814150599701
40,8,40,1.6457540518973,40,0.935332186588287
45,8,40,1.7267631045032,40,1.01634123919418
50,8,40,1.78686186134143,40,1.07643999603241
55,8,40,1.83474103827866,40,1.12431917296964
60,8,40,1.88268605410311,40,1.1722641887941
65,8,40,1.94413957135858,40,1.23371770604956
70,8,40,2.03073990213718,40,1.32031803682817
75,8,40,2.14967513744725,40,1.43925327213823
80,8,40,2.30226163474602,40,1.591839769437
85,8,40,2.48416918911312,40,1.77374732380411
90,8,40,2.686956783419,40,1.97653491810998
0,8,45,0.938422718218971,45,0.228000852909956
5,8,45,0.949944474139023,45,0.239522608830008
10,8,45,1.00684545348081,45,0.296423588171796
15,8,45,1.10136669928866,45,0.390944833979644
20,8,45,1.22063053362719,45,0.510208668318174
25,8,45,1.34909218510708,45,0.638670319798064
30,8,45,1.47121316279116,45,0.760791297482141
35,8,45,1.57397955443379,45,0.863557689124772
40,8,45,1.6490668317078,45,0.938644966398787
45,8,45,1.69448844210608,45,0.984066576797062
50,8,45,1.71546077942175,45,1.00503891411273
55,8,45,1.72406448730906,45,1.01364262200005
60,8,45,1.73726966192415,45,1.02684779661513
65,8,45,1.77327617171155,45,1.06285430640254
70,8,45,1.84697316944901,45,1.13655130413999
75,8,45,1.9661638932287,45,1.25574202791969
80,8,45,2.13015261350575,45,1.41973074819673
85,8,45,2.33106359859907,45,1.62064173329005
90,8,45,2.55679641892021,45,1.8463745536112
0,8,50,0.98551362694363,50,0.275091761634615
5,8,50,0.99100202529378,50,0.280580159984765
10,8,50,1.03561024168609,50,0.32518837637707
15,8,50,1.11266651173248,50,0.402244646423469
20,8,50,1.21074024707018,50,0.500318381761168
25,8,50,1.31532021389739,50,0.604898348588376
30,8,50,1.41095841110846,50,0.700536545799446
35,8,50,1.48386489367262,50,0.773443028363605
40,8,50,1.52478940092889,50,0.81436753561987
45,8,50,1.53175769850267,50,0.821335833193658
50,8,50,1.51193636809894,50,0.801514502789921
55,8,50,1.48165341141589,50,0.771231546106878
60,8,50,1.46364086252524,50,0.753218997216228
65,8,50,1.48138366897833,50,0.770961803669315
70,8,50,1.55222266944318,50,0.841800804134168
75,8,50,1.68240102295316,50,0.971979157644141
80,8,50,1.86659062119856,50,1.15616875588955
85,8,50,2.0915394751501,50,1.38111760984108
90,8,50,2.34106892270274,50,1.63064705739373
0,8,55,0.950112467917994,55,0.239690602608978
5,8,55,0.952564427020054,55,0.242142561711039
10,8,55,0.984377560360877,55,0.273955695051862
15,8,55,1.04027931357539,55,0.329857448266373
20,8,55,1.11131274165502,55,0.400890876346003
25,8,55,1.18528891269341,55,0.474867047384391
30,8,55,1.24788955444552,55,0.537467689136509
35,8,55,1.28505169371226,55,0.574629828403244
40,8,55,1.28667669077793,55,0.576254825468915
45,8,55,1.2509052212428,55,0.540483355933788
50,8,55,1.18750664858292,55,0.477084783273908
55,8,55,1.11845893251262,55,0.408037067203607
60,8,55,1.07388154671101,55,0.363459681401998
65,8,55,1.08312981567795,55,0.372707950368938
70,8,55,1.16442340250968,55,0.454001537200669
75,8,55,1.31902527076426,55,0.608603405455249
80,8,55,1.53349854891592,55,0.823076683606906
85,8,55,1.78739390590182,55,1.0769720405928
90,8,55,2.06062814912082,55,1.3502062838118
0,8,60,0.857710135594116,60,0.147288270285101
5,8,60,0.859788748172821,60,0.149366882863806
10,8,60,0.878225637622833,60,0.167803772313818
15,8,60,0.909274406776088,60,0.198852541467073
20,8,60,0.947136564953339,60,0.236714699644324
25,8,60,0.982964013603849,60,0.272542148294834
30,8,60,1.00453481923931,60,0.294112953930296
35,8,60,0.998095383957222,60,0.287673518648207
40,8,60,0.952908143735413,60,0.242486278426397
45,8,60,0.867516480439907,60,0.157094615130892
50,8,60,0.755309941962314,60,0.0448880766532995
55,8,60,0.64595538185414,60,-0.0644664834548763
60,8,60,0.579249891721799,60,-0.131171973587217
65,8,60,0.59105039672703,60,-0.119371468581985
70,8,60,0.697939405507796,60,-0.0124824598012187
75,8,60,0.89152398127661,60,0.181102115967595
80,8,60,1.14629720907451,60,0.435875343765499
85,8,60,1.43326199509286,60,0.722840129783845
90,8,60,1.72934876681153,60,1.01892690150252
0,8,65,0.739678565551561,65,0.0292567002425451
5,8,65,0.742710116367968,65,0.0322882510589523
10,8,65,0.746613004675049,65,0.0361911393660344
15,8,65,0.749094565934972,65,0.0386727006259573
20,8,65,0.747617339365399,65,0.0371954740563832
25,8,65,0.737094338841708,65,0.0266724735326926
30,8,65,0.70806954662562,65,-0.0023523186833948
35,8,65,0.647730187647875,65,-0.0626916776611406
40,8,65,0.545129626621415,65,-0.1652922386876
45,8,65,0.399757124561338,65,-0.310664740747678
50,8,65,0.23001130258639,65,-0.480410562722626
55,8,65,0.0759487128988982,65,-0.634473152410117
60,8,65,-0.0099165609563841,65,-0.720338426265399
65,8,65,0.015441912634972,65,-0.694979952674043
70,8,65,0.163397657096356,65,-0.547024208212659
75,8,65,0.410125700933153,65,-0.300296164375863
80,8,65,0.714083484825808,65,0.00366161951679312
85,8,65,1.03716140783858,65,0.326739542529561
90,8,65,1.35485746364035,65,0.644435598331333
0,8,70,0.630120593432542,70,-0.0803012718764727
5,8,70,0.633546202177466,70,-0.0768756631315491
10,8,70,0.621065871760053,70,-0.0893559935489621
15,8,70,0.591529324128457,70,-0.118892541180558
20,8,70,0.545011505652942,70,-0.165410359656073
25,8,70,0.479747861406147,70,-0.230674003902868
30,8,70,0.389202192179526,70,-0.32121967312949
35,8,70,0.262129469772075,70,-0.44829239553694
40,8,70,0.0880990559861711,70,-0.622322809322844
45,8,70,-0.131613694851925,70,-0.84203556016094
50,8,70,-0.371914580396505,70,-1.08233644570552
