"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
0,8,0,1319.84688326949,0,-3684.19374660362,0,-151.474764963797,0,28.1136189936469
0,8,5,1301.62257175804,5,-3667.72401376458,5,-265.930593176162,5,349.105280597158
0,8,10,1273.49212653431,10,-3623.34068654848,10,-378.362529001176,10,667.440040219794
0,8,15,1235.66963727208,15,-3551.38154887481,15,-487.914897518949,15,980.695178125043
0,8,20,1188.44295595249,20,-3452.3942532314,20,-593.753939055532,20,1286.48663356482
0,8,25,1132.17150613662,25,-3327.13215270826,25,-695.074154597471,25,1582.4871489213
0,8,30,1067.2835475352,30,-3176.54856752569,30,-791.104436125674,30,1866.44398154263
0,8,35,994.272916693612,35,-3001.78952969177,35,-881.113935213043,35,2136.19604847472
0,8,40,913.695268597589,40,-2804.18506100683,40,-964.4176252223,40,2389.69037360749
0,8,45,826.163847803249,45,-2585.2390507944,45,-1040.38151477233,45,2624.9977120626
0,8,50,732.344821275756,50,-2346.61781039539,50,-1108.42747279541,50,2840.32723291196
0,8,55,632.952208456461,55,-2090.13739153271,55,-1168.03762846371,55,3034.04014848239
0,8,60,528.742447143821,60,-1817.749765061,60,-1218.758312499,60,3204.66218651933
0,8,65,420.508636544996,65,-1531.52796528986,65,-1260.20350986978,65,3350.89481028893
0,8,70,309.074501312009,70,-1233.65031294099,70,-1292.05779759877,70,3471.62510122663
0,8,75,195.288122499749,75,-926.383836812215,75,-1314.0787453222,75,3565.93422891944
0,8,80,80.0154831570741,80,-612.067020319447,80,-1326.09876033129,80,3633.10444396021
0,8,85,-35.8661223270955,85,-293.092004225875,85,-1328.02636305393,85,3672.62454045401
0,8,90,-151.4747649638,90,28.113618993646,90,-1319.8468832695,90,3684.19374660363
5,8,0,1729.00081576354,0,-4899.62099485898,0,-134.684203801491,0,17.8264816300957
5,8,5,1723.29697222081,5,-4886.00040208178,5,-133.725606257552,5,363.316166033182
5,8,10,1728.86397262519,10,-4840.66127070094,10,-134.773316932691,10,706.591485088706
5,8,15,1744.82432587266,15,-4763.81895937177,15,-140.603268420712,15,1044.7796695284
5,8,20,1769.72953909321,20,-4655.94050861692,20,-153.750367490345,20,1374.99781935932
5,8,25,1801.62026434382,25,-4517.75816031753,25,-176.402106283943,25,1694.36905515092
5,8,30,1838.10585592216,30,-4350.28347919381,30,-210.306594857096,30,2000.04431107368
5,8,35,1876.45980900289,35,-4154.82020517052,35,-256.698459862658,35,2289.23038274147
5,8,40,1913.72696519672,40,-3932.9737872151,40,-316.245164592097,40,2559.22426912555
5,8,45,1946.83802161668,45,-3686.65553669008,45,-389.01533037467,45,2807.45323583011
5,8,50,1972.72677218776,50,-3418.07949712384,50,-474.469643421983,50,3031.51942298553
5,8,55,1988.44562989933,55,-3129.75045094386,55,-571.473975676974,55,3229.24727100759
5,8,60,1991.27529756231,60,-2824.44195369529,60,-678.333485148461,60,3398.73158441717
5,8,65,1978.82493218921,65,-2505.16387352524,65,-792.845729867732,65,3538.383734756
5,8,70,1949.11973790699,70,-2175.11958035805,70,-912.370254477112,70,3646.97334686851
5,8,75,1900.67357674408,75,-1837.65363080292,75,-1033.91169903794,75,3723.66283653638
5,8,80,1832.54486154578,80,-1496.1914831883,80,-1154.21323185017,80,3768.03237792297
5,8,85,1744.37465349982,85,-1154.17340315641,85,-1269.85700697561,85,3780.09327018457
5,8,90,1636.40650034516,90,-814.985237304641,90,-1377.36837044802,90,3760.28822493579
10,8,0,2011.90430822561,0,-6064.759878544,0,-122.210424969906,0,-3.06260237850822
10,8,5,2020.96554916043,5,-6056.50664479918,5,-13.0283106694295,5,351.750251432671
10,8,10,2064.05616525042,10,-6016.08991418508,10,89.62957039582,10,706.129644934954
10,8,15,2138.89497556339,15,-5943.14553734129,15,179.018076379161,15,1057.76898657439
10,8,20,2241.84549084669,20,-5837.36355639091,20,249.009109150864,20,1404.13854014328
10,8,25,2368.08543850677,25,-5698.56979444586,25,294.34830549737,25,1742.44015149649
10,8,30,2511.82571996157,30,-5526.82360802104,30,310.865817271032,30,2069.58944082804
10,8,35,2666.5653037814,35,-5322.52346141455,35,295.632014922739,35,2382.22970357471
10,8,40,2825.36710217664,40,-5086.511079196,40,247.052970062882,40,2676.77929443343
10,8,45,2981.13971583771,45,-4820.16471742078,45,164.904693951192,45,2949.51166403839
10,8,50,3126.91096971383,50,-4525.47256707677,50,50.3089271376491,50,3196.6646609805
10,8,55,3256.0811768164,55,-4205.0784206397,55,-94.3435435825626,55,3414.57337320288
10,8,60,3362.6467453461,60,-3862.2934138711,60,-265.513749708648,60,3599.81880896618
10,8,65,3441.38773314192,65,-3501.06979198235,65,-458.669950484046,65,3749.38322683072
10,8,70,3488.01591024367,70,-3125.93511428943,70,-668.46755485001,70,3860.80200538545
10,8,75,3499.28252699399,75,-2741.88796300382,75,-888.943951914465,75,3932.30165733985
10,8,80,3473.04709717626,80,-2354.25890812471,80,-1113.71969874751,80,3962.91397229696
10,8,85,3408.30998613627,85,-1968.5430418885,85,-1336.19895338649,85,3952.55732318186
10,8,90,3305.21243105346,90,-1590.21266815299,90,-1549.7636254209,90,3902.07786676079
