"Theta [deg]","Freq [GHz]","Phi [deg]","re(rETheta) [mV]","Phi [deg]","im(rETheta) [mV]","Phi [deg]","re(rEPhi) [mV]","Phi [deg]","im(rEPhi) [mV]"
0,8,0,7458.1688994266,0,-4531.90921389205,0,-9.36708914477369,0,-81.6410351087479
0,8,5,7428.97191946973,5,-4521.77941616598,5,-659.353694509586,5,313.651547279661
0,8,10,7343.23597746981,10,-4477.23614675783,10,-1304.32222013054,10,706.557052005289
0,8,15,7201.61357571423,15,-4398.61840684375,15,-1939.364066085,15,1094.08523093434
0,8,20,7005.18254619429,20,-4286.52452489517,20,-2559.64618047652,20,1473.28676062926
0,8,25,6755.43784765295,25,-4141.80760303788,25,-3160.44784187799,25,1841.27568848093
0,8,30,6454.28018804608,30,-3965.56902442965,30,-3737.19658687219,30,2195.25139655059
0,8,35,6104.00155900724,35,-3759.15007106947,35,-4285.50300925929,35,2532.51991596347
0,8,40,5707.26779240744,40,-3524.12171583159,40,-4801.19416608847,40,2850.51442963854
0,8,45,5267.09827176491,45,-3262.27266641335,45,-5280.34533627341,45,3146.81480731638
0,8,50,4786.84295291336,50,-2975.59575218961,50,-5719.30989008962,50,3419.16602421181
0,8,55,4270.15686881533,55,-2666.27275757787,55,-6114.74704222852,55,3665.4953231141
0,8,60,3720.97231255441,60,-2336.65781734146,60,-6463.64727719085,60,3883.92798932091
0,8,65,3143.46891021044,65,-1989.25950020251,65,-6763.35525351682,65,4072.80161834914
0,8,70,2542.04181138134,70,-1626.72171711929,70,-7011.59001253797,70,4230.67876783688
0,8,75,1921.26823944082,75,-1251.80359952737,75,-7206.46233784991,75,4356.35789734769
0,8,80,1285.87265610467,80,-867.358500683361,80,-7346.48913338987,80,4448.88251281887
0,8,85,640.690805424431,85,-476.312279923775,85,-7430.60471069332,85,4507.5484460588
0,8,90,-9.36708914477479,90,-81.6410351087484,90,-7458.1688994266,90,4531.90921389205
5,8,0,7461.1054781797,0,-2581.91503527885,0,-39.2414609770383,0,-111.271957645023
5,8,5,7433.79867006253,5,-2587.2248470906,5,-655.444235935028,5,76.6499411719157
5,8,10,7356.55166839926,10,-2593.33320320299,10,-1267.5230584308,10,267.672275999836
5,8,15,7229.72973102083,15,-2599.17225870868,15,-1871.73758589039,15,464.594164216638
5,8,20,7053.88494217413,20,-2602.98085036302,20,-2464.34388816628,20,669.943791443173
5,8,25,6829.76756241898,25,-2602.36341905698,25,-3041.58261630775,25,885.847161477784
5,8,30,6558.34450874165,30,-2594.37118564385,30,-3599.67061759053,30,1113.90865050496
5,8,35,6240.82432359165,35,-2575.60333036533,35,-4134.79800126505,35,1355.10687778554
5,8,40,5878.6874658469,40,-2542.32543423702,40,-4643.13262529095,40,1609.70896754944
5,8,45,5473.72018812368,45,-2490.60204009566,45,-5120.83379036681,45,1877.20579011889
