"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,2.97409686214827,0,-1.21258567805591
5,8,0,2.97409686214827,0,-1.21258567805591
10,8,0,2.97409686214827,0,-1.21258567805591
15,8,0,2.97409686214827,0,-1.21258567805591
20,8,0,2.97409686214827,0,-1.21258567805591
25,8,0,2.97409686214827,0,-1.21258567805591
30,8,0,2.97409686214827,0,-1.21258567805591
35,8,0,2.97409686214827,0,-1.21258567805591
40,8,0,2.97409686214827,0,-1.21258567805591
45,8,0,2.97409686214827,0,-1.21258567805591
50,8,0,2.97409686214827,0,-1.21258567805591
55,8,0,2.97409686214827,0,-1.21258567805591
60,8,0,2.97409686214827,0,-1.21258567805591
65,8,0,2.97409686214827,0,-1.21258567805591
70,8,0,2.97409686214827,0,-1.21258567805591
75,8,0,2.97409686214827,0,-1.21258567805591
80,8,0,2.97409686214827,0,-1.21258567805591
85,8,0,2.97409686214827,0,-1.21258567805591
90,8,0,2.97409686214827,0,-1.21258567805591
0,8,5,1.94076734967338,5,-2.2459151905308
5,8,5,1.94407494575955,5,-2.24260759444463
10,8,5,1.95390795952015,5,-2.23277458068403
15,8,5,1.97031307242464,5,-2.21636946777954
20,8,5,1.99335846907654,5,-2.19332407112764
25,8,5,2.02311952682077,5,-2.16356301338341
30,8,5,2.05966045212026,5,-2.12702208808393
35,8,5,2.10301335630479,5,-2.0836691838994
40,8,5,2.1531565236928,5,-2.03352601651138
45,8,5,2.20999374763221,5,-1.97668879257198
50,8,5,2.27333656444457,5,-1.91334597575961
55,8,5,2.34289098808389,5,-1.84379155212029
60,8,5,2.41824995082922,5,-1.76843258937497
65,8,5,2.49889212670029,5,-1.6877904135039
70,8,5,2.58418721775572,5,-1.60249532244846
75,8,5,2.673407195732,5,-1.51327534447218
80,8,5,2.76574248812461,5,-1.42094005207957
85,8,5,2.86032173839367,5,-1.32636080181052
90,8,5,2.95623358757726,5,-1.23044895262692
0,8,10,1.34643720645671,10,-2.84024533374747
5,8,10,1.34779430966123,10,-2.83888823054295
10,8,10,1.3519859948072,10,-2.83469654539699
15,8,10,1.35987604256408,10,-2.8268064976401
20,8,10,1.37284505073502,10,-2.81383748946916
25,8,10,1.39270366171291,10,-2.79397887849127
30,8,10,1.42156695491013,10,-2.76511558529405
35,8,10,1.4616909148884,10,-2.72499162531578
40,8,10,1.51527760296878,10,-2.6714049372354
