freq_ghz,phi_deg,theta_deg,linear_pol_deg,channel_set,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid
7.738000,45.000000,0.000000,0.000000,A_feed_only,E1-E3,-179.821915,-179.821915,-0.559268,-0.453349,True
7.738000,45.000000,5.000000,0.000000,A_feed_only,E1-E3,-160.223475,-160.223475,-0.361799,-0.572640,True
7.738000,45.000000,10.000000,0.000000,A_feed_only,E1-E3,-141.546115,-141.546115,-0.157462,-0.578431,True
7.738000,45.000000,15.000000,0.000000,A_feed_only,E1-E3,-124.618633,-124.618633,-0.030376,-0.475965,True
7.738000,45.000000,20.000000,0.000000,A_feed_only,E1-E3,-109.882184,-109.882184,-0.046027,-0.320119,True
7.738000,45.000000,25.000000,0.000000,A_feed_only,E1-E3,-97.366659,-97.366659,-0.243359,-0.184991,True
7.738000,45.000000,30.000000,0.000000,A_feed_only,E1-E3,-86.819164,-86.819164,-0.637922,-0.135332,True
7.738000,45.000000,35.000000,0.000000,A_feed_only,E1-E3,-77.862035,-77.862035,-1.228370,-0.215212,True
7.738000,45.000000,40.000000,0.000000,A_feed_only,E1-E3,-70.095568,-70.095568,-2.002212,-0.449489,True
7.738000,45.000000,45.000000,0.000000,A_feed_only,E1-E3,-63.137353,-63.137353,-2.939516,-0.849308,True
7.738000,45.000000,50.000000,0.000000,A_feed_only,E1-E3,-56.623096,-56.623096,-4.014490,-1.416966,True
7.738000,45.000000,55.000000,0.000000,A_feed_only,E1-E3,-50.193574,-50.193574,-5.195299,-2.149130,True
7.738000,45.000000,60.000000,0.000000,A_feed_only,E1-E3,-43.484118,-43.484118,-6.442868,-3.038780,True
7.738000,45.000000,65.000000,0.000000,A_feed_only,E1-E3,-36.125764,-36.125764,-7.709934,-4.076196,True
7.738000,45.000000,70.000000,0.000000,A_feed_only,E1-E3,-27.759605,-27.759605,-8.942475,-5.248625,True
7.738000,45.000000,75.000000,0.000000,A_feed_only,E1-E3,-18.053942,-18.053942,-10.086133,-6.537056,True
7.738000,45.000000,80.000000,0.000000,A_feed_only,E1-E3,-6.703128,-6.703128,-11.098913,-7.906553,True
7.738000,45.000000,85.000000,0.000000,A_feed_only,E1-E3,6.587745,6.587745,-11.966772,-9.284281,True
7.738000,45.000000,90.000000,0.000000,A_feed_only,E1-E3,22.009420,22.009420,-12.713936,-10.523352,True
7.738000,45.000000,95.000000,0.000000,A_feed_only,E1-E3,39.180972,39.180972,-13.401717,-11.384381,True
7.738000,45.000000,100.000000,0.000000,A_feed_only,E1-E3,56.424765,56.424765,-14.118380,-11.630790,True
7.738000,45.000000,105.000000,0.000000,A_feed_only,E1-E3,70.986883,70.986883,-14.967810,-11.238056,True
7.738000,45.000000,110.000000,0.000000,A_feed_only,E1-E3,80.435576,80.435576,-16.058554,-10.432506,True
7.738000,45.000000,115.000000,0.000000,A_feed_only,E1-E3,82.942408,82.942408,-17.470146,-9.492024,True
