freq_ghz,phi_deg,linear_pol_deg,channel_set,baseline,valid_percent,pdoa_span_deg,pdoa_start_deg,pdoa_end_deg,mean_abs_slope_deg_per_deg,slope_std_deg_per_deg,monotonic_segment_percent,min_pair_mag_rel_db,rms_bias_vs_pol0_deg,mean_abs_bias_vs_pol0_deg,max_abs_bias_vs_pol0_deg
7.738000,45.000000,0.000000,A_feed_only,E1-E3,100.000000,360.000000,-179.821915,180.178085,2.906723,5.517038,66.666667,-32.581584,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,A_feed_only,E1-E3,97.260274,612.117912,176.894388,-183.105612,3.935484,5.319175,68.571429,-36.515736,67.247460,50.262537,175.159758
7.738000,45.000000,90.000000,A_feed_only,E1-E3,100.000000,384.189483,178.489426,178.489426,2.302873,3.501828,62.500000,-32.805949,96.775523,67.573536,178.824074
7.738000,45.000000,135.000000,A_feed_only,E1-E3,98.630137,360.000000,179.321902,539.321902,2.273739,3.012439,85.915493,-38.731608,38.717161,25.156159,149.815102
7.738000,45.000000,0.000000,A_feed_only,E2-E4,100.000000,720.000000,177.641934,897.641934,2.601575,4.840558,81.944444,-29.326167,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,A_feed_only,E2-E4,98.630137,360.000000,178.900237,538.900237,2.012434,2.154600,81.690141,-37.819400,34.124854,19.747430,173.637436
7.738000,45.000000,90.000000,A_feed_only,E2-E4,100.000000,720.000000,-179.894849,540.105151,2.020883,1.668177,95.833333,-29.281584,87.376499,62.153528,175.838493
7.738000,45.000000,135.000000,A_feed_only,E2-E4,100.000000,283.855447,168.366038,168.366038,2.475183,3.867109,61.111111,-22.677121,81.380720,65.966901,177.531297
7.738000,45.000000,0.000000,A_feed_only,E1-E2,100.000000,42.594964,10.933817,10.933817,0.378869,0.939062,58.333333,-33.330436,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,A_feed_only,E1-E2,94.520548,404.089670,100.309660,-259.690340,2.507374,4.393518,77.941176,-46.456687,73.243602,60.823626,179.256791
7.738000,45.000000,90.000000,A_feed_only,E1-E2,100.000000,362.485330,167.248864,-192.751136,1.081949,2.902519,81.944444,-31.683371,153.672652,151.494254,179.344834
7.738000,45.000000,135.000000,A_feed_only,E1-E2,98.630137,394.683027,76.802569,76.802569,2.326411,3.878538,67.605634,-37.256771,67.618949,56.617778,168.974351
7.738000,45.000000,0.000000,A_feed_only,E2-E3,100.000000,360.000000,169.244268,529.244268,2.688264,4.903090,70.833333,-32.295598,0.000000,0.000000,0.000000
7.738000,45.000000,45.000000,A_feed_only,E2-E3,91.780822,436.965352,76.584729,436.584729,2.683120,4.869696,51.515152,-46.827025,67.952543,51.728247,167.111683
7.738000,45.000000,90.000000,A_feed_only,E2-E3,100.000000,360.000000,11.240562,371.240562,2.114795,2.935301,70.833333,-32.805949,127.907999,111.009670,179.064488
