freq_ghz,phi_deg,theta_deg,linear_pol_deg,amp_b,phase_b_deg,channel_set,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid
7.738000,45.000000,0.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-178.657415,-178.657415,-1.635743,-1.527805,True
7.738000,45.000000,5.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-158.070983,-158.070983,-1.526303,-1.523380,True
7.738000,45.000000,10.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-139.042362,-139.042362,-1.245688,-1.408059,True
7.738000,45.000000,15.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-122.646367,-122.646367,-0.864159,-1.260606,True
7.738000,45.000000,20.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-109.203576,-109.203576,-0.485143,-1.156461,True
7.738000,45.000000,25.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-98.456102,-98.456102,-0.199103,-1.150035,True
7.738000,45.000000,30.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-89.879717,-89.879717,-0.063598,-1.273894,True
7.738000,45.000000,35.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-82.907532,-82.907532,-0.105433,-1.543833,True
7.738000,45.000000,40.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-77.030154,-77.030154,-0.330250,-1.963100,True
7.738000,45.000000,45.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-71.817000,-71.817000,-0.731358,-2.524166,True
7.738000,45.000000,50.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-66.903982,-66.903982,-1.295759,-3.208717,True
7.738000,45.000000,55.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-61.976797,-61.976797,-2.007675,-3.986928,True
7.738000,45.000000,60.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-56.767124,-56.767124,-2.850479,-4.816929,True
7.738000,45.000000,65.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-51.071117,-51.071117,-3.807828,-5.645405,True
7.738000,45.000000,70.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-44.791008,-44.791008,-4.864578,-6.410813,True
7.738000,45.000000,75.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-37.987100,-37.987100,-6.007772,-7.050972,True
7.738000,45.000000,80.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-30.911274,-30.911274,-7.227689,-7.515389,True
7.738000,45.000000,85.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-23.991971,-23.991971,-8.518553,-7.778542,True
7.738000,45.000000,90.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-17.773417,-17.773417,-9.877859,-7.846899,True
7.738000,45.000000,95.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-12.857461,-12.857461,-11.302105,-7.755225,True
7.738000,45.000000,100.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-9.896665,-9.896665,-12.774367,-7.555482,True
7.738000,45.000000,105.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-9.613251,-9.613251,-14.235582,-7.305693,True
7.738000,45.000000,110.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-12.667478,-12.667478,-15.533478,-7.063327,True
7.738000,45.000000,115.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-19.029898,-19.029898,-16.384951,-6.883094,True
7.738000,45.000000,120.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-26.998948,-26.998948,-16.489407,-6.817048,True
7.738000,45.000000,125.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-33.624296,-33.624296,-15.813053,-6.915305,True
7.738000,45.000000,130.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-36.910739,-36.910739,-14.634250,-7.226903,True
7.738000,45.000000,135.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-36.579237,-36.579237,-13.279688,-7.801135,True
7.738000,45.000000,140.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-33.016065,-33.016065,-11.976871,-8.689923,True
7.738000,45.000000,145.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-26.335966,-26.335966,-10.871055,-9.950900,True
7.738000,45.000000,150.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-15.939292,-15.939292,-10.062888,-11.647226,True
7.738000,45.000000,155.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-0.127738,-0.127738,-9.623225,-13.823490,True
7.738000,45.000000,160.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,24.547325,24.547325,-9.594128,-16.358105,True
7.738000,45.000000,165.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,62.412279,62.412279,-9.987326,-18.402708,True
7.738000,45.000000,170.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,108.450416,108.450416,-10.788600,-18.291985,True
7.738000,45.000000,175.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,148.756387,148.756387,-11.976893,-16.409503,True
7.738000,45.000000,180.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-177.698219,182.301781,-13.556342,-14.322076,True
7.738000,45.000000,185.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-145.652113,214.347887,-15.544558,-12.577830,True
7.738000,45.000000,190.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-108.927089,251.072911,-17.670949,-11.254136,True
7.738000,45.000000,195.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-64.020753,295.979247,-18.445505,-10.350267,True
7.738000,45.000000,200.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-24.192447,335.807553,-16.611792,-9.859049,True
7.738000,45.000000,205.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,0.898317,360.898317,-13.947311,-9.769266,True
7.738000,45.000000,210.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,16.054219,376.054219,-11.676876,-10.061497,True
7.738000,45.000000,215.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,25.684485,385.684485,-9.958526,-10.705350,True
7.738000,45.000000,220.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,31.845458,391.845458,-8.716100,-11.656056,True
7.738000,45.000000,225.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,35.278385,395.278385,-7.859583,-12.846107,True
7.738000,45.000000,230.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,35.953659,395.953659,-7.315821,-14.164398,True
7.738000,45.000000,235.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,33.446723,393.446723,-7.026912,-15.414816,True
7.738000,45.000000,240.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,27.676726,387.676726,-6.944675,-16.279323,True
7.738000,45.000000,245.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,20.071744,380.071744,-7.025568,-16.413084,True
7.738000,45.000000,250.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,13.505222,373.505222,-7.226278,-15.729646,True
7.738000,45.000000,255.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,10.137790,370.137790,-7.499650,-14.482155,True
7.738000,45.000000,260.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,10.324813,370.324813,-7.791062,-12.988366,True
7.738000,45.000000,265.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,13.459588,373.459588,-8.036542,-11.445930,True
7.738000,45.000000,270.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,18.756842,378.756842,-8.165613,-9.943102,True
7.738000,45.000000,275.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,25.452092,385.452092,-8.112339,-8.512181,True
7.738000,45.000000,280.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,32.799216,392.799216,-7.833748,-7.163708,True
7.738000,45.000000,285.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,40.115406,400.115406,-7.326052,-5.902460,True
7.738000,45.000000,290.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,46.892130,406.892130,-6.626250,-4.733889,True
7.738000,45.000000,295.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,52.879974,412.879974,-5.797823,-3.666118,True
7.738000,45.000000,300.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,58.088294,418.088294,-4.911813,-2.709942,True
7.738000,45.000000,305.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,62.722649,422.722649,-4.033717,-1.878003,True
7.738000,45.000000,310.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,67.110083,427.110083,-3.217894,-1.183653,True
7.738000,45.000000,315.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,71.640671,431.640671,-2.506248,-0.639731,True
7.738000,45.000000,320.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,76.730231,436.730231,-1.928208,-0.257211,True
7.738000,45.000000,325.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,82.799927,442.799927,-1.500940,-0.043508,True
7.738000,45.000000,330.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,90.267431,450.267431,-1.229837,0.000000,True
7.738000,45.000000,335.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,99.543399,459.543399,-1.109291,-0.118117,True
7.738000,45.000000,340.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,111.020565,471.020565,-1.122890,-0.373505,True
7.738000,45.000000,345.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,125.027503,485.027503,-1.241235,-0.719148,True
7.738000,45.000000,350.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,141.703453,501.703453,-1.416360,-1.082294,True
7.738000,45.000000,355.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,160.775416,520.775416,-1.576741,-1.375356,True
7.738000,45.000000,360.000000,0.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-178.657415,541.342585,-1.635743,-1.527805,True
7.738000,45.000000,0.000000,45.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,179.098025,179.098025,-0.503069,-0.230668,True
7.738000,45.000000,5.000000,45.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-164.208555,195.791445,-0.698927,-0.065218,True
7.738000,45.000000,10.000000,45.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-147.819937,212.180063,-0.855263,0.000000,True
7.738000,45.000000,15.000000,45.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-132.164037,227.835963,-0.920596,-0.081524,True
7.738000,45.000000,20.000000,45.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-117.780045,242.219955,-0.885263,-0.339830,True
7.738000,45.000000,25.000000,45.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-105.131577,254.868423,-0.788490,-0.790952,True
7.738000,45.000000,30.000000,45.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-94.436175,265.563825,-0.697088,-1.440359,True
7.738000,45.000000,35.000000,45.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-85.647972,274.352028,-0.675813,-2.285983,True
7.738000,45.000000,40.000000,45.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-78.552282,281.447718,-0.770366,-3.320466,True
7.738000,45.000000,45.000000,45.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-72.873073,287.126927,-1.005274,-4.532505,True
7.738000,45.000000,50.000000,45.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-68.346886,291.653114,-1.388958,-5.907217,True
7.738000,45.000000,55.000000,45.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-64.764129,295.235871,-1.919620,-7.425453,True
7.738000,45.000000,60.000000,45.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-61.990575,298.009425,-2.589483,-9.062051,True
7.738000,45.000000,65.000000,45.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-59.977016,300.022984,-3.387128,-10.783051,True
7.738000,45.000000,70.000000,45.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-58.756903,301.243097,-4.298403,-12.542101,True
7.738000,45.000000,75.000000,45.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-58.424131,301.575869,-5.306346,-14.276859,True
7.738000,45.000000,80.000000,45.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-59.079006,300.920994,-6.390288,-15.907893,True
7.738000,45.000000,85.000000,45.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-60.741123,299.258877,-7.524112,-17.345207,True
7.738000,45.000000,90.000000,45.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-63.266157,296.733843,-8.673632,-18.507775,True
7.738000,45.000000,95.000000,45.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-66.341535,293.658465,-9.793528,-19.352798,True
7.738000,45.000000,100.000000,45.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-69.585437,290.414563,-10.825636,-19.896609,True
7.738000,45.000000,105.000000,45.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-72.639144,287.360856,-11.702648,-20.210014,True
7.738000,45.000000,110.000000,45.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-75.132237,284.867763,-12.362037,-20.393713,True
7.738000,45.000000,115.000000,45.000000,1.000000,-97.500000,dualfeed_amp_phase_optimized,E1-E3,-76.582074,283.417926,-12.768254,-20.553306,True
