amp_b,phase_b_deg,score,avg_rms_bias_deg,p95_rms_bias_deg,avg_max_abs_bias_deg,max_abs_bias_deg,avg_valid_percent,avg_reference_monotonic_percent,curve_count,pdoa_rms_target_met,pdoa_max_target_met
1.0,-92.5,112.81382021261084,46.392333965811204,79.7490630974206,134.3722567025856,179.9582947531565,99.69558599695586,71.60493827160494,288,False,False
1.0,-90.0,112.85581946962026,46.443142486034105,80.85091073002434,134.3903380210938,179.97878216542108,99.71461187214612,71.52777777777777,288,False,False
1.0,-95.0,112.94853794230045,46.49807335910085,78.67632086255347,134.51401130943836,179.8921076967501,99.67180365296804,71.58564814814815,288,False,False
0.975,-92.5,113.50324654884649,46.468696486116,79.25741740707704,134.50994567316016,179.97037510106648,99.64802130898022,71.5810526740691,288,False,False
0.975,-90.0,113.5307380338981,46.51393333865181,80.37277011562604,134.57024035377026,179.90272202163453,99.69558599695586,71.56176255061231,288,False,False
1.025,-92.5,113.87932592187693,46.31897184233126,80.26070660640059,134.2474662541123,179.90635837339107,99.70509893455099,71.54706790123457,288,False,False
1.025,-90.0,113.93678636656317,46.37027005089562,81.34707970272846,134.24028091842197,179.9617822092415,99.72412480974124,71.2770061728395,288,False,False
1.025,-95.0,114.03634383247889,46.43373390727426,79.20633560447926,134.5655749116417,179.89876594890274,99.67656012176559,71.56635802469135,288,False,False
0.975,-95.0,114.0448351375116,46.61760077356224,78.84693011894905,134.5224569234713,179.9517907826376,99.68607305936072,71.62422839506172,288,False,False
1.0,-97.5,114.11284092563804,46.74030798957406,79.19890721135717,134.59852357872575,179.94033966617485,99.68607305936072,71.54706790123457,288,False,False
1.0,-87.5,114.16219269757416,46.48903555810992,81.98454784074238,133.7939526057308,179.92898230531145,99.7431506849315,71.34822049581439,288,False,False
0.95,-90.0,114.30032479590915,46.64936643150775,79.9133628735592,134.8953830917129,179.75620374806016,99.71461187214612,71.54247242715553,288,False,False
0.95,-92.5,114.3517036936659,46.59902433132858,78.91190976406992,134.8035017006616,179.9696901230376,99.67656012176559,71.52345399557841,288,False,False
1.025,-97.5,114.52227793635424,46.66714510946448,78.52516464478708,134.73045598863976,179.85252328334525,99.68131659056317,71.4891975308642,288,False,False
0.975,-87.5,114.90953938839473,46.62369777359245,81.51723477950229,134.15512925396285,179.91463151047066,99.76693302891934,71.43024039297512,288,False,False
1.05,-90.0,114.99097177831278,46.367209848235014,81.74556170247597,134.14273886595709,179.9527556088268,99.70509893455099,71.25771604938272,288,False,False
1.025,-87.5,115.01277367010142,46.44926238744005,82.08882441357345,133.8495873661307,179.67205198278054,99.7431506849315,71.28897614079538,288,False,False
1.05,-92.5,115.13736372149025,46.42335741695405,80.7917805734304,134.6297432554405,179.9965563938179,99.7574200913242,71.41203703703704,288,False,False
0.925,-90.0,115.14848496928116,46.78465268545923,79.47351479259028,135.05247472276773,179.99154174779528,99.70034246575342,71.54247242715553,288,False,False
1.0,-100.0,115.18979214223693,47.021545817929834,79.50399605983242,134.99272149902805,179.89466668700686,99.65753424657534,71.46311511041557,288,False,False
1.05,-95.0,115.191869927952,46.43887289330941,79.7592612083098,134.57080059863048,179.8294511319598,99.69558599695586,71.39274691358024,288,False,False
1.0,-85.0,115.21860975085656,46.66274344803702,82.42488408776349,133.37912730821054,179.9453593900862,99.76217656012176,71.21263072260724,288,False,False
0.975,-97.5,115.45568494311604,46.8485933946851,79.88375933334332,134.49639145967953,179.80739165112965,99.67656012176559,71.60493827160494,288,False,False
1.05,-97.5,115.51343854405216,46.679167224269754,78.75227281933982,134.7881396855015,179.94591716333196,99.71461187214612,71.43132716049382,288,False,False
0.95,-95.0,115.52493333793312,46.72661953122723,79.66581635166888,134.79568403709843,179.96951597187785,99.65277777777777,71.46338680229525,288,False,False
0.95,-87.5,115.72432968246687,46.77822361868861,81.06734922991173,134.70183444017945,179.94977932137405,99.77168949771689,71.42021108130263,288,False,False
1.075,-90.0,115.79622641413769,46.39870661211133,81.6941383510724,134.26501320013753,179.9040269622775,99.68607305936072,71.35416666666667,288,False,False
1.05,-87.5,115.84730471739647,46.43031167380486,82.04019748826475,134.01608410959028,179.96872118231954,99.71461187214612,71.21506042427404,288,False,False
1.0,-102.5,115.8549384336059,47.460268631360776,78.84825655327515,135.71501062689345,179.80462548813932,99.63375190258752,71.73426360632934,288,False,False
0.925,-92.5,115.95651545233261,46.80951413675199,79.8406697419283,135.18163117053683,179.59329542292926,99.68607305936072,71.5022387410885,288,False,False
1.025,-85.0,115.97548624142536,46.62631639704495,82.30990589823074,133.4319470836775,179.9652001079113,99.76693302891934,71.250116439377,288,False,False
0.975,-100.0,116.01696191265707,47.16033418820002,79.19354563680686,134.78071001354496,179.80759158904738,99.65753424657534,71.56364110589463,288,False,False
1.025,-100.0,116.15379162161098,46.965800962229075,79.8217525981506,135.16951056212454,179.8202036104584,99.64326484018265,71.50306934197779,288,False,False
0.975,-85.0,116.1885227271068,46.7451435930876,82.47366982047917,133.46298035967973,179.96723750996188,99.74790715372907,71.42838512556823,288,False,False
1.0,-82.5,116.19665743763659,46.933247328110376,82.51448079089008,133.32100607321394,179.99683575109572,99.77644596651446,70.94174615594802,288,False,False
1.075,-92.5,116.26090773945297,46.414236013721165,81.34165752866734,134.4668347988709,179.9898630176566,99.69558599695586,71.2770061728395,288,False,False
0.95,-97.5,116.3935044208253,46.998356852288936,79.72128962724702,134.65652207691053,179.58242926227615,99.6622907153729,71.58564814814815,288,False,False
1.075,-95.0,116.4456731056612,46.52986083600105,80.33550232746249,134.82036317456019,179.92102024727296,99.70509893455099,71.21913580246913,288,False,False
1.1,-90.0,116.59527193939425,46.417913014786535,81.64556049050455,134.14747417411502,179.985262676538,99.68607305936072,71.37345679012346,288,False,False
0.925,-87.5,116.61382423889586,46.972459011722904,80.63553650443814,135.04596448285002,179.97478260670596,99.78120243531203,71.3881514395012,288,False,False
1.075,-97.5,116.62555888742087,46.6370364153448,79.35560329676089,134.77785499926495,179.80663941952514,99.68607305936072,71.21533211615372,288,False,False
1.075,-87.5,116.64206821926858,46.46139117121694,81.97460795979002,134.09495609537922,179.85614279146233,99.72888127853882,71.25771604938272,288,False,False
1.05,-85.0,116.70213744882969,46.58360351080733,82.18819728333897,133.4632296508323,179.90921761242953,99.72888127853882,71.19224606900663,288,False,False
1.025,-102.5,116.82769714366326,47.44966413171099,79.02390905121567,135.6888467428654,179.915494896312,99.68131659056317,71.57885585115632,288,False,False
