source_case,freq_ghz,gain_min_dbi,gain_max_dbi,gain_ripple_db,axial_ratio_min_db,axial_ratio_max_db,cp_coverage_percent,gain_min_theta_deg,gain_min_phi_deg,ar_max_theta_deg,ar_max_phi_deg,meets_gain,meets_cp
P1_only,7.738000,-5.495625,4.846469,10.342094,1.032089,4970.626606,26.438,295.000000,50.000000,100.000000,90.000000,False,False
P2_only,7.738000,-11.062982,5.621467,16.684450,1.174711,7513.539575,8.767,340.000000,85.000000,285.000000,80.000000,False,False
P3_only,7.738000,-5.270747,4.790214,10.060961,1.064626,3928.647088,24.658,20.000000,45.000000,100.000000,90.000000,False,False
P4_only,7.738000,-11.226398,5.611831,16.838229,1.180238,3826.975289,8.767,20.000000,90.000000,285.000000,90.000000,False,False
sequential_quadrature_all_ports,7.738000,-9.440342,5.803478,15.243820,1.117168,3313.075573,46.849,290.000000,45.000000,230.000000,85.000000,False,False
coverage_envelope_best_port,7.738000,-2.259575,5.621467,7.881042,3.564922,3826.975289,0.000,295.000000,45.000000,285.000000,90.000000,True,False
cp_qualified_envelope,7.738000,-11.157654,4.174245,15.331899,1.174711,120.298621,44.658,20.000000,85.000000,180.000000,80.000000,False,False
P1_only,7.985500,-5.646154,5.210783,10.856937,1.058916,3519.751994,26.301,290.000000,50.000000,85.000000,75.000000,False,False
P2_only,7.985500,-12.713989,6.126590,18.840578,1.212515,1642.343207,7.671,340.000000,85.000000,170.000000,90.000000,False,False
P3_only,7.985500,-5.516624,5.124952,10.641577,1.071609,2181.176697,23.973,70.000000,55.000000,30.000000,60.000000,False,False
P4_only,7.985500,-12.702573,6.129192,18.831764,1.377423,18632.154265,7.260,20.000000,90.000000,75.000000,80.000000,False,False
sequential_quadrature_all_ports,7.985500,-8.477864,6.195201,14.673065,1.131135,15162.770770,45.068,285.000000,45.000000,25.000000,65.000000,False,False
coverage_envelope_best_port,7.985500,-2.773493,6.129192,8.902684,3.504115,4043.395438,0.000,300.000000,45.000000,265.000000,90.000000,True,False
cp_qualified_envelope,7.985500,-12.648177,4.510176,17.158353,1.197369,116.522959,43.288,20.000000,85.000000,180.000000,85.000000,False,False
P1_only,8.233000,-6.069625,5.501064,11.570689,1.023141,3915.074407,26.164,290.000000,50.000000,260.000000,55.000000,False,False
P2_only,8.233000,-14.609045,6.546702,21.155747,1.439840,1645.391601,5.616,340.000000,85.000000,185.000000,90.000000,False,False
P3_only,8.233000,-6.054441,5.394664,11.449105,1.027783,1791.808291,25.342,70.000000,55.000000,30.000000,55.000000,False,False
P4_only,8.233000,-14.305884,6.557481,20.863364,1.100105,5496.309463,4.521,20.000000,90.000000,40.000000,90.000000,False,False
sequential_quadrature_all_ports,8.233000,-8.122540,6.530719,14.653259,1.039109,595.477462,44.110,275.000000,50.000000,90.000000,80.000000,False,False
coverage_envelope_best_port,8.233000,-3.223343,6.557481,9.780824,3.135140,652.569826,0.000,305.000000,55.000000,45.000000,90.000000,True,False
cp_qualified_envelope,8.233000,-14.263360,4.894076,19.157436,1.100105,112.055144,39.178,20.000000,85.000000,180.000000,90.000000,False,False
