source_case,freq_ghz,gain_min_dbi,gain_max_dbi,gain_ripple_db,axial_ratio_min_db,axial_ratio_max_db,cp_coverage_percent,gain_min_theta_deg,gain_min_phi_deg,ar_max_theta_deg,ar_max_phi_deg,meets_gain,meets_cp
P1_only,7.738000,-12.660665,6.729308,19.389972,1.204422,7300.894663,18.356,125.000000,55.000000,20.000000,55.000000,False,False
P2_only,7.738000,-14.324669,7.106914,21.431583,1.307078,6843.473897,3.973,195.000000,85.000000,60.000000,90.000000,False,False
P3_only,7.738000,-12.284902,6.701191,18.986094,1.109346,3144.713838,18.904,235.000000,60.000000,315.000000,55.000000,False,False
P4_only,7.738000,-14.307296,7.182313,21.489609,1.392488,12771.227429,4.521,165.000000,85.000000,320.000000,90.000000,False,False
sequential_quadrature_all_ports,7.738000,-13.978074,8.293402,22.271477,1.021918,910.388769,60.137,220.000000,85.000000,110.000000,60.000000,False,False
coverage_envelope_best_port,7.738000,-6.196439,7.182313,13.378752,2.272477,12771.227429,3.151,150.000000,60.000000,320.000000,90.000000,False,False
cp_qualified_envelope,7.738000,-14.183830,6.218315,20.402145,1.153513,48.157492,33.425,195.000000,90.000000,215.000000,90.000000,False,False
P1_only,7.985500,-11.174495,7.319472,18.493967,1.024413,14085.083637,21.096,130.000000,60.000000,175.000000,80.000000,False,False
P2_only,7.985500,-12.013519,7.527477,19.540996,1.103834,11424.190313,7.260,195.000000,80.000000,25.000000,70.000000,False,False
P3_only,7.985500,-11.172447,7.304444,18.476891,1.065964,1350.902033,20.822,230.000000,55.000000,85.000000,75.000000,False,False
P4_only,7.985500,-11.883667,7.623844,19.507511,1.068401,318067.212560,6.986,165.000000,85.000000,330.000000,60.000000,False,False
sequential_quadrature_all_ports,7.985500,-13.897241,9.596246,23.493487,1.040845,3755.695012,59.589,270.000000,45.000000,280.000000,45.000000,False,False
coverage_envelope_best_port,7.985500,-7.011408,7.623844,14.635252,1.478120,318067.212560,7.534,110.000000,45.000000,330.000000,60.000000,False,False
cp_qualified_envelope,7.985500,-11.900623,7.133098,19.033721,1.024413,27.016749,35.342,195.000000,90.000000,0.000000,70.000000,False,False
P1_only,8.233000,-11.585287,7.581183,19.166469,1.060990,66587.216694,22.877,255.000000,70.000000,345.000000,75.000000,False,False
P2_only,8.233000,-11.757391,7.655350,19.412740,1.111993,17695.740909,13.836,195.000000,75.000000,170.000000,85.000000,False,False
P3_only,8.233000,-11.805100,7.568864,19.373964,1.096484,5122.758554,20.959,105.000000,70.000000,70.000000,70.000000,False,False
P4_only,8.233000,-11.471361,7.761635,19.232995,1.052291,12359.675884,13.562,165.000000,90.000000,345.000000,85.000000,False,False
sequential_quadrature_all_ports,8.233000,-18.541744,10.232078,28.773823,1.196067,4049.056994,56.301,45.000000,50.000000,30.000000,80.000000,False,False
coverage_envelope_best_port,8.233000,-7.203360,7.761635,14.964994,1.052291,17695.740909,17.808,125.000000,45.000000,170.000000,85.000000,False,False
cp_qualified_envelope,8.233000,-11.527506,7.544080,19.071586,1.052291,44.949340,42.329,195.000000,90.000000,360.000000,65.000000,False,False
