candidate,candidate_index,farfield_csv,s11_worst_db,s11_pass,best_270deg_window_start_phi_deg,best_270deg_window_stop_phi_deg,corrected_best_270deg_gain_total_min_dbi,corrected_best_270deg_realized_gain_total_min_dbi,corrected_best_270deg_gain_total_min_theta_deg,corrected_best_270deg_gain_total_min_phi_deg,gain_pass,realized_gain_pass,overall_pass,axis_note
h3p5_l8p8_w8p0_sw4p0_fence6p0_feed8p40_complex,,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h3p5_l8p8_w8p0_sw4p0_fence6p0_feed8p40_complex_native_farfield_default.csv,nan,False,260,170,-8.57341024907654,-8.9354149970827,45,260,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h3p5_l8p8_w8p0_sw4p0_fence6p0_feed8p40,36,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h3p5_l8p8_w8p0_sw4p0_fence6p0_feed8p40_native_farfield_default.csv,-10.9704456097873,True,260,170,-8.57341024907654,-8.9354149970827,45,260,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h4p0_l8p8_w10p0_sw4p0_fence6p0_feed8p40,41,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h4p0_l8p8_w10p0_sw4p0_fence6p0_feed8p40_native_farfield_default.csv,-8.56040843762002,False,265,175,-9.43657947564329,-10.0880744581644,90,175,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h4p0_l8p8_w8p0_sw4p0_fence6p0_feed8p20,40,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h4p0_l8p8_w8p0_sw4p0_fence6p0_feed8p20_native_farfield_default.csv,-8.07889295502122,False,265,175,-8.9537484467284,-9.68845254774487,45,175,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h4p0_l8p8_w8p0_sw4p0_fence6p0_feed8p40,35,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h4p0_l8p8_w8p0_sw4p0_fence6p0_feed8p40_native_farfield_default.csv,-8.53848857596687,False,265,175,-8.85627497082352,-9.51132807515041,90,175,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h4p5_l10p4_w8p6_feed1p65,4,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h4p5_l10p4_w8p6_feed1p65_native_farfield_default.csv,-0.0598362918323104,False,265,175,-9.06576478136624,-27.7038449733504,45,265,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h4p5_l8p8_w8p0_sw4p0_fence6p0_feed8p00,37,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h4p5_l8p8_w8p0_sw4p0_fence6p0_feed8p00_native_farfield_default.csv,-5.44936825841375,False,265,175,-8.93842770715936,-10.3962377983983,45,265,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h4p5_l8p8_w8p0_sw4p0_fence6p0_feed8p20,38,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h4p5_l8p8_w8p0_sw4p0_fence6p0_feed8p20_native_farfield_default.csv,-5.81825744150041,False,265,175,-8.86084412561942,-10.1798296036196,45,265,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h4p5_l8p8_w8p0_sw4p0_fence6p0_feed8p40_complex,,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h4p5_l8p8_w8p0_sw4p0_fence6p0_feed8p40_complex_native_farfield_default.csv,nan,False,265,175,-9.19380645646678,-10.3541693205308,90,175,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h4p5_l8p8_w8p0_sw4p0_fence6p0_feed8p40,32,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h4p5_l8p8_w8p0_sw4p0_fence6p0_feed8p40_native_farfield_default.csv,-6.29917610288546,False,265,175,-9.19380645646678,-10.3541693205308,90,175,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h4p5_l8p8_w8p0_sw4p0_fence6p0_feed8p48,39,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h4p5_l8p8_w8p0_sw4p0_fence6p0_feed8p48_native_farfield_default.csv,-6.23374332915799,False,265,175,-9.64715103273939,-10.8277534694724,45,265,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h4p5_l8p8_w8p0_sw5p5_fence7p0_feed8p20,42,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h4p5_l8p8_w8p0_sw5p5_fence7p0_feed8p20_native_farfield_default.csv,-3.86625081945911,False,265,175,-10.2964343499556,-12.5920263513475,45,265,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h4p5_l9p2_w8p4_sw4p0_fence6p0_feed8p80,43,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h4p5_l9p2_w8p4_sw4p0_fence6p0_feed8p80_native_farfield_default.csv,-6.35106011505842,False,265,175,-9.50956355055887,-10.6541585827478,90,175,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l10p4_w8p6_feed8p80,20,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l10p4_w8p6_feed8p80_native_farfield_default.csv,-1.88708915612084,False,260,170,-7.21322453345126,-11.7425760110262,45,260,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l7p8_w8p0_feed7p40,24,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l7p8_w8p0_feed7p40_native_farfield_default.csv,-3.85157594780298,False,265,175,-8.1841116305918,-10.4899543624851,90,175,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w10p0_sw4p0_fence6p0_feed8p40,31,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w10p0_sw4p0_fence6p0_feed8p40_native_farfield_default.csv,-5.03666832293065,False,265,175,-8.27116043394559,-9.90519176219964,90,175,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w8p0_feed1p25_lip0p8,6,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed1p25_lip0p8_native_farfield_default.csv,-0.0531959709518031,False,270,180,-8.05578523882535,-27.2014117858735,45,180,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w8p0_feed1p25,1,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed1p25_native_farfield_default.csv,-0.0566452411098396,False,270,180,-8.20574776374584,-27.0802484158461,50,180,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w8p0_feed2p20,7,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed2p20_native_farfield_default.csv,-0.121765953367756,False,270,180,-9.3277256085835,-24.9110507136792,50,180,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
