window_start_phi_deg,window_stop_phi_deg,gain_total_min_dbi,realized_gain_total_min_dbi,gain_total_min_theta_deg,gain_total_min_phi_deg,gain_pass,realized_gain_pass
0,270,-13.4411675595049,-13.8031723075111,45,245,False,False
5,275,-13.4411675595049,-13.8031723075111,45,245,False,False
10,280,-13.4411675595049,-13.8031723075111,45,245,False,False
15,285,-13.4411675595049,-13.8031723075111,45,245,False,False
20,290,-13.4411675595049,-13.8031723075111,45,245,False,False
25,295,-13.4411675595049,-13.8031723075111,45,245,False,False
30,300,-13.4411675595049,-13.8031723075111,45,245,False,False
35,305,-13.4411675595049,-13.8031723075111,45,245,False,False
40,310,-13.4411675595049,-13.8031723075111,45,245,False,False
45,315,-13.4411675595049,-13.8031723075111,45,245,False,False
50,320,-13.4411675595049,-13.8031723075111,45,245,False,False
55,325,-13.4411675595049,-13.8031723075111,45,245,False,False
60,330,-13.4411675595049,-13.8031723075111,45,245,False,False
65,335,-13.4411675595049,-13.8031723075111,45,245,False,False
70,340,-13.4411675595049,-13.8031723075111,45,245,False,False
75,345,-13.4411675595049,-13.8031723075111,45,245,False,False
80,350,-13.4411675595049,-13.8031723075111,45,245,False,False
85,355,-13.4411675595049,-13.8031723075111,45,245,False,False
90,0,-13.4411675595049,-13.8031723075111,45,245,False,False
95,5,-13.4411675595049,-13.8031723075111,45,245,False,False
100,10,-13.4411675595049,-13.8031723075111,45,245,False,False
105,15,-13.4411675595049,-13.8031723075111,45,245,False,False
110,20,-13.4411675595049,-13.8031723075111,45,245,False,False
115,25,-13.4411675595049,-13.8031723075111,45,245,False,False
120,30,-13.4411675595049,-13.8031723075111,45,245,False,False
125,35,-13.4411675595049,-13.8031723075111,45,245,False,False
130,40,-13.4411675595049,-13.8031723075111,45,245,False,False
135,45,-13.4411675595049,-13.8031723075111,45,245,False,False
140,50,-13.4411675595049,-13.8031723075111,45,245,False,False
145,55,-13.4411675595049,-13.8031723075111,45,245,False,False
150,60,-13.4411675595049,-13.8031723075111,45,245,False,False
155,65,-13.4411675595049,-13.8031723075111,45,245,False,False
160,70,-13.4411675595049,-13.8031723075111,45,245,False,False
165,75,-13.4411675595049,-13.8031723075111,45,245,False,False
170,80,-13.4411675595049,-13.8031723075111,45,245,False,False
175,85,-13.4411675595049,-13.8031723075111,45,245,False,False
180,90,-13.4411675595049,-13.8031723075111,45,245,False,False
185,95,-13.4411675595049,-13.8031723075111,45,245,False,False
190,100,-13.4411675595049,-13.8031723075111,45,245,False,False
195,105,-13.4411675595049,-13.8031723075111,45,245,False,False
200,110,-13.4411675595049,-13.8031723075111,45,245,False,False
205,115,-13.4411675595049,-13.8031723075111,45,245,False,False
210,120,-13.4411675595049,-13.8031723075111,45,245,False,False
215,125,-13.4411675595049,-13.8031723075111,45,245,False,False
220,130,-13.4411675595049,-13.8031723075111,45,245,False,False
225,135,-13.4411675595049,-13.8031723075111,45,245,False,False
230,140,-13.4411675595049,-13.8031723075111,45,245,False,False
235,145,-13.4411675595049,-13.8031723075111,45,245,False,False
240,150,-13.4411675595049,-13.8031723075111,45,245,False,False
245,155,-13.4411675595049,-13.8031723075111,45,245,False,False
250,160,-12.3343633598952,-12.6963681079013,45,250,False,False
255,165,-10.388685804658,-10.7506905526641,45,255,False,False
260,170,-8.57341024907654,-8.9354149970827,45,260,False,False
265,175,-9.57377997214823,-9.93578472015439,45,175,False,False
270,180,-11.4264738018493,-11.7884785498554,45,180,False,False
275,185,-11.4264738018493,-11.7884785498554,45,180,False,False
280,190,-11.4264738018493,-11.7884785498554,45,180,False,False
285,195,-11.4264738018493,-11.7884785498554,45,180,False,False
290,200,-11.4264738018493,-11.7884785498554,45,180,False,False
295,205,-11.4264738018493,-11.7884785498554,45,180,False,False
300,210,-11.4264738018493,-11.7884785498554,45,180,False,False
305,215,-11.4264738018493,-11.7884785498554,45,180,False,False
310,220,-11.4264738018493,-11.7884785498554,45,180,False,False
315,225,-11.4264738018493,-11.7884785498554,45,180,False,False
320,230,-11.4264738018493,-11.7884785498554,45,180,False,False
325,235,-11.4264738018493,-11.7884785498554,45,180,False,False
330,240,-12.3155067487508,-12.677511496757,45,240,False,False
335,245,-13.4411675595049,-13.8031723075111,45,245,False,False
340,250,-13.4411675595049,-13.8031723075111,45,245,False,False
345,255,-13.4411675595049,-13.8031723075111,45,245,False,False
350,260,-13.4411675595049,-13.8031723075111,45,245,False,False
355,265,-13.4411675595049,-13.8031723075111,45,245,False,False
