scenario,phi_window_start_deg,phi_window_stop_deg,phi_window_width_deg,strict_gain_total_min_dbi,coverage_gain_total_min_dbi,strict_realized_gain_total_min_dbi,coverage_realized_gain_total_min_dbi,lut_holdout_rms_deg,lut_holdout_p95_deg,lut_holdout_max_deg,vector_slope_p5_deg_per_deg,min_phase_vector_separation_deg,gain_pass,lut_pass,separation_pass,overall_pass
co_oriented,0,270,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727223,16.43561966886339,False,True,True,False
co_oriented,5,275,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727223,16.43561966886339,False,True,True,False
co_oriented,10,280,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727223,16.43561966886339,False,True,True,False
co_oriented,15,285,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
co_oriented,20,290,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
co_oriented,25,295,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.0148617917272222,16.43561966886338,False,True,True,False
co_oriented,30,300,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.0148617917272222,16.43561966886338,False,True,True,False
co_oriented,35,305,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727221,16.43561966886338,False,True,True,False
co_oriented,40,310,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727221,16.43561966886338,False,True,True,False
co_oriented,45,315,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727221,16.43561966886338,False,True,True,False
co_oriented,50,320,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,55,325,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727221,16.43561966886338,False,True,True,False
co_oriented,60,330,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,65,335,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,70,340,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,75,345,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,80,350,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,85,355,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,90,0,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,95,5,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,100,10,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,105,15,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,110,20,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,115,25,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,120,30,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,125,35,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,130,40,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,135,45,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.0148617917272227,16.43561966886338,False,True,True,False
co_oriented,140,50,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,145,55,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,150,60,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727221,16.43561966886338,False,True,True,False
co_oriented,155,65,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727221,16.43561966886338,False,True,True,False
co_oriented,160,70,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,165,75,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,170,80,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,175,85,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,180,90,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,185,95,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,190,100,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,195,105,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,200,110,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,205,115,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,210,120,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727222,16.43561966886338,False,True,True,False
co_oriented,215,125,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
co_oriented,220,130,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
co_oriented,225,135,270,-13.4411675595049,-13.4411675595049,-13.8031723075111,-13.8031723075111,5.0,5.0,5.0,2.014861791727223,16.43561966886338,False,True,True,False
