window_start_phi_deg,window_stop_phi_deg,sample_count,gain_total_min_dbi,gain_total_min_theta_deg,gain_total_min_phi_deg,gain_total_max_dbi,gain_total_max_theta_deg,gain_total_max_phi_deg,candidate,candidate_index
0.0,270.0,190,-3.0474546967306,90.0,90.0,5.37536045523176,45.0,0.0,h5p0_l8p8_w8p0_feed1p25,1
5.0,275.0,180,-3.0474546967306,90.0,90.0,5.37367445517455,45.0,5.0,h5p0_l8p8_w8p0_feed1p25,1
10.0,280.0,170,-3.0474546967306,90.0,90.0,5.36631228256972,45.0,10.0,h5p0_l8p8_w8p0_feed1p25,1
15.0,285.0,160,-3.0474546967306,90.0,90.0,5.35104831667192,45.0,15.0,h5p0_l8p8_w8p0_feed1p25,1
20.0,290.0,150,-3.0474546967306,90.0,90.0,5.32535523695307,45.0,20.0,h5p0_l8p8_w8p0_feed1p25,1
25.0,295.0,140,-3.0474546967306,90.0,90.0,5.28664567238607,45.0,25.0,h5p0_l8p8_w8p0_feed1p25,1
30.0,300.0,130,-3.0474546967306,90.0,90.0,5.23246164776921,45.0,30.0,h5p0_l8p8_w8p0_feed1p25,1
35.0,305.0,120,-3.0474546967306,90.0,90.0,5.16063315468359,45.0,35.0,h5p0_l8p8_w8p0_feed1p25,1
40.0,310.0,110,-3.0474546967306,90.0,90.0,5.06942745949071,45.0,40.0,h5p0_l8p8_w8p0_feed1p25,1
45.0,315.0,100,-3.0474546967306,90.0,90.0,4.95769531177238,45.0,45.0,h5p0_l8p8_w8p0_feed1p25,1
50.0,320.0,90,-3.0474546967306,90.0,90.0,4.82499326244626,45.0,50.0,h5p0_l8p8_w8p0_feed1p25,1
55.0,325.0,80,-3.0474546967306,90.0,90.0,4.67163889951853,45.0,55.0,h5p0_l8p8_w8p0_feed1p25,1
60.0,330.0,70,-3.0474546967306,90.0,90.0,4.49865972946181,45.0,60.0,h5p0_l8p8_w8p0_feed1p25,1
65.0,335.0,60,-3.0474546967306,90.0,90.0,4.30763532747191,45.0,65.0,h5p0_l8p8_w8p0_feed1p25,1
70.0,340.0,50,-3.0474546967306,90.0,90.0,4.10048743615502,45.0,70.0,h5p0_l8p8_w8p0_feed1p25,1
75.0,345.0,40,-3.0474546967306,90.0,90.0,3.87930385751897,45.0,75.0,h5p0_l8p8_w8p0_feed1p25,1
80.0,350.0,30,-3.0474546967306,90.0,90.0,3.64625437455844,45.0,80.0,h5p0_l8p8_w8p0_feed1p25,1
85.0,355.0,20,-3.0474546967306,90.0,90.0,3.40357177933143,45.0,85.0,h5p0_l8p8_w8p0_feed1p25,1
90.0,0.0,20,-3.0474546967306,90.0,90.0,5.37536045523176,45.0,0.0,h5p0_l8p8_w8p0_feed1p25,1
0.0,270.0,190,-3.1672576315402,90.0,90.0,4.80472577003131,45.0,15.0,h5p0_l9p6_w8p2_feed1p45,2
5.0,275.0,180,-3.1672576315402,90.0,90.0,4.80472577003131,45.0,15.0,h5p0_l9p6_w8p2_feed1p45,2
10.0,280.0,170,-3.1672576315402,90.0,90.0,4.80472577003131,45.0,15.0,h5p0_l9p6_w8p2_feed1p45,2
15.0,285.0,160,-3.1672576315402,90.0,90.0,4.80472577003131,45.0,15.0,h5p0_l9p6_w8p2_feed1p45,2
20.0,290.0,150,-3.1672576315402,90.0,90.0,4.80181304954693,45.0,20.0,h5p0_l9p6_w8p2_feed1p45,2
25.0,295.0,140,-3.1672576315402,90.0,90.0,4.79011840753986,45.0,25.0,h5p0_l9p6_w8p2_feed1p45,2
30.0,300.0,130,-3.1672576315402,90.0,90.0,4.76999650429145,45.0,30.0,h5p0_l9p6_w8p2_feed1p45,2
35.0,305.0,120,-3.1672576315402,90.0,90.0,4.74202318570408,45.0,35.0,h5p0_l9p6_w8p2_feed1p45,2
40.0,310.0,110,-3.1672576315402,90.0,90.0,4.70642653955108,45.0,40.0,h5p0_l9p6_w8p2_feed1p45,2
45.0,315.0,100,-3.1672576315402,90.0,90.0,4.66261017877851,45.0,45.0,h5p0_l9p6_w8p2_feed1p45,2
