"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,1.76825266393856,0,1.11319955961167
5,8,0,1.76825266393856,0,1.11319955961168
10,8,0,1.76825266393856,0,1.11319955961168
15,8,0,1.76825266393856,0,1.11319955961168
20,8,0,1.76825266393856,0,1.11319955961168
25,8,0,1.76825266393856,0,1.11319955961168
30,8,0,1.76825266393856,0,1.11319955961168
35,8,0,1.76825266393856,0,1.11319955961168
40,8,0,1.76825266393856,0,1.11319955961168
45,8,0,1.76825266393856,0,1.11319955961168
50,8,0,1.76825266393856,0,1.11319955961168
55,8,0,1.76825266393856,0,1.11319955961168
60,8,0,1.76825266393856,0,1.11319955961168
65,8,0,1.76825266393856,0,1.11319955961168
70,8,0,1.76825266393856,0,1.11319955961168
75,8,0,1.76825266393856,0,1.11319955961168
80,8,0,1.76825266393856,0,1.11319955961168
85,8,0,1.76825266393856,0,1.11319955961168
90,8,0,1.76825266393857,0,1.11319955961168
0,8,5,3.25699011615348,5,2.6019370118266
5,8,5,3.25094977505319,5,2.59589667072631
10,8,5,3.23609723952816,5,2.58104413520127
15,8,5,3.21247951059756,5,2.55742640627068
20,8,5,3.18016499952955,5,2.52511189520266
25,8,5,3.13924498421788,5,2.484191879891
30,8,5,3.08983564749566,5,2.43478254316877
35,8,5,3.03208065959208,5,2.3770275552652
40,8,5,2.96615426014692,5,2.31110115582004
45,8,5,2.89226478985487,5,2.23721168552798
50,8,5,2.81065861770445,5,2.15560551337757
55,8,5,2.72162440639357,5,2.06657130206668
60,8,5,2.6254976549972,5,1.97044455067032
65,8,5,2.52266545312727,5,1.86761234880039
70,8,5,2.41357137310431,5,1.75851826877743
75,8,5,2.29872041421109,5,1.64366730988421
80,8,5,2.17868389389023,5,1.52363078956335
85,8,5,2.05410415274935,5,1.39905104842246
90,8,5,1.92569890168619,5,1.27064579735931
0,8,10,4.51623003305708,10,3.8611769287302
5,8,10,4.50661111964187,10,3.85155801531499
10,8,10,4.48385103524964,10,3.82879793092276
15,8,10,4.44794954061386,10,3.79289643628698
20,8,10,4.39889148334467,10,3.74383837901779
25,8,10,4.33665170657719,10,3.68159860225031
30,8,10,4.261201616678,10,3.60614851235111
35,8,10,4.17251720823329,10,3.5174641039064
40,8,10,4.07058830845289,10,3.415535204126
45,8,10,3.95542878334556,10,3.30037567901868
50,8,10,3.82708745097618,10,3.1720343466493
55,8,10,3.68565947758227,10,3.03060637325538
60,8,10,3.53129809210227,10,2.87624498777539
65,8,10,3.36422654186066,10,2.70917343753378
70,8,10,3.18475032120708,10,2.5296972168802
75,8,10,2.9932698271489,10,2.33821672282202
80,8,10,2.79029372032375,10,2.13524061599686
85,8,10,2.57645338268624,10,1.92140027835936
90,8,10,2.35251894882375,10,1.69746584449687
0,8,15,5.50280548077609,15,4.84775237644921
5,8,15,5.4916115142128,15,4.83655840988592
10,8,15,5.46548834063294,15,4.81043523630606
