"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,4.49361755944187,0,3.99022596788945
5,8,0,4.49361755944187,0,3.99022596788945
10,8,0,4.49361755944187,0,3.99022596788945
15,8,0,4.49361755944187,0,3.99022596788945
20,8,0,4.49361755944187,0,3.99022596788945
25,8,0,4.49361755944187,0,3.99022596788945
30,8,0,4.49361755944187,0,3.99022596788945
35,8,0,4.49361755944187,0,3.99022596788945
40,8,0,4.49361755944187,0,3.99022596788945
45,8,0,4.49361755944187,0,3.99022596788945
50,8,0,4.49361755944187,0,3.99022596788945
55,8,0,4.49361755944187,0,3.99022596788945
60,8,0,4.49361755944187,0,3.99022596788946
65,8,0,4.49361755944187,0,3.99022596788945
70,8,0,4.49361755944187,0,3.99022596788945
75,8,0,4.49361755944187,0,3.99022596788945
80,8,0,4.49361755944187,0,3.99022596788945
85,8,0,4.49361755944187,0,3.99022596788945
90,8,0,4.49361755944187,0,3.99022596788946
0,8,5,5.2892334922052,5,4.78584190065278
5,8,5,5.26298697136214,5,4.75959537980972
10,8,5,5.23140467797086,5,4.72801308641844
15,8,5,5.1948115128649,5,4.69141992131248
20,8,5,5.15355130818948,5,4.65015971663706
25,8,5,5.10798337130644,5,4.60459177975402
30,8,5,5.05847913458906,5,4.55508754303664
35,8,5,5.00541890630261,5,4.50202731475019
40,8,5,4.94918872517648,5,4.44579713362406
45,8,5,4.89017733306805,5,4.38678574151563
50,8,5,4.82877329583416,5,4.32538170428174
55,8,5,4.7653623210532,5,4.26197072950078
60,8,5,4.70032484080978,5,4.19693324925736
65,8,5,4.63403394602256,5,4.13064235447014
70,8,5,4.5668537730317,5,4.06346218147928
75,8,5,4.49913845051578,5,3.99574685896336
80,8,5,4.43123171263302,5,3.9278401210806
85,8,5,4.36346727046775,5,3.86007567891533
90,8,5,4.29617000712998,5,3.79277841557756
0,8,10,5.90959392700437,10,5.40620233545195
5,8,10,5.8491983657097,10,5.34580677415728
10,8,10,5.77990058507551,10,5.27650899352309
15,8,10,5.70243319396075,10,5.19904160240833
20,8,10,5.61754466388601,10,5.11415307233359
25,8,10,5.52599563471285,10,5.02260404316043
30,8,10,5.42855548159035,10,4.92516389003793
35,8,10,5.32599870840029,10,4.82260711684787
40,8,10,5.21910067011222,10,4.7157090785598
45,8,10,5.10863212701683,10,4.60524053546441
50,8,10,4.99535221691041,10,4.49196062535799
55,8,10,4.87999960612187,10,4.37660801456945
60,8,10,4.76328184160488,10,4.25989025005246
65,8,10,4.64586325235026,10,4.14247166079784
70,8,10,4.52835210162088,10,4.02496051006846
75,8,10,4.41128802339053,10,3.90789643183811
80,8,10,4.29513103500062,10,3.7917394434482
85,8,10,4.18025355786827,10,3.67686196631585
90,8,10,4.0669368690644,10,3.56354527751198
0,8,15,6.33662105480794,15,5.83322946325552
5,8,15,6.23818324609724,15,5.73479165454482
10,8,15,6.12848534227848,15,5.62509375072606
15,8,15,6.00863323666896,15,5.50524164511654
