"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,2.80351349908487,0,1.65891846689595
5,8,0,2.80351349908488,0,1.65891846689596
10,8,0,2.80351349908488,0,1.65891846689596
15,8,0,2.80351349908488,0,1.65891846689595
20,8,0,2.80351349908488,0,1.65891846689595
25,8,0,2.80351349908488,0,1.65891846689595
30,8,0,2.80351349908488,0,1.65891846689596
35,8,0,2.80351349908488,0,1.65891846689595
40,8,0,2.80351349908487,0,1.65891846689595
45,8,0,2.80351349908488,0,1.65891846689596
50,8,0,2.80351349908488,0,1.65891846689596
55,8,0,2.80351349908487,0,1.65891846689595
60,8,0,2.80351349908488,0,1.65891846689596
65,8,0,2.80351349908487,0,1.65891846689595
70,8,0,2.80351349908488,0,1.65891846689595
75,8,0,2.80351349908488,0,1.65891846689596
80,8,0,2.80351349908488,0,1.65891846689595
85,8,0,2.80351349908487,0,1.65891846689595
90,8,0,2.80351349908488,0,1.65891846689596
0,8,5,4.2069962907303,5,3.06240125854138
5,8,5,4.19989787875968,5,3.05530284657076
10,8,5,4.1843239362094,5,3.03972890402047
15,8,5,4.16031274073496,5,3.01571770854603
20,8,5,4.12791876390809,5,2.98332373171916
25,8,5,4.08721379431731,5,2.94261876212839
30,8,5,4.03828866676532,5,2.8936936345764
35,8,5,3.98125559853217,5,2.83666056634325
40,8,5,3.91625112590973,5,2.7716560937208
45,8,5,3.84343962859262,5,2.6988445964037
50,8,5,3.76301742609676,5,2.61842239390784
55,8,5,3.67521742857304,5,2.53062239638412
60,8,5,3.58031432287467,5,2.43571929068575
65,8,5,3.47863027147995,5,2.33403523929103
70,8,5,3.37054109415149,5,2.22594606196257
75,8,5,3.25648288675662,5,2.1118878545677
80,8,5,3.13695900484345,5,1.99236397265453
85,8,5,3.01254729762686,5,1.86795226543794
90,8,5,2.88390741753853,5,1.73931238534961
0,8,10,5.31154471175039,10,4.16694967956147
5,8,10,5.30060867430816,10,4.15601364211924
10,8,10,5.27714705506748,10,4.13255202287856
15,8,10,5.24117178488369,10,4.09657675269477
20,8,10,5.1926670853019,10,4.04807205311298
25,8,10,5.13159117154725,10,3.98699613935833
30,8,10,5.05788006155584,10,3.91328502936692
35,8,10,4.97145326151454,10,3.82685822932562
40,8,10,4.87222099139682,10,3.7276259592079
45,8,10,4.76009255889735,10,3.61549752670843
50,8,10,4.63498549904652,10,3.4903904668576
55,8,10,4.49683517525671,10,3.35224014306779
60,8,10,4.34560468348722,10,3.20100965129829
65,8,10,4.18129510470591,10,3.03670007251699
70,8,10,4.00395639549646,10,2.85936136330754
75,8,10,3.81369947191994,10,2.66910443973102
80,8,10,3.61071030522756,10,2.46611527303863
85,8,10,3.39526708734716,10,2.25067205515824
90,8,10,3.16776171703326,10,2.02316668484434
0,8,15,6.12674291338125,15,4.98214788119233
5,8,15,6.11331885331352,15,4.9687238211246
10,8,15,6.08590381867413,15,4.94130878648521
15,8,15,6.04450596978428,15,4.89991093759536
20,8,15,5.98902786816073,15,4.8444328359718
25,8,15,5.91927136032837,15,4.77467632813945
30,8,15,5.83494936300015,15,4.69035433081123
35,8,15,5.73570334963179,15,4.59110831744287
40,8,15,5.62112470642075,15,4.47652967423183
45,8,15,5.49077767840458,15,4.34618264621566
50,8,15,5.34422146656089,15,4.19962643437197
