"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,5.24911495433453,0,-13.8965115927136
5,8,0,5.24911495433453,0,-13.8965115927136
10,8,0,5.24911495433454,0,-13.8965115927136
15,8,0,5.24911495433454,0,-13.8965115927136
20,8,0,5.24911495433453,0,-13.8965115927136
25,8,0,5.24911495433453,0,-13.8965115927136
30,8,0,5.24911495433454,0,-13.8965115927136
35,8,0,5.24911495433453,0,-13.8965115927136
40,8,0,5.24911495433453,0,-13.8965115927136
45,8,0,5.24911495433453,0,-13.8965115927136
50,8,0,5.24911495433454,0,-13.8965115927136
55,8,0,5.24911495433453,0,-13.8965115927136
60,8,0,5.24911495433453,0,-13.8965115927136
65,8,0,5.24911495433453,0,-13.8965115927136
70,8,0,5.24911495433454,0,-13.8965115927136
75,8,0,5.24911495433453,0,-13.8965115927136
80,8,0,5.24911495433453,0,-13.8965115927136
85,8,0,5.24911495433453,0,-13.8965115927136
90,8,0,5.24911495433453,0,-13.8965115927136
0,8,5,5.5198139118771,5,-13.625812635171
5,8,5,5.51886743269361,5,-13.6267591143545
10,8,5,5.51615240550748,5,-13.6294741415406
15,8,5,5.5116789976276,5,-13.6339475494205
20,8,5,5.50545832360951,5,-13.6401682234386
25,8,5,5.49750298040298,5,-13.6481235666451
30,8,5,5.48782788478143,5,-13.6577986622667
35,8,5,5.47645137694703,5,-13.6691751701011
40,8,5,5.46339654488726,5,-13.6822300021609
45,8,5,5.44869271751208,5,-13.696933829536
50,8,5,5.43237707102215,5,-13.713249476026
55,8,5,5.41449629216577,5,-13.7311302548823
60,8,5,5.39510824349101,5,-13.7505183035571
65,8,5,5.37428357854398,5,-13.7713429685041
70,8,5,5.35210725819805,5,-13.7935192888501
75,8,5,5.32867992191862,5,-13.8169466251295
80,8,5,5.30411906896276,5,-13.8415074780854
85,8,5,5.27856000383307,5,-13.867066543215
90,8,5,5.25215649778134,5,-13.8934700492668
0,8,10,5.71955790977709,10,-13.426068637271
5,8,10,5.71731719143597,10,-13.4283093556121
10,8,10,5.71246193345935,10,-13.4331646135888
15,8,10,5.70499032459434,10,-13.4406362224538
20,8,10,5.69487536662033,10,-13.4507511804278
25,8,10,5.68206786548624,10,-13.4635586815619
30,8,10,5.66650096608759,10,-13.4791255809605
35,8,10,5.64809594288952,10,-13.4975306041586
40,8,10,5.62676886436205,10,-13.5188576826861
45,8,10,5.60243769681791,10,-13.5431888502302
50,8,10,5.57502941559187,10,-13.5705971314562
55,8,10,5.54448675247563,10,-13.6011397945725
60,8,10,5.51077432072126,10,-13.6348522263269
65,8,10,5.47388400484456,10,-13.6717425422036
70,8,10,5.43383965626439,10,-13.7117868907837
75,8,10,5.39070126898721,10,-13.7549252780609
80,8,10,5.34456889615529,10,-13.8010576508928
85,8,10,5.29558658974247,10,-13.8500399573056
90,8,10,5.24394659386665,10,-13.9016799531815
0,8,15,5.85735530835377,15,-13.2882712386943
5,8,15,5.85342050621393,15,-13.2922060408342
10,8,15,5.8466056457339,15,-13.2990209013142
15,8,15,5.83687654695355,15,-13.3087500000946
20,8,15,5.82412110981715,15,-13.321505437231
25,8,15,5.80815760967033,15,-13.3374689373778
30,8,15,5.78874834008181,15,-13.3568782069663
35,8,15,5.76561764645655,15,-13.3800089005916
40,8,15,5.73847270836042,15,-13.4071538386877
45,8,15,5.70702492728791,15,-13.4386016197602
50,8,15,5.67100961415014,15,-13.474616932898
55,8,15,5.6302019345513,15,-13.5154246124968
60,8,15,5.58442774578924,15,-13.5611988012589
65,8,15,5.5335689281876,15,-13.6120576188605
70,8,15,5.4775638806871,15,-13.668062666361
75,8,15,5.41640480036037,15,-13.7292217466877
80,8,15,5.35013401530684,15,-13.7954925317413
85,8,15,5.27884188146674,15,-13.8667846655814
90,8,15,5.20266856329874,15,-13.9429579837494
0,8,20,5.93374410511079,20,-13.2118824419373
5,8,20,5.92781689645617,20,-13.2178096505919
10,8,20,5.91906606327593,20,-13.2265604837722
15,8,20,5.90741026766279,20,-13.2382162793853
20,8,20,5.89260467375427,20,-13.2530218732938
25,8,20,5.87425473816254,20,-13.2713718088856
30,8,20,5.85184519824936,20,-13.2937813487987
35,8,20,5.82478308668628,20,-13.3208434603618
40,8,20,5.79245052791458,20,-13.3531760191335
45,8,20,5.75426033923823,20,-13.3913662078099
50,8,20,5.7097060024619,20,-13.4359205445862
55,8,20,5.65839802259229,20,-13.4872285244558
60,8,20,5.60008110599437,20,-13.5455454410537
65,8,20,5.53463041064646,20,-13.6109961364017
70,8,20,5.46202936480303,20,-13.6835971822451
75,8,20,5.38233516688203,20,-13.7632913801661
80,8,20,5.2956402985792,20,-13.8499862484689
85,8,20,5.20203892458177,20,-13.9435876224663
90,8,20,5.10160612212042,20,-14.0440204249277
0,8,25,5.94321121330768,25,-13.2024153337404
5,8,25,5.93529337948628,25,-13.2103331675618
10,8,25,5.9247165960638,25,-13.2209099509843
15,8,25,5.91135979571606,25,-13.2342667513321
20,8,25,5.89481989912408,25,-13.250806647924
25,8,25,5.87441959423998,25,-13.2712069528081
30,8,25,5.8492501446731,25,-13.296376402375
35,8,25,5.81825231055956,25,-13.3273742364885
40,8,25,5.78032841211836,25,-13.3652981349298
45,8,25,5.73446823159848,25,-13.4111583154496
50,8,25,5.679864798853,25,-13.4657617481951
55,8,25,5.61599602073471,25,-13.5296305263134
60,8,25,5.54265505790154,25,-13.6029714891466
65,8,25,5.45992416498188,25,-13.6857023820662
70,8,25,5.36809957522337,25,-13.7775269718247
75,8,25,5.2675850487242,25,-13.8780414983239
80,8,25,5.15877644818804,25,-13.9868500988601
85,8,25,5.04195888512101,25,-14.1036676619271
90,8,25,4.91723333475784,25,-14.2283932122903
0,8,30,5.87804946526018,30,-13.2675770817879
5,8,30,5.86857576204933,30,-13.2770507849988
10,8,30,5.85648255676255,30,-13.2891439902856
15,8,30,5.84166249108177,30,-13.3039640559663
20,8,30,5.82359520080444,30,-13.3220313462437
25,8,30,5.80131231542675,30,-13.3443142316214
30,8,30,5.77342982095755,30,-13.3721967260906
35,8,30,5.73826940759818,30,-13.4073571394499
40,8,30,5.6940633422459,30,-13.4515632048022
45,8,30,5.63920644767556,30,-13.5064200993726
50,8,30,5.57249715427032,30,-13.5731293927778
55,8,30,5.49330707851833,30,-13.6523194685298
60,8,30,5.40163664817395,30,-13.7439898988742
65,8,30,5.29804576989974,30,-13.8475807771484
70,8,30,5.18348139729994,30,-13.9621451497482
75,8,30,5.05904664341665,30,-14.0865799036315
80,8,30,4.92576239587357,30,-14.2198641511746
85,8,30,4.78436303086374,30,-14.3612635161844
