"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,4.33139664395137,0,-4.45801521763031
5,8,0,4.33139664395137,0,-4.45801521763031
10,8,0,4.33139664395137,0,-4.4580152176303
15,8,0,4.33139664395137,0,-4.4580152176303
20,8,0,4.33139664395137,0,-4.4580152176303
25,8,0,4.33139664395137,0,-4.4580152176303
30,8,0,4.33139664395137,0,-4.4580152176303
35,8,0,4.33139664395137,0,-4.4580152176303
40,8,0,4.33139664395137,0,-4.4580152176303
45,8,0,4.33139664395137,0,-4.4580152176303
50,8,0,4.33139664395137,0,-4.4580152176303
55,8,0,4.33139664395137,0,-4.4580152176303
60,8,0,4.33139664395137,0,-4.4580152176303
65,8,0,4.33139664395137,0,-4.4580152176303
70,8,0,4.33139664395137,0,-4.4580152176303
75,8,0,4.33139664395137,0,-4.4580152176303
80,8,0,4.33139664395137,0,-4.4580152176303
85,8,0,4.33139664395137,0,-4.4580152176303
90,8,0,4.33139664395137,0,-4.4580152176303
0,8,5,4.57093716675447,5,-4.21847469482721
5,8,5,4.57679071362368,5,-4.21262114795799
10,8,5,4.57929831095986,5,-4.21011355062182
15,8,5,4.57861750686004,5,-4.21079435472164
20,8,5,4.57494035657302,5,-4.21447150500866
25,8,5,4.56848763237178,5,-4.2209242292099
30,8,5,4.55950289052593,5,-4.22990897105575
35,8,5,4.54824646340558,5,-4.2411653981761
40,8,5,4.53498944051988,5,-4.2544224210618
45,8,5,4.52000770295052,5,-4.26940415863116
50,8,5,4.50357608058205,5,-4.28583578099963
55,8,5,4.48596270969625,5,-4.30344915188543
60,8,5,4.46742367845452,5,-4.32198818312716
65,8,5,4.44819805787277,5,-4.34121380370891
70,8,5,4.42850342436903,5,-4.36090843721265
75,8,5,4.40853198521904,5,-4.38087987636264
80,8,5,4.38844741894659,5,-4.40096444263509
85,8,5,4.36838253784768,5,-4.421029323734
90,8,5,4.34843786899898,5,-4.4409739925827
0,8,10,4.71159763619291,10,-4.07781422538876
5,8,10,4.7071051716998,10,-4.08230668988187
10,8,10,4.6946983380472,10,-4.09471352353448
15,8,10,4.67506660746275,10,-4.11434525411892
20,8,10,4.64896259730843,10,-4.14044926427325
25,8,10,4.61718893448334,10,-4.17222292709833
30,8,10,4.58058559618674,10,-4.20882626539494
35,8,10,4.54001735759738,10,-4.2493945039843
40,8,10,4.49636096198959,10,-4.29305089959209
45,8,10,4.45049167763664,10,-4.33892018394503
50,8,10,4.40326901871651,10,-4.38614284286517
55,8,10,4.35552157244033,10,-4.43389028914135
60,8,10,4.30803106970628,10,-4.4813807918754
65,8,10,4.26151603414644,10,-4.52789582743523
70,8,10,4.21661551739979,10,-4.57279634418189
75,8,10,4.17387355583357,10,-4.61553830574811
80,8,10,4.13372505438782,10,-4.65568680719386
85,8,10,4.09648381552546,10,-4.69292804605621
90,8,10,4.0623333921365,10,-4.72707846944517
0,8,15,4.75459216589746,15,-4.03481969568421
5,8,15,4.72317130482138,15,-4.06624055676029
10,8,15,4.67905709807177,15,-4.11035476350991
15,8,15,4.62364257428226,15,-4.16576928729941
20,8,15,4.55838684501472,15,-4.23102501656696
25,8,15,4.48480408117337,15,-4.3046077804083
30,8,15,4.40445474047142,15,-4.38495712111025
35,8,15,4.31893712759388,15,-4.4704747339878
40,8,15,4.22987702912958,15,-4.5595348324521
45,8,15,4.13891325795898,15,-4.6504986036227
50,8,15,4.04767750514483,15,-4.74173435643685
55,8,15,3.95776783589127,15,-4.83164402569041
60,8,15,3.87071627162583,15,-4.91869558995585
65,8,15,3.78795191531783,15,-5.00145994626385
70,8,15,3.71076177930605,15,-5.07865008227562
75,8,15,3.64025174955229,15,-5.14916011202939
80,8,15,3.57730999269737,15,-5.2121018688843
85,8,15,3.52257472579595,15,-5.26683713578572
90,8,15,3.47640781808978,15,-5.3130040434919
0,8,20,4.70314556276057,20,-4.0862662988211
5,8,20,4.6294442637221,20,-4.15996759785958
10,8,20,4.53860605380591,20,-4.25080580777576
15,8,20,4.43273995482473,20,-4.35667190675694
20,8,20,4.31400745635041,20,-4.47540440523126
25,8,20,4.18462364199557,20,-4.60478821958611
30,8,20,4.04686666243631,20,-4.74254519914537
35,8,20,3.90308951555377,20,-4.88632234602791
40,8,20,3.75572595836583,20,-5.03368590321584
45,8,20,3.60728240793669,20,-5.18212945364499
50,8,20,3.46031021066635,20,-5.32910165091533
55,8,20,3.31735709317654,20,-5.47205476840514
60,8,20,3.18090157986537,20,-5.60851028171631
65,8,20,3.0532779817047,20,-5.73613387987698
70,8,20,2.93660090799021,20,-5.85281095359147
75,8,20,2.8326967673792,20,-5.95671509420248
80,8,20,2.74304619292362,20,-6.04636566865806
85,8,20,2.6687373392872,20,-6.12067452229448
90,8,20,2.61042724161815,20,-6.17898461996353
0,8,25,4.56305727975883,25,-4.22635458182285
5,8,25,4.43444863074063,25,-4.35496323084105
10,8,25,4.2847577164686,25,-4.50465414511308
15,8,25,4.11677248870984,25,-4.67263937287184
20,8,25,3.9333201442964,25,-4.85609171728528
25,8,25,3.73728551027151,25,-5.05212635131017
30,8,25,3.53165547913222,25,-5.25775638244945
35,8,25,3.31957235950733,25,-5.46983950207435
40,8,25,3.10437025537428,25,-5.68504160620739
45,8,25,2.88956854171054,25,-5.89984331987114
50,8,25,2.67880717133034,25,-6.11060469025134
55,8,25,2.47572730524131,25,-6.31368455634036
60,8,25,2.28382056075958,25,-6.5055913008221
65,8,25,2.10628224575351,25,-6.68312961582817
70,8,25,1.94590210000436,25,-6.84350976157732
75,8,25,1.80501032027892,25,-6.98440154130275
80,8,25,1.68547375162516,25,-7.10393810995652
85,8,25,1.58871719726371,25,-7.20069466431796
90,8,25,1.51573609551934,25,-7.27367576606234
0,8,30,4.3433140124886,30,-4.44609784909308
5,8,30,4.15105529166656,30,-4.63835656991512
10,8,30,3.93428350717247,30,-4.85512835440921
15,8,30,3.69651597799769,30,-5.09289588358399
20,8,30,3.44131553582578,30,-5.34809632575589
25,8,30,3.17232726322988,30,-5.61708459835179
30,8,30,2.89338419681807,30,-5.89602766476361
35,8,30,2.6086356453127,30,-6.18077621626898
40,8,30,2.32262145281102,30,-6.46679040877065
45,8,30,2.04021573175474,30,-6.74919612982694
50,8,30,1.76640460179746,30,-7.02300725978421
55,8,30,1.50593406612945,30,-7.28347779545222
60,8,30,1.26293444812226,30,-7.52647741345942
65,8,30,1.04065704870139,30,-7.74875481288029
70,8,30,0.841424002064726,30,-7.94798785951695
75,8,30,0.6668066156458,30,-8.12260524593588
80,8,30,0.517954200341694,30,-8.27145766123998
85,8,30,0.395939878838519,30,-8.39347198274316
90,8,30,0.301991147653204,30,-8.48742071392847
0,8,35,4.05623532590564,35,-4.73317653567604
5,8,35,3.79618803270636,35,-4.99322382887532
10,8,35,3.50883533339649,35,-5.28057652818519
15,8,35,3.19871932678661,35,-5.59069253479507
20,8,35,2.87047781802163,35,-5.91893404356005
25,8,35,2.52889910568062,35,-6.26051275590106
30,8,35,2.17914070397947,35,-6.61027115760221
35,8,35,1.82699279170789,35,-6.96241906987379
40,8,35,1.47897224629076,35,-7.31043961529092
45,8,35,1.1420362625359,35,-7.64737559904577
50,8,35,0.822851152322184,35,-7.96656070925949
55,8,35,0.526802069649875,35,-8.2626097919318
60,8,35,0.257143820774744,35,-8.53226804080693
65,8,35,0.0147079608282832,35,-8.77470390075339
70,8,35,-0.201650909481192,35,-8.99106277106287
75,8,35,-0.394028148335175,35,-9.18344000991685
80,8,35,-0.564251780854288,35,-9.35366364243596
85,8,35,-0.71287445406773,35,-9.50228631564941
90,8,35,-0.838619644082138,35,-9.62803150566381
0,8,40,3.71662197832346,40,-5.07278988325821
5,8,40,3.38949215770138,40,-5.3999197038803
10,8,40,3.03326597348271,40,-5.75614588809897
15,8,40,2.6542084219642,40,-6.13520343961747
20,8,40,2.25879784802087,40,-6.5306140135608
25,8,40,1.85378787237326,40,-6.93562398920842
30,8,40,1.44662606161048,40,-7.3427857999712
35,8,40,1.04594201034548,40,-7.74346985123619
40,8,40,0.661552138120642,40,-8.12785972346104
45,8,40,0.303460739879313,40,-8.48595112170236
50,8,40,-0.0201661567581071,40,-8.80957801833978
55,8,40,-0.305294761951946,40,-9.09470662353362
60,8,40,-0.5533446564321,40,-9.34275651801378
65,8,40,-0.770662009850163,40,-9.56007387143184
70,8,40,-0.966312414488697,40,-9.75572427607037
75,8,40,-1.14923483780659,40,-9.93864669938826
80,8,40,-1.32587565324679,40,-10.1152875148285
85,8,40,-1.49886837051199,40,-10.2882802320937
90,8,40,-1.66671219167252,40,-10.4561240532542
0,8,45,3.33976070925512,45,-5.44965115232656
5,8,45,2.95079540777413,45,-5.83861645380755
10,8,45,2.53247895057668,45,-6.256932911005
15,8,45,2.09397096115824,45,-6.69544090042343
20,8,45,1.64480915930845,45,-7.14460270227323
25,8,45,1.1949118570459,45,-7.59450000453578
30,8,45,0.755283071629485,45,-8.03412878995219
35,8,45,0.338784679102758,45,-8.45062718247892
40,8,45,-0.0402955637619908,45,-8.82970742534367
45,8,45,-0.368937120290319,45,-9.158348981872
50,8,45,-0.639875406485899,45,-9.42928726806758
55,8,45,-0.855437659425295,45,-9.64484952100697
60,8,45,-1.02790670746939,45,-9.81731856905107
65,8,45,-1.17579736674176,45,-9.96520922832343
70,8,45,-1.31821720530701,45,-10.1076290668887
75,8,45,-1.47019813952088,45,-10.2596100011026
80,8,45,-1.64046893293568,45,-10.4298807945174
85,8,45,-1.83143232088414,45,-10.6208441824658
90,8,45,-2.04030202539525,45,-10.8297138869769
0,8,50,2.93879778606701,50,-5.85061407551466
5,8,50,2.49686982319655,50,-6.29254203838513
10,8,50,2.02734618184334,50,-6.76206567973834
15,8,50,1.54378747808803,50,-7.24562438349365
20,8,50,1.0601984661677,50,-7.72921339541398
25,8,50,0.590767339928984,50,-8.19864452165269
30,8,50,0.150862178345961,50,-8.63854968323572
35,8,50,-0.241964381234054,50,-9.03137624281573
40,8,50,-0.569473595376435,50,-9.35888545695811
45,8,50,-0.818362428560905,50,-9.60777429014258
50,8,50,-0.98782839441103,50,-9.77724025599271
55,8,50,-1.09336763451597,50,-9.88277949609765
60,8,50,-1.16287100617324,50,-9.95228286775492
65,8,50,-1.22732433681526,50,-10.0167361983969
70,8,50,-1.31206037825333,50,-10.101472239835
75,8,50,-1.43245546659154,50,-10.2218673281732
80,8,50,-1.59408673010929,50,-10.383498591691
85,8,50,-1.79538348434902,50,-10.5847953459307
90,8,50,-2.03080373779585,50,-10.8202155993775
0,8,55,2.52254013951352,55,-6.26687172206816
5,8,55,2.03868904254327,55,-6.75072281903841
10,8,55,1.53116516378939,55,-7.25824669779228
15,8,55,1.0194006150618,55,-7.77001124651988
20,8,55,0.52292991865021,55,-8.26648194293147
25,8,55,0.0604914204224522,55,-8.72892044115922
30,8,55,-0.34875138886369,55,-9.13816325044537
35,8,55,-0.684005066563393,55,-9.47341692814507
40,8,55,-0.925905995618926,55,-9.7153178572006
45,8,55,-1.06565476049439,55,-9.85506662207606
50,8,55,-1.11470455932504,55,-9.90411642090671
55,8,55,-1.1054706776815,55,-9.89488253926318
60,8,55,-1.08053680465525,55,-9.86994866623692
65,8,55,-1.07820154340102,55,-9.8676134049827
70,8,55,-1.12327570970485,55,-9.91268757128653
75,8,55,-1.22555124749799,55,-10.0149631090797
80,8,55,-1.38337401482479,55,-10.1727858764065
85,8,55,-1.58897442948421,55,-10.3783862910659
90,8,55,-1.83331917576133,55,-10.622731037343
0,8,60,2.09468902499265,60,-6.69472283658902
5,8,60,1.58041520992471,60,-7.20899665165697
10,8,60,1.04828249097599,60,-7.74112937060569
15,8,60,0.524604123599048,60,-8.26480773798263
20,8,60,0.0346907847858135,60,-8.75472107679586
25,8,60,-0.399108662473355,60,-9.18852052405503
30,8,60,-0.755893652645812,60,-9.54530551422749
35,8,60,-1.01448070778623,60,-9.80389256936791
40,8,60,-1.15786764755113,60,-9.94727950913281
45,8,60,-1.18545139394205,60,-9.97486325552372
50,8,60,-1.12315578415501,60,-9.91256764573668
55,8,60,-1.01900711316551,60,-9.80841897474719
60,8,60,-0.925523593271274,60,-9.71493545485295
65,8,60,-0.882427942977791,60,-9.67183980455947
70,8,60,-0.909217711133863,60,-9.69862957271554
75,8,60,-1.0071840207443,60,-9.79659588232597
80,8,60,-1.16613777929412,60,-9.9555496408758
85,8,60,-1.3718646503111,60,-10.1612765118928
90,8,60,-1.6121136968126,60,-10.4015255583943
0,8,65,1.65474489744042,65,-7.13466696414126
5,8,65,1.12047572926792,65,-7.66893613231376
10,8,65,0.575421931721229,65,-8.21398992986045
15,8,65,0.0531119085609319,65,-8.73629995302075
20,8,65,-0.41597092464049,65,-9.20538278622217
25,8,65,-0.807666767783284,65,-9.59707862936496
30,8,65,-1.10195986949481,65,-9.89137173107649
35,8,65,-1.27997646504906,65,-10.0693883266307
40,8,65,-1.32919811350467,65,-10.1186099750864
45,8,65,-1.25805561473513,65,-10.0474674763168
50,8,65,-1.10556888429626,65,-9.89498074587793
55,8,65,-0.931676728723482,65,-9.72108859030516
60,8,65,-0.79430214369621,65,-9.58371400527789
65,8,65,-0.731049658628879,65,-9.52046152021056
70,8,65,-0.754244146675077,65,-9.54365600825675
75,8,65,-0.856192821141989,65,-9.64560468272366
80,8,65,-1.01852251173702,65,-9.8079343733187
85,8,65,-1.22133630178611,65,-10.0107481633678
90,8,65,-1.44995776683848,65,-10.2393696284202
0,8,70,1.1998882549462,70,-7.58952360663548
5,8,70,0.653926594826276,70,-8.1354852667554
10,8,70,0.104721940243661,70,-8.68468992133802
15,8,70,-0.407202069477745,70,-9.19661393105942
20,8,70,-0.847201115666422,70,-9.6366129772481
25,8,70,-1.19113001285414,70,-9.98054187443581
30,8,70,-1.42196096405562,70,-10.2113728256373
35,8,70,-1.52472846355444,70,-10.3141403251361
40,8,70,-1.49185317379835,70,-10.28126503538
45,8,70,-1.33966898560835,70,-10.12908084719
50,8,70,-1.11753916947372,70,-9.90695103105539
55,8,70,-0.893816769502688,70,-9.68322863108436
60,8,70,-0.729013990683355,70,-9.51842585226503
65,8,70,-0.657289332338328,70,-9.44670119392
70,8,70,-0.683775456919921,70,-9.4731873185016
75,8,70,-0.79250672552102,70,-9.5819185871027
80,8,70,-0.957913993956805,70,-9.74732585553848
85,8,70,-1.15542056452763,70,-9.94483242610931
90,8,70,-1.36869226818007,70,-10.1581041297617
0,8,75,0.726762129280561,75,-8.06264973230112
5,8,75,0.174791578366802,75,-8.61462028321488
10,8,75,-0.373188140797487,75,-9.16260000237916
15,8,75,-0.870070379205649,75,-9.65948224078733
20,8,75,-1.27785104941156,75,-10.0672629109932
25,8,75,-1.57354357071976,75,-10.3629554323014
30,8,75,-1.74425550297479,75,-10.5336673645565
35,8,75,-1.77963006790213,75,-10.5690419294838
40,8,75,-1.67680888084455,75,-10.4662207424262
45,8,75,-1.45848983828149,75,-10.2479016998632
50,8,75,-1.18171859614607,75,-9.97113045772775
55,8,75,-0.920570967261624,75,-9.7099828288433
60,8,75,-0.736596072504944,75,-9.52600793408662
65,8,75,-0.660409858166555,75,-9.44982171974823
70,8,75,-0.690863588641986,75,-9.48027545022366
75,8,75,-0.805011370571239,75,-9.59442323215292
80,8,75,-0.971305560417822,75,-9.7607174219995
85,8,75,-1.16137581736264,75,-9.95078767894432
90,8,75,-1.35763452287135,75,-10.147046384453
0,8,80,0.232436680056972,80,-8.55697518152471
5,8,80,-0.322528552250771,80,-9.11194041383245
10,8,80,-0.867226126557802,80,-9.65663798813948
15,8,80,-1.34817968671602,80,-10.1375915482977
20,8,80,-1.72413726432368,80,-10.5135491259054
25,8,80,-1.97345392372859,80,-10.7628657853103
30,8,80,-2.08775892281066,80,-10.8771707843923
35,8,80,-2.06182050082189,80,-10.8512323624036
40,8,80,-1.89762053514542,80,-10.6870323967271
45,8,80,-1.62316094195171,80,-10.4125728035334
50,8,80,-1.3009165564963,80,-10.090328418078
55,8,80,-1.00841584482083,80,-9.79782770640251
60,8,80,-0.807189951803776,80,-9.59660181338545
65,8,80,-0.724742190081345,80,-9.51415405166302
70,8,80,-0.755056273937893,80,-9.54446813551957
75,8,80,-0.869901663173167,80,-9.65931352475484
80,8,80,-1.03313250267633,80,-9.822544364258
85,8,80,-1.21328438415917,80,-10.0026962457408
90,8,80,-1.39148015987005,80,-10.1808920214517
0,8,85,-0.285473804322661,85,-9.07488566590434
5,8,85,-0.842882311916946,85,-9.63229417349862
10,8,85,-1.38518162446937,85,-10.174593486051
15,8,85,-1.85230065915964,85,-10.6417125207413
20,8,85,-2.19896026733565,85,-10.9883721289173
25,8,85,-2.40414412039548,85,-11.1935559819772
30,8,85,-2.46403447627435,85,-11.253446337856
35,8,85,-2.37942298140071,85,-11.1688348429824
40,8,85,-2.15806214159431,85,-10.947474003176
45,8,85,-1.83288004909115,85,-10.6222919106728
50,8,85,-1.46978533939575,85,-10.2591972009774
55,8,85,-1.14747994355222,85,-9.93689180513389
60,8,85,-0.926415063219448,85,-9.71582692480112
65,8,85,-0.831535894786664,85,-9.62094775636834
70,8,85,-0.853639208325053,85,-9.64305106990673
75,8,85,-0.961234906722446,85,-9.75064676830412
80,8,85,-1.11518706276947,85,-9.90459892435114
85,8,85,-1.28161556571023,85,-10.0710274272919
90,8,85,-1.44010168753519,85,-10.2295135491169
0,8,90,-0.828984317630438,90,-9.61839617921212
5,8,90,-1.39049733405746,90,-10.1799091956391
10,8,90,-1.93379062285638,90,-10.7232024844381
15,8,90,-2.39153750276843,90,-11.1809493643501
20,8,90,-2.71280997968825,90,-11.5022218412699
25,8,90,-2.87579879273291,90,-11.6652106543146
30,8,90,-2.88120493801942,90,-11.6706167996011
35,8,90,-2.73731942262247,90,-11.5267312842041
40,8,90,-2.45939475537681,90,-11.2488066169585
