"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,3.52834820256181,0,-7.84814316381354
5,8,0,3.52834820256182,0,-7.84814316381353
10,8,0,3.52834820256182,0,-7.84814316381353
15,8,0,3.52834820256182,0,-7.84814316381353
20,8,0,3.52834820256182,0,-7.84814316381353
25,8,0,3.52834820256182,0,-7.84814316381353
30,8,0,3.52834820256182,0,-7.84814316381353
35,8,0,3.52834820256182,0,-7.84814316381353
40,8,0,3.52834820256182,0,-7.84814316381353
45,8,0,3.52834820256182,0,-7.84814316381353
50,8,0,3.52834820256182,0,-7.84814316381353
55,8,0,3.52834820256182,0,-7.84814316381353
60,8,0,3.52834820256182,0,-7.84814316381353
65,8,0,3.52834820256182,0,-7.84814316381353
70,8,0,3.52834820256182,0,-7.84814316381353
75,8,0,3.52834820256182,0,-7.84814316381353
80,8,0,3.52834820256182,0,-7.84814316381353
85,8,0,3.52834820256182,0,-7.84814316381353
90,8,0,3.52834820256181,0,-7.84814316381353
0,8,5,4.69947503672228,5,-6.67701632965307
5,8,5,4.69337596227268,5,-6.68311540410267
10,8,5,4.67998396707221,5,-6.69650739930314
15,8,5,4.65934286628452,5,-6.71714850009083
20,8,5,4.63151164246123,5,-6.74497972391412
25,8,5,4.59656547226843,5,-6.77992589410692
30,8,5,4.55459740456525,5,-6.8218939618101
35,8,5,4.50572066721364,5,-6.87077069916171
40,8,5,4.45007156458103,5,-6.92641980179432
45,8,5,4.38781291387427,5,-6.98867845250108
50,8,5,4.31913795652418,5,-7.05735340985117
55,8,5,4.24427467080453,5,-7.13221669557082
60,8,5,4.16349040327841,5,-7.21300096309694
65,8,5,4.0770967286022,5,-7.29939463777315
70,8,5,3.98545443827374,5,-7.39103692810161
75,8,5,3.88897854724212,5,-7.48751281913322
80,8,5,3.78814319076497,5,-7.58834817561038
85,8,5,3.68348626033202,5,-7.69300510604333
90,8,5,3.57561359501638,5,-7.80087777135897
0,8,10,5.63100763124344,10,-5.74548373513191
5,8,10,5.62102276157536,10,-5.75546860479999
10,8,10,5.60007390187107,10,-5.77641746450428
