"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,3.16427339718764,0,0.648360749342108
5,8,0,3.16427339718764,0,0.64836074934211
10,8,0,3.16427339718764,0,0.64836074934211
15,8,0,3.16427339718764,0,0.648360749342108
20,8,0,3.16427339718764,0,0.64836074934211
25,8,0,3.16427339718764,0,0.648360749342111
30,8,0,3.16427339718764,0,0.648360749342108
35,8,0,3.16427339718764,0,0.64836074934211
40,8,0,3.16427339718764,0,0.648360749342108
45,8,0,3.16427339718764,0,0.648360749342108
50,8,0,3.16427339718764,0,0.648360749342108
55,8,0,3.16427339718764,0,0.64836074934211
60,8,0,3.16427339718764,0,0.648360749342108
65,8,0,3.16427339718764,0,0.648360749342109
70,8,0,3.16427339718764,0,0.648360749342108
75,8,0,3.16427339718764,0,0.64836074934211
80,8,0,3.16427339718764,0,0.64836074934211
85,8,0,3.16427339718764,0,0.64836074934211
90,8,0,3.16427339718764,0,0.648360749342109
0,8,5,4.49580180803524,5,1.97988916018971
5,8,5,4.49300484822773,5,1.9770922003822
10,8,5,4.48288321600901,5,1.96697056816348
15,8,5,4.46539601871113,5,1.9494833708656
20,8,5,4.44049961569203,5,1.9245869678465
25,8,5,4.40814996511324,5,1.89223731726771
30,8,5,4.36830565559932,5,1.85239300775379
35,8,5,4.32093163851537,5,1.80501899066984
40,8,5,4.26600368035378,5,1.75009103250825
45,8,5,4.2035135577695,5,1.68760090992397
50,8,5,4.13347502028862,5,1.61756237244309
55,8,5,4.05593054747366,5,1.54001789962813
60,8,5,3.97095892766321,5,1.45504627981768
65,8,5,3.87868368289763,5,1.3627710350521
70,8,5,3.77928235701025,5,1.26336970916472
75,8,5,3.67299666785476,5,1.15708402000923
80,8,5,3.56014349598051,5,1.04423084813498
85,8,5,3.44112663546608,5,0.925213987620546
90,8,5,3.31644916187614,5,0.800536514030611
0,8,10,5.47868793982472,10,2.96277529197919
5,8,10,5.47761557072656,10,2.96170292288103
10,8,10,5.46706919785389,10,2.95115655000836
15,8,10,5.44687110645812,10,2.93095845861259
20,8,10,5.41678449013888,10,2.90087184229335
25,8,10,5.3765159319034,10,2.86060328405787
30,8,10,5.32571896546619,10,2.80980631762066
35,8,10,5.26399889395296,10,2.74808624610743
40,8,10,5.19091893975056,10,2.67500629190503
45,8,10,5.10600769407134,10,2.59009504622581
50,8,10,5.00876776405926,10,2.49285511621373
55,8,10,4.89868550575711,10,2.38277285791158
60,8,10,4.77524179490089,10,2.25932914705536
65,8,10,4.63792392096324,10,2.12201127311771
70,8,10,4.48623887900106,10,1.97032623115553
75,8,10,4.31972856135057,10,1.80381591350504
80,8,10,4.13798760468547,10,1.62207495683994
85,8,10,3.94068492593708,10,1.42477227809155
90,8,10,3.72759029394548,10,1.21167764609995
