"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,3.27273682376024,0,1.51921319462849
5,8,0,3.27273682376024,0,1.51921319462849
10,8,0,3.27273682376024,0,1.5192131946285
15,8,0,3.27273682376024,0,1.5192131946285
20,8,0,3.27273682376024,0,1.5192131946285
25,8,0,3.27273682376024,0,1.5192131946285
30,8,0,3.27273682376024,0,1.5192131946285
35,8,0,3.27273682376024,0,1.5192131946285
40,8,0,3.27273682376024,0,1.5192131946285
45,8,0,3.27273682376024,0,1.5192131946285
50,8,0,3.27273682376024,0,1.5192131946285
55,8,0,3.27273682376024,0,1.5192131946285
60,8,0,3.27273682376024,0,1.5192131946285
65,8,0,3.27273682376024,0,1.5192131946285
70,8,0,3.27273682376024,0,1.51921319462849
75,8,0,3.27273682376024,0,1.5192131946285
80,8,0,3.27273682376024,0,1.5192131946285
85,8,0,3.27273682376024,0,1.5192131946285
90,8,0,3.27273682376024,0,1.5192131946285
0,8,5,4.5608903602015,5,2.80736673106976
5,8,5,4.55623051983842,5,2.80270689070667
10,8,5,4.54360501320911,5,2.79008138407737
15,8,5,4.52305707688782,5,2.76953344775608
20,8,5,4.4946457241995,5,2.74112209506776
25,8,5,4.45844648389321,5,2.70492285476147
30,8,5,4.41455266490668,5,2.66102903577494
35,8,5,4.36307715269785,5,2.60955352356611
40,8,5,4.30415473564338,5,2.55063110651164
45,8,5,4.23794495437813,5,2.48442132524639
50,8,5,4.16463546304079,5,2.41111183390905
55,8,5,4.08444588899949,5,2.33092225986775
60,8,5,3.99763217590589,5,2.24410854677415
65,8,5,3.90449139234912,5,2.15096776321738
70,8,5,3.80536698279618,5,2.05184335366443
75,8,5,3.70065442622029,5,1.94713079708855
80,8,5,3.59080724775531,5,1.83728361862357
85,8,5,3.47634329662709,5,1.72281966749535
90,8,5,3.35785115639916,5,1.60432752726741
0,8,10,5.54975600061696,10,3.79623237148522
5,8,10,5.54140274237021,10,3.78787911323847
10,8,10,5.52112824043566,10,3.76760461130392
15,8,10,5.48897219671779,10,3.73544856758605
20,8,10,5.44495176165485,10,3.69142813252311
25,8,10,5.38906205555734,10,3.6355384264256
30,8,10,5.32127856644409,10,3.56775493731235
35,8,10,5.24156130010832,10,3.48803767097658
40,8,10,5.1498604303547,10,3.39633680122296
45,8,10,5.04612311738431,10,3.29259948825257
50,8,10,4.93030114374027,10,3.17677751460852
55,8,10,4.80235906584663,10,3.04883543671489
60,8,10,4.66228269272426,10,2.90875906359252
65,8,10,4.51008787265352,10,2.75656424352178
70,8,10,4.34582977893248,10,2.59230614980074
75,8,10,4.16961312009986,10,2.41608949096812
80,8,10,3.98160393977475,10,2.22808031064301
85,8,10,3.78204389852778,10,2.02852026939603
90,8,10,3.57126812687134,10,1.8177444977396
0,8,15,6.25871684471896,15,4.50519321558721
5,8,15,6.2472791942192,15,4.49375556508746
10,8,15,6.22231448150791,15,4.46879085237617
15,8,15,6.18388137768925,15,4.43035774855751
20,8,15,6.13194651389293,15,4.37842288476119
25,8,15,6.06638485514738,15,4.31286122601564
30,8,15,5.98698706735684,15,4.2334634382251
35,8,15,5.89347291194826,15,4.13994928281652
40,8,15,5.78550895627425,15,4.0319853271425
45,8,15,5.6627283992704,15,3.90920477013866
50,8,15,5.52475065184567,15,3.77122702271393
55,8,15,5.37119849601801,15,3.61767486688626
60,8,15,5.20171113836801,15,3.44818750923627
65,8,15,5.01595219425205,15,3.26242856512031
70,8,15,4.81361249243351,15,3.06008886330177
75,8,15,4.59440848142465,15,2.84088485229291
80,8,15,4.35807787597868,15,2.60455424684694
85,8,15,4.10437496377409,15,2.35085133464235
90,8,15,3.83306869303225,15,2.0795450639005
0,8,20,6.71091237065515,20,4.9573887415234
5,8,20,6.69660819880812,20,4.94308456967638
10,8,20,6.66879078252621,20,4.91526715339447
15,8,20,6.62758272426367,20,4.87405909513193
20,8,20,6.57288994201423,20,4.81936631288248
25,8,20,6.50440360795659,20,4.75087997882485
30,8,20,6.42162290529171,20,4.66809927615997
35,8,20,6.32389547478827,20,4.57037184565653
40,8,20,6.21046982643571,20,4.45694619730396
45,8,20,6.0805523102843,20,4.32702868115256
50,8,20,5.93336076850849,20,4.17983713937675
55,8,20,5.76816775794199,20,4.01464412881025
60,8,20,5.58432800993671,20,3.83080438080497
65,8,20,5.3812871802752,20,3.62776355114346
70,8,20,5.15857148843181,20,3.40504785930006
75,8,20,4.91576017885242,20,3.16223654972068
80,8,20,4.65244462766647,20,2.89892099853473
85,8,20,4.36817929069515,20,2.6146556615634
90,8,20,4.06243058512779,20,2.30890695599605
0,8,25,6.93171784648411,25,5.17819421735236
5,8,25,6.91440630448962,25,5.16088267535788
10,8,25,6.88485447505227,25,5.13133084592053
15,8,25,6.84331375022051,25,5.08979012108877
20,8,25,6.78961111202847,25,5.03608748289673
25,8,25,6.72315204934518,25,4.96962842021344
30,8,25,6.64297276044902,25,4.88944913131727
