"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,3.48451186493545,0,1.87364448101505
5,8,0,3.48451186493545,0,1.87364448101505
10,8,0,3.48451186493545,0,1.87364448101505
15,8,0,3.48451186493545,0,1.87364448101505
20,8,0,3.48451186493545,0,1.87364448101505
25,8,0,3.48451186493546,0,1.87364448101505
30,8,0,3.48451186493545,0,1.87364448101505
35,8,0,3.48451186493546,0,1.87364448101505
40,8,0,3.48451186493545,0,1.87364448101505
45,8,0,3.48451186493546,0,1.87364448101505
50,8,0,3.48451186493546,0,1.87364448101505
55,8,0,3.48451186493545,0,1.87364448101505
60,8,0,3.48451186493545,0,1.87364448101505
65,8,0,3.48451186493545,0,1.87364448101505
70,8,0,3.48451186493545,0,1.87364448101505
75,8,0,3.48451186493545,0,1.87364448101504
80,8,0,3.48451186493545,0,1.87364448101504
85,8,0,3.48451186493545,0,1.87364448101504
90,8,0,3.48451186493545,0,1.87364448101505
0,8,5,4.73759623757649,5,3.12672885365608
5,8,5,4.7342382369805,5,3.12337085306009
10,8,5,4.72310187538681,5,3.11223449146641
15,8,5,4.70419439027831,5,3.0933270063579
20,8,5,4.67753736965277,5,3.06666998573236
25,8,5,4.64316858432088,5,3.03230120040048
30,8,5,4.60114440324672,5,2.99027701932632
35,8,5,4.55154274437976,5,2.94067536045935
40,8,5,4.49446650768585,5,2.88359912376544
45,8,5,4.43004743618431,5,2.8191800522639
50,8,5,4.35845035442793,5,2.74758297050753
55,8,5,4.27987774090383,5,2.66901035698342
60,8,5,4.19457459935618,5,2.58370721543578
65,8,5,4.10283360137043,5,2.49196621745003
70,8,5,4.0050004754414,5,2.394133091521
75,8,5,3.90147961250359,5,2.29061222858319
80,8,5,3.79273984071542,5,2.18187245679501
85,8,5,3.67932028952639,5,2.06845290560599
90,8,5,3.56183621166816,5,1.95096882774776
0,8,10,5.68756452972522,10,4.07669714580481
5,8,10,5.68325590351737,10,4.07238851959696
10,8,10,5.66747586948601,10,4.0566084855656
15,8,10,5.64013497940392,10,4.02926759548352
20,8,10,5.60111023767232,10,3.99024285375191
25,8,10,5.55025190545324,10,3.93938452153284
30,8,10,5.48739240815228,10,3.87652502423188
35,8,10,5.41235677247332,10,3.80148938855292
40,8,10,5.32497393411681,10,3.71410655019641
45,8,10,5.22508825100831,10,3.6142208670879
50,8,10,5.11257063656646,10,3.50170325264606
55,8,10,4.98732889066941,10,3.37646150674901
60,8,10,4.84931704124721,10,3.2384496573268
65,8,10,4.69854379762524,10,3.08767641370483
70,8,10,4.53508053337843,10,2.92421314945803
75,8,10,4.35906953482392,10,2.74820215090351
80,8,10,4.17073354531969,10,2.55986616139929
85,8,10,3.97038788156759,10,2.35952049764719
90,8,10,3.75845657463652,10,2.14758919071612
0,8,15,6.35483969262928,15,4.74397230870888
5,8,15,6.35068652902461,15,4.7398191451042
10,8,15,6.333952076617,15,4.72308469269659
15,8,15,6.30439471279125,15,4.69352732887085
