"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,5.25371240653272,0,-12.2364140850195
5,8,0,5.25371240653272,0,-12.2364140850195
10,8,0,5.25371240653272,0,-12.2364140850195
15,8,0,5.25371240653272,0,-12.2364140850195
20,8,0,5.25371240653272,0,-12.2364140850195
25,8,0,5.25371240653272,0,-12.2364140850195
30,8,0,5.25371240653272,0,-12.2364140850195
35,8,0,5.25371240653272,0,-12.2364140850195
40,8,0,5.25371240653272,0,-12.2364140850195
45,8,0,5.25371240653272,0,-12.2364140850195
50,8,0,5.25371240653272,0,-12.2364140850195
55,8,0,5.25371240653272,0,-12.2364140850195
60,8,0,5.25371240653272,0,-12.2364140850195
65,8,0,5.25371240653272,0,-12.2364140850195
70,8,0,5.25371240653272,0,-12.2364140850195
75,8,0,5.25371240653272,0,-12.2364140850195
80,8,0,5.25371240653272,0,-12.2364140850195
85,8,0,5.25371240653272,0,-12.2364140850195
90,8,0,5.25371240653272,0,-12.2364140850195
0,8,5,5.64605975855517,5,-11.844066732997
5,8,5,5.64468956102655,5,-11.8454369305257
10,8,5,5.64056418882357,5,-11.8495623027286
15,8,5,5.63369097653212,5,-11.8564355150201
20,8,5,5.62408793548898,5,-11.8660385560632
25,8,5,5.61178417449646,5,-11.8783423170558
30,8,5,5.59682048151826,5,-11.893306010034
35,8,5,5.57925007027946,5,-11.9108764212728
40,8,5,5.55913948710873,5,-11.9309870044435
45,8,5,5.53656966260116,5,-11.9535568289511
50,8,5,5.51163708048967,5,-11.9784894110625
55,8,5,5.48445502343519,5,-12.005671468117
60,8,5,5.45515484327151,5,-12.0349716482807
65,8,5,5.42388719247108,5,-12.0662392990811
70,8,5,5.39082314492315,5,-12.0993033466291
75,8,5,5.35615512797168,5,-12.1339713635805
80,8,5,5.32009758423436,5,-12.1700289073179
85,8,5,5.28288728103502,5,-12.2072392105172
90,8,5,5.24478318728907,5,-12.2453433042632
0,8,10,5.95838708221663,10,-11.5317394093356
