"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,2.55171788766617,0,-1.74709513206509
5,8,0,2.55171788766617,0,-1.74709513206509
10,8,0,2.55171788766617,0,-1.74709513206509
15,8,0,2.55171788766617,0,-1.74709513206509
20,8,0,2.55171788766617,0,-1.74709513206509
25,8,0,2.55171788766617,0,-1.74709513206509
30,8,0,2.55171788766617,0,-1.74709513206509
35,8,0,2.55171788766617,0,-1.74709513206509
40,8,0,2.55171788766617,0,-1.74709513206509
45,8,0,2.55171788766617,0,-1.74709513206509
50,8,0,2.55171788766617,0,-1.74709513206509
55,8,0,2.55171788766617,0,-1.74709513206509
60,8,0,2.55171788766617,0,-1.74709513206509
65,8,0,2.55171788766617,0,-1.74709513206508
70,8,0,2.55171788766617,0,-1.74709513206509
75,8,0,2.55171788766617,0,-1.74709513206509
80,8,0,2.55171788766617,0,-1.74709513206509
85,8,0,2.55171788766617,0,-1.74709513206509
90,8,0,2.55171788766617,0,-1.74709513206509
0,8,5,3.70118927716476,5,-0.5976237425665
5,8,5,3.70098981808237,5,-0.597823201648882
10,8,5,3.69453723812329,5,-0.604275781607971
15,8,5,3.6817853454411,5,-0.617027674290157
20,8,5,3.6626836557873,5,-0.636129363943959
25,8,5,3.6371792426661,5,-0.661633777065152
30,8,5,3.60521919464466,5,-0.693593825086599
35,8,5,3.56675370646433,5,-0.732059313266927
40,8,5,3.52173983228737,5,-0.777073187443882
45,8,5,3.47014593118806,5,-0.828667088543192
50,8,5,3.41195683726621,5,-0.88685618246505
55,8,5,3.34717978940423,5,-0.95163323032703
60,8,5,3.27585115785253,5,-1.02296186187873
65,8,5,3.19804400476925,5,-1.10076901496201
70,8,5,3.11387651084734,5,-1.18493650888392
75,8,5,3.02352128653989,5,-1.27529173319136
80,8,5,2.92721555953055,5,-1.3715974602007
85,8,5,2.82527218460079,5,-1.47354083513047
90,8,5,2.71809135201714,5,-1.58072166771412
0,8,10,4.52450105166396,10,0.225688031932708
5,8,10,4.52689656334484,10,0.228083543613588
10,8,10,4.52149146938926,10,0.222678449658004
15,8,10,4.5081267407777,10,0.209313721046446
20,8,10,4.48658679203626,10,0.187773772304999
25,8,10,4.45660067545437,10,0.15778765572311
30,8,10,4.41784462564084,10,0.119031605909581
35,8,10,4.3699460399543,10,0.0711330202230442
40,8,10,4.31248883418604,10,0.0136758144547859
45,8,10,4.24501999001935,10,-0.053793029711903
50,8,10,4.16705704492716,10,-0.131755974804093
55,8,10,4.07809629045781,10,-0.220716729273444
60,8,10,3.97762155134258,10,-0.321191468388674
65,8,10,3.86511361061195,10,-0.433699409119311
70,8,10,3.74006060794967,10,-0.558752411781586
75,8,10,3.60197004645266,10,-0.696842973278594
80,8,10,3.45038337351579,10,-0.848429646215464
85,8,10,3.28489443687281,10,-1.01391858285845
90,8,10,3.10517344672498,10,-1.19363957300628
0,8,15,5.05649072546638,15,0.757677705735127
5,8,15,5.06147480116643,15,0.762661781435172
10,8,15,5.05948606520292,15,0.760673045471659
15,8,15,5.05030386906656,15,0.751490849335308
20,8,15,5.03358295993664,15,0.734769940205382
25,8,15,5.00884956164197,15,0.710036541910716
30,8,15,4.97550370668805,15,0.676690686956793
35,8,15,4.932828279179,15,0.634015259447744
40,8,15,4.88000385750857,15,0.581190837777316
45,8,15,4.816127217428,15,0.517314197696741
50,8,15,4.74023057140602,15,0.441417551674762
55,8,15,4.65129846727427,15,0.352485447543011
60,8,15,4.54827977457208,15,0.249466754840822
65,8,15,4.43009321840074,15,0.131280198669481
70,8,15,4.29562623794084,15,-0.00318678179041789
75,8,15,4.14372828172867,15,-0.155084738002589
80,8,15,3.97320078719007,15,-0.325612232541189
85,8,15,3.78278691844762,15,-0.516026101283634
90,8,15,3.57116467581158,15,-0.72764834391968
0,8,20,5.33397892501914,20,1.03516590528788
5,8,20,5.3398606673263,20,1.04104764759504
10,8,20,5.34098500527861,20,1.04217198554735
15,8,20,5.33718017909773,20,1.03836715936647
20,8,20,5.32803659727451,20,1.02922357754326
25,8,20,5.31288280388124,20,1.01406978414999
30,8,20,5.29078638130967,20,0.99197336157841
35,8,20,5.26058259613254,20,0.961769576401286
40,8,20,5.22092696805465,20,0.922113948323392
45,8,20,5.17036203694024,20,0.87154901720898
50,8,20,5.1073850929882,20,0.808572073256947
55,8,20,5.03050344117057,20,0.731690421439312
60,8,20,4.93826676741427,20,0.639453747683009
65,8,20,4.82927130271719,20,0.530458282985929
70,8,20,4.70213619589749,20,0.403323176166233
75,8,20,4.5554573254456,20,0.256644305714346
80,8,20,4.38774672922025,20,0.0889337094889967
85,8,20,4.19736662377038,20,-0.101446395960875
90,8,20,3.98246596845757,20,-0.316347051273683
0,8,25,5.39644770433543,25,1.09763468460418
5,8,25,5.4005643874109,25,1.10175136767964
10,8,25,5.40293052453562,25,1.10411750480436
15,8,25,5.40364320308813,25,1.10483018335687
20,8,25,5.40236627477156,25,1.1035532550403
25,8,25,5.39824206535531,25,1.09942904562405
30,8,25,5.3898786509515,25,1.09106563122024
35,8,25,5.37542431968991,25,1.07661129995865
40,8,25,5.35271712588842,25,1.05390410615716
45,8,25,5.31947659366281,25,1.02066357393155
50,8,25,5.27349356523726,25,0.974680545506005
55,8,25,5.21277613222638,25,0.913963112495128
60,8,25,5.13562291143595,25,0.836809891704692
65,8,25,5.04061429753597,25,0.741801277804715
70,8,25,4.92653121467474,25,0.627718194943487
75,8,25,4.79222406153354,25,0.493411041802281
80,8,25,4.63645952096404,25,0.33764650123278
85,8,25,4.45777014943858,25,0.158957129707321
90,8,25,4.25432376197004,25,-0.0444892577612177
0,8,30,5.2870096907283,30,0.988196670997045
5,8,30,5.28627250091444,30,0.987459481183185
10,8,30,5.28690969390153,30,0.988096674170278
15,8,30,5.28969664091335,30,0.990883621182091
20,8,30,5.29467671607835,30,0.995863696347098
25,8,30,5.30090842917257,30,1.00209540944132
30,8,30,5.30640017498514,30,1.00758715525388
35,8,30,5.30826999519581,30,1.00945697546456
40,8,30,5.30309821497504,30,1.00428519524378
45,8,30,5.28738058260071,30,0.988567562869455
