"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,3.79553185710447,0,0.0545233396622378
5,8,0,3.79553185710447,0,0.0545233396622378
10,8,0,3.79553185710447,0,0.0545233396622378
15,8,0,3.79553185710447,0,0.0545233396622378
20,8,0,3.79553185710447,0,0.0545233396622378
25,8,0,3.79553185710447,0,0.0545233396622378
30,8,0,3.79553185710447,0,0.0545233396622378
35,8,0,3.79553185710447,0,0.0545233396622359
40,8,0,3.79553185710447,0,0.0545233396622397
45,8,0,3.79553185710447,0,0.0545233396622397
50,8,0,3.79553185710447,0,0.0545233396622397
55,8,0,3.79553185710447,0,0.0545233396622378
60,8,0,3.79553185710447,0,0.0545233396622397
65,8,0,3.79553185710447,0,0.0545233396622397
70,8,0,3.79553185710447,0,0.0545233396622397
75,8,0,3.79553185710447,0,0.0545233396622378
80,8,0,3.79553185710447,0,0.0545233396622378
85,8,0,3.79553185710447,0,0.0545233396622397
90,8,0,3.79553185710447,0,0.0545233396622397
0,8,5,4.60663289049086,5,0.865624373048632
5,8,5,4.60661838966869,5,0.865609872226465
10,8,5,4.60210909359209,5,0.86110057614986
15,8,5,4.59310188594277,5,0.852093368500543
20,8,5,4.57958452855721,5,0.838576011114983
25,8,5,4.56153700878303,5,0.820528491340802
30,8,5,4.53893359313482,5,0.797925075692595
35,8,5,4.51174557296787,5,0.770737055525641
40,8,5,4.47994468834606,5,0.738936170903832
45,8,5,4.44350721545057,5,0.70249869800834
50,8,5,4.4024186998427,5,0.661410182400468
55,8,5,4.35667931196151,5,0.615670794519283
60,8,5,4.30630979189928,5,0.565301274457052
65,8,5,4.25135793734161,5,0.510349419899386
70,8,5,4.19190557112647,5,0.450897053684238
75,8,5,4.12807590252317,5,0.38706738508094
80,8,5,4.06004116814946,5,0.319032650707232
85,8,5,3.9880304032641,5,0.247021885821872
90,8,5,3.91233715072403,5,0.171328633281796
0,8,10,5.15289318308775,10,1.41188466564552
5,8,10,5.15260840070729,10,1.41159988326506
10,8,10,5.14711214272554,10,1.40610362528331
