"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,2.78177729127718,0,-1.97603966146425
5,8,0,2.78177729127718,0,-1.97603966146424
10,8,0,2.78177729127718,0,-1.97603966146424
15,8,0,2.78177729127718,0,-1.97603966146424
20,8,0,2.78177729127718,0,-1.97603966146424
25,8,0,2.78177729127718,0,-1.97603966146424
30,8,0,2.78177729127718,0,-1.97603966146424
35,8,0,2.78177729127718,0,-1.97603966146424
40,8,0,2.78177729127718,0,-1.97603966146424
45,8,0,2.78177729127719,0,-1.97603966146424
50,8,0,2.78177729127718,0,-1.97603966146424
55,8,0,2.78177729127718,0,-1.97603966146424
60,8,0,2.78177729127718,0,-1.97603966146424
65,8,0,2.78177729127718,0,-1.97603966146424
70,8,0,2.78177729127718,0,-1.97603966146424
75,8,0,2.78177729127718,0,-1.97603966146424
80,8,0,2.78177729127718,0,-1.97603966146424
85,8,0,2.78177729127718,0,-1.97603966146424
90,8,0,2.78177729127718,0,-1.97603966146424
0,8,5,3.74625265390966,5,-1.01156429883176
5,8,5,3.74238994075423,5,-1.01542701198719
10,8,5,3.73351558011275,5,-1.02430137262867
15,8,5,3.71961812467124,5,-1.03819882807018
20,8,5,3.70066608683547,5,-1.05715086590595
25,8,5,3.67660968743978,5,-1.08120726530164
30,8,5,3.64738355093218,5,-1.11043340180924
35,8,5,3.61291035725568,5,-1.14490659548574
40,8,5,3.57310545380855,5,-1.18471149893287
45,8,5,3.52788242398877,5,-1.22993452875266
50,8,5,3.47715960233942,5,-1.280657350402
55,8,5,3.42086752032804,5,-1.33694943241338
60,8,5,3.358957260934,5,-1.39885969180742
65,8,5,3.29140969343331,5,-1.46640725930811
70,8,5,3.21824555018258,5,-1.53957140255884
75,8,5,3.13953629200352,5,-1.6182806607379
80,8,5,3.05541568416538,5,-1.70240126857604
85,8,5,2.9660919662347,5,-1.79172498650673
90,8,5,2.87186044076984,5,-1.88595651197158
0,8,10,4.33677945201411,10,-0.421037500727308
5,8,10,4.33095587460864,10,-0.426861078132782
10,8,10,4.32014829607868,10,-0.437668656662745
15,8,10,4.30426711016848,10,-0.453549842572942
20,8,10,4.28311631172284,10,-0.474700641018581
25,8,10,4.25639533100789,10,-0.501421621733528
30,8,10,4.2237030983758,10,-0.534113854365621
35,8,10,4.18454439655363,10,-0.57327255618779
40,8,10,4.13833846443926,10,-0.619478488302161
45,8,10,4.08442972498517,10,-0.673387227756253
50,8,10,4.022100438394,10,-0.735716514347425
55,8,10,3.9505850474317,10,-0.807231905309722
60,8,10,3.86908599802276,10,-0.888730954718659
65,8,10,3.77679089476996,10,-0.981026057971463
70,8,10,3.67289099226725,10,-1.08492596047417
