"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,3.02073106041212,0,-1.67768073246907
5,8,0,3.02073106041212,0,-1.67768073246906
10,8,0,3.02073106041212,0,-1.67768073246906
15,8,0,3.02073106041212,0,-1.67768073246906
20,8,0,3.02073106041212,0,-1.67768073246906
25,8,0,3.02073106041212,0,-1.67768073246906
30,8,0,3.02073106041212,0,-1.67768073246906
35,8,0,3.02073106041212,0,-1.67768073246906
40,8,0,3.02073106041212,0,-1.67768073246906
45,8,0,3.02073106041212,0,-1.67768073246906
50,8,0,3.02073106041212,0,-1.67768073246906
55,8,0,3.02073106041212,0,-1.67768073246906
60,8,0,3.02073106041212,0,-1.67768073246906
65,8,0,3.02073106041212,0,-1.67768073246906
70,8,0,3.02073106041212,0,-1.67768073246906
75,8,0,3.02073106041212,0,-1.67768073246906
80,8,0,3.02073106041212,0,-1.67768073246906
85,8,0,3.02073106041212,0,-1.67768073246906
90,8,0,3.02073106041212,0,-1.67768073246906
0,8,5,3.77912935179791,5,-0.919282441083272
5,8,5,3.77816053299524,5,-0.920251259885941
10,8,5,3.77278942694746,5,-0.925622365933723
15,8,5,3.76299024422517,5,-0.935421548656015
20,8,5,3.74872755581631,5,-0.949684237064874
25,8,5,3.7299589321874,5,-0.968452860693781
30,8,5,3.7066384586574,5,-0.991773334223781
35,8,5,3.67872103404644,5,-1.01969075883474
40,8,5,3.64616734274702,5,-1.05224445013416
45,8,5,3.60894937977684,5,-1.08946241310435
50,8,5,3.5670564041449,5,-1.13135538873628
55,8,5,3.52050119731159,5,-1.17791059556959
60,8,5,3.46932650916491,5,-1.22908528371627
65,8,5,3.41361158159895,5,-1.28480021128223
70,8,5,3.35347864679543,5,-1.34493314608575
75,8,5,3.28909930075114,5,-1.40931249213005
80,8,5,3.22070064956776,5,-1.47771114331342
85,8,5,3.14857111396805,5,-1.54984067891313
90,8,5,3.07306575451605,5,-1.62534603836514
0,8,10,4.251000102286,10,-0.447411690595188
5,8,10,4.25098298935982,10,-0.447428803521366
10,8,10,4.24601052632505,10,-0.452401266556132
15,8,10,4.23590192063773,10,-0.462509872243456
20,8,10,4.22038124747124,10,-0.478030545409949
25,8,10,4.19908794635367,10,-0.49932384652751
30,8,10,4.1715907997872,10,-0.526820993093983
35,8,10,4.13740466943581,10,-0.561007123445376
40,8,10,4.09600912310856,10,-0.602402669772624
45,8,10,4.04686803515606,10,-0.651543757725124
50,8,10,3.98944929329711,10,-0.70896249958408
55,8,10,3.92324389231554,10,-0.775167900565642
60,8,10,3.84778392285644,10,-0.850627870024741
65,8,10,3.76265924518302,10,-0.935752547698163
70,8,10,3.66753294114198,10,-1.0308788517392
75,8,10,3.56215592979927,10,-1.13625586308192
80,8,10,3.44638138356482,10,-1.25203040931636
85,8,10,3.32017976822979,10,-1.37823202465139
90,8,10,3.18365543460258,10,-1.5147563582786
0,8,15,4.47257837527903,15,-0.225833417602159
5,8,15,4.47507173986654,15,-0.22334005301464
10,8,15,4.47480241655323,15,-0.223609376327953
15,8,15,4.47133695440933,15,-0.227074838471853
