"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,3.96225345801122,0,-0.709338102996794
5,8,0,3.96225345801122,0,-0.709338102996796
10,8,0,3.96225345801123,0,-0.709338102996793
15,8,0,3.96225345801123,0,-0.709338102996792
20,8,0,3.96225345801123,0,-0.709338102996792
25,8,0,3.96225345801123,0,-0.709338102996793
30,8,0,3.96225345801123,0,-0.709338102996793
35,8,0,3.96225345801123,0,-0.709338102996793
40,8,0,3.96225345801123,0,-0.709338102996793
45,8,0,3.96225345801123,0,-0.709338102996793
50,8,0,3.96225345801123,0,-0.709338102996793
55,8,0,3.96225345801123,0,-0.709338102996793
60,8,0,3.96225345801123,0,-0.709338102996792
65,8,0,3.96225345801123,0,-0.709338102996793
70,8,0,3.96225345801123,0,-0.709338102996793
75,8,0,3.96225345801122,0,-0.709338102996794
80,8,0,3.96225345801123,0,-0.709338102996792
85,8,0,3.96225345801123,0,-0.70933810299679
90,8,0,3.96225345801123,0,-0.70933810299679
0,8,5,2.90803101307773,5,-1.76356054793029
5,8,5,2.91520228015239,5,-1.75638928085563
10,8,5,2.93198998488982,5,-1.7396015761182
15,8,5,2.95812024692323,5,-1.71347131408479
20,8,5,2.99316755853754,5,-1.67842400247048
25,8,5,3.03656796833497,5,-1.63502359267305
30,8,5,3.08763622259358,5,-1.58395533841444
35,8,5,3.14558599228171,5,-1.52600556872631
40,8,5,3.20955220577433,5,-1.46203935523369
45,8,5,3.27861447106917,5,-1.39297708993884
50,8,5,3.35182060156688,5,-1.31977095944114
55,8,5,3.42820934513719,5,-1.24338221587082
60,8,5,3.50683154246775,5,-1.16476001854027
65,8,5,3.58676909162571,5,-1.08482246938231
70,8,5,3.66715125641527,5,-1.00444030459275
75,8,5,3.74716801417974,5,-0.924423546828283
80,8,5,3.826080285399,5,-0.845511275609021
85,8,5,3.90322701769,5,-0.768364543318015
90,8,5,3.97802920880094,5,-0.693562352207083
0,8,10,1.43803565532771,10,-3.2335559056803
5,8,10,1.4567865136856,10,-3.21480504732242
10,8,10,1.50360685181146,10,-3.16798470919656
15,8,10,1.57727512076158,10,-3.09431644024644
20,8,10,1.67588698638356,10,-2.99570457462446
25,8,10,1.79695798771629,10,-2.87463357329173
30,8,10,1.93755046912652,10,-2.7340410918815
35,8,10,2.09441305618254,10,-2.57717850482548
40,8,10,2.26412136309996,10,-2.40747019790806
45,8,10,2.44321040136828,10,-2.22838115963974
50,8,10,2.62829174339209,10,-2.04329981761593
55,8,10,2.81615130306874,10,-1.85544025793928
60,8,10,3.00382615817009,10,-1.66776540283793
65,8,10,3.18866085845968,10,-1.48293070254834
70,8,10,3.36834501275675,10,-1.30324654825127
75,8,10,3.5409346410996,10,-1.13065691990842
80,8,10,3.7048599206786,10,-0.966731640329416
85,8,10,3.85892170037312,10,-0.812669860634896
90,8,10,4.00227867670417,10,-0.669312884303846
0,8,15,-0.520857063502663,15,-5.19244862451068
5,8,15,-0.485112230259451,15,-5.15670379126747
10,8,15,-0.38660470128685,15,-5.05819626229487
15,8,15,-0.229390135701874,15,-4.90098169670989
20,8,15,-0.0197444415870781,15,-4.6913360025951
25,8,15,0.234431826387109,15,-4.43715973462091
30,8,15,0.524276629201608,15,-4.14731493180641
35,8,15,0.840595746062246,15,-3.83099581494577
40,8,15,1.17438873364008,15,-3.49720282736794
45,8,15,1.51723952190288,15,-3.15435203910514
50,8,15,1.86157067629077,15,-2.81002088471725
55,8,15,2.20078005218797,15,-2.47081150882005
60,8,15,2.52928743128682,15,-2.1423041297212
65,8,15,2.8425197874676,15,-1.82907177354042
70,8,15,3.13686035508059,15,-1.53473120592743
75,8,15,3.40958115344697,15,-1.26201040756105
80,8,15,3.65877260534088,15,-1.01281895566714
85,8,15,3.88327819744305,15,-0.788313363564974
90,8,15,4.08263714157882,15,-0.588954419429195
0,8,20,-3.0749831755075,20,-7.74657473651551
5,8,20,-3.01374072400671,20,-7.68533228501473
10,8,20,-2.82126845962595,20,-7.49286002063397
15,8,20,-2.51126147672587,20,-7.18285303773389
20,8,20,-2.10406628754479,20,-6.77565784855281
25,8,20,-1.62316235675777,20,-6.29475391776579
30,8,20,-1.09206652523297,20,-5.76365808624099
35,8,20,-0.53224713368721,20,-5.20383869469523
40,8,20,0.0379238402969984,20,-4.63366772071102
45,8,20,0.603445675260701,20,-4.06814588574732
50,8,20,1.15250360923999,20,-3.51908795176803
55,8,20,1.67606622672848,20,-2.99552533427954
60,8,20,2.16741900678715,20,-2.50417255422087
65,8,20,2.62171902607365,20,-2.04987253493437
70,8,20,3.03561302561611,20,-1.63597853539191
75,8,20,3.40693657143714,20,-1.26465498957088
80,8,20,3.73449804332759,20,-0.937093517680425
85,8,20,4.01794263870901,20,-0.653648922299006
90,8,20,4.25768585396512,20,-0.413905707042897
0,8,25,-6.36582220799326,25,-11.0374137690013
5,8,25,-6.26184576066617,25,-10.9334373216742
10,8,25,-5.87921360002799,25,-10.550805161036
15,8,25,-5.27116077119728,25,-9.9427523322053
20,8,25,-4.50734887632928,25,-9.1789404373373
25,8,25,-3.65355518507338,25,-8.3251467460814
30,8,25,-2.76194857734936,25,-7.43354013835737
35,8,25,-1.86999737369977,25,-6.54158893470779
40,8,25,-1.00312398603995,25,-5.67471554704797
45,8,25,-0.177956948570098,25,-4.84954850957812
50,8,25,0.594980497227547,25,-4.07661106378047
55,8,25,1.30930471597412,25,-3.36228684503389
60,8,25,1.96138437032787,25,-2.71020719068015
65,8,25,2.54936827114119,25,-2.12222328986683
70,8,25,3.07251594877661,25,-1.59907561223141
75,8,25,3.53076319940647,25,-1.14082836160155
80,8,25,3.92447927056884,25,-0.747112290439175
85,8,25,4.25438199584018,25,-0.417209565167844
90,8,25,4.52158037188046,25,-0.150011189127563
0,8,30,-10.3923185430797,30,-15.0639101040878
5,8,30,-10.2095801693252,30,-14.8811717303332
10,8,30,-9.42029823777728,30,-14.0918897987853
15,8,30,-8.24833672580856,30,-12.9199282868166
20,8,30,-6.91116181153576,30,-11.5827533725438
25,8,30,-5.54565001511597,30,-10.217241576124
30,8,30,-4.22210347367453,30,-8.89369503468255
35,8,30,-2.97338420608039,30,-7.64497576708841
40,8,30,-1.81385892691549,30,-6.48545048792351
45,8,30,-0.748888421835886,30,-5.42047998284391
50,8,30,0.220739145098529,30,-4.45085241590949
55,8,30,1.09662568759007,30,-3.57496587341795
60,8,30,1.88151781750775,30,-2.79007374350027
65,8,30,2.57848748030035,30,-2.09310408070767
70,8,30,3.19038176710091,30,-1.48120979390711
75,8,30,3.71950934591992,30,-0.9520822150881
80,8,30,4.16755092947874,30,-0.504040631529275
85,8,30,4.53566540920824,30,-0.135926151799777
90,8,30,4.82474768280955,30,0.15315612180153
0,8,35,-13.6142179723111,35,-18.2858095333192
5,8,35,-13.3618377974675,35,-18.0334293584756
10,8,35,-12.100655275112,35,-16.77224683612
15,8,35,-10.3706457657182,35,-15.0422373267262
20,8,35,-8.55417506070976,35,-13.2257666217178
25,8,35,-6.80938048448433,35,-11.4809720454924
30,8,35,-5.18660824577389,35,-9.85819980678191
35,8,35,-3.69808023468748,35,-8.3696717956955
40,8,35,-2.34365802898238,35,-7.0152495899904
45,8,35,-1.11882959097636,35,-5.79042115198438
50,8,35,-0.0171079007657845,35,-4.6886994617738
55,8,35,0.968925525483482,35,-3.70266603552454
60,8,35,1.8467470327383,35,-2.82484452826972
65,8,35,2.62304439081992,35,-2.0485471701881
70,8,35,3.30304622884496,35,-1.36854533216306
75,8,35,3.89017800410146,35,-0.781413556906562
80,8,35,4.38609418195886,35,-0.285497379049164
85,8,35,4.79102893920272,35,0.1194373781947
90,8,35,5.10434648060028,35,0.432754919592264
0,8,40,-12.8753737705372,40,-17.5469653315452
5,8,40,-12.7205253619728,40,-17.3921169229808
10,8,40,-11.8124370739142,40,-16.4840286349222
15,8,40,-10.4245363504761,40,-15.0961279114841
20,8,40,-8.82263676394565,40,-13.4942283249537
25,8,40,-7.17352068734669,40,-11.8451122483547
30,8,40,-5.56681191798799,40,-10.238403478996
35,8,40,-4.04929008135502,40,-8.72088164236304
40,8,40,-2.64446861986154,40,-7.31606018086956
45,8,40,-1.36183128977745,40,-6.03342285078547
50,8,40,-0.201768849071497,40,-4.87336041007952
55,8,40,0.840858405955271,40,-3.83073315505275
60,8,40,1.77363597082879,40,-2.89795559017923
65,8,40,2.60399137639431,40,-2.06760018461371
70,8,40,3.33734384175324,40,-1.33424771925478
75,8,40,3.97620702626076,40,-0.695384534747263
80,8,40,4.52021437739172,40,-0.1513771836163
85,8,40,4.96681349625176,40,0.295221935243745
90,8,40,5.31227421063625,40,0.640682649628227
0,8,45,-10.6665293514803,45,-15.3381209124884
5,8,45,-10.5852590844538,45,-15.2568506454618
10,8,45,-10.1097328761096,45,-14.7813244371176
15,8,45,-9.28610236059891,45,-13.9576939216069
20,8,45,-8.18790341014412,45,-12.8594949711521
25,8,45,-6.90569076335667,45,-11.5772823243647
30,8,45,-5.53216614054151,45,-10.2037577015495
35,8,45,-4.1474521285786,45,-8.81904368958662
40,8,45,-2.81024338934769,45,-7.48183495035571
45,8,45,-1.556184145171,45,-6.22777570617902
50,8,45,-0.401360358543576,45,-5.07295191955159
55,8,45,0.651753057817697,45,-4.01983850319032
60,8,45,1.60783292468631,45,-3.06375863632171
65,8,45,2.47304425912445,45,-2.19854730188357
70,8,45,3.25107182709895,45,-1.42051973390907
75,8,45,3.94127624653041,45,-0.730315314477613
80,8,45,4.53880337712086,45,-0.132788183887165
85,8,45,5.03597365448543,45,0.364382093477411
90,8,45,5.42411159871947,45,0.75252003771145
0,8,50,-8.95884668543033,50,-13.6304382464384
5,8,50,-8.90769110701834,50,-13.5792826680264
10,8,50,-8.6321600202597,50,-13.3037515812677
15,8,50,-8.12375744623762,50,-12.7953490072456
20,8,50,-7.38074786665878,50,-12.0523394276668
25,8,50,-6.42671222467119,50,-11.0983037856792
30,8,50,-5.31636056887519,50,-9.98795212988321
35,8,50,-4.12288145639401,50,-8.79447301740203
40,8,50,-2.91664090610385,50,-7.58823246711187
45,8,50,-1.74925056643597,50,-6.42084212744399
50,8,50,-0.648755900637935,50,-5.32034746164595
55,8,50,0.376316075387944,50,-4.29527548562008
60,8,50,1.32860082296955,50,-3.34299073803847
65,8,50,2.21309935731498,50,-2.45849220369304
70,8,50,3.03067030445782,50,-1.6409212565502
75,8,50,3.77522343278708,50,-0.896368128220941
80,8,50,4.43445231122807,50,-0.237139249779948
85,8,50,4.99269438651022,50,0.321102825502201
90,8,50,5.43419450059904,50,0.762602939591018
0,8,55,-7.7830113769577,55,-12.4546029379657
5,8,55,-7.75280838685367,55,-12.4243999478617
10,8,55,-7.57920605774669,55,-12.2507976187547
15,8,55,-7.23753469959529,55,-11.9091262606033
20,8,55,-6.70304588111471,55,-11.3746374421227
25,8,55,-5.97170084008714,55,-10.6432924010952
30,8,55,-5.07243189078635,55,-9.74402345179436
35,8,55,-4.06211344388137,55,-8.73370500488939
40,8,55,-3.0061873510281,55,-7.67777891203611
45,8,55,-1.95799981292027,55,-6.62959137392829
50,8,55,-0.947783778699737,55,-5.61937533970776
55,8,55,0.0164828371757892,55,-4.65510872383223
60,8,55,0.939968562145325,55,-3.73162299886269
65,8,55,1.82904934122778,55,-2.84254221978024
70,8,55,2.68181063075046,55,-1.98978093025756
75,8,55,3.48446445541712,55,-1.1871271055909
