"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,4.05231972161005,0,0.0755025060097047
5,8,0,4.05231972161005,0,0.0755025060097066
10,8,0,4.05231972161005,0,0.0755025060097085
15,8,0,4.05231972161005,0,0.0755025060097085
20,8,0,4.05231972161005,0,0.0755025060097085
25,8,0,4.05231972161005,0,0.0755025060097085
30,8,0,4.05231972161005,0,0.0755025060097085
35,8,0,4.05231972161005,0,0.0755025060097076
40,8,0,4.05231972161005,0,0.0755025060097085
45,8,0,4.05231972161005,0,0.0755025060097066
50,8,0,4.05231972161005,0,0.0755025060097085
55,8,0,4.05231972161005,0,0.0755025060097095
60,8,0,4.05231972161005,0,0.0755025060097095
65,8,0,4.05231972161005,0,0.0755025060097066
70,8,0,4.05231972161005,0,0.0755025060097066
75,8,0,4.05231972161005,0,0.0755025060097066
80,8,0,4.05231972161005,0,0.0755025060097076
85,8,0,4.05231972161005,0,0.0755025060097085
90,8,0,4.05231972161005,0,0.0755025060097076
0,8,5,4.28202405158755,5,0.305206835987208
5,8,5,4.2818536588674,5,0.305036443267058
10,8,5,4.28022696376357,5,0.303409748163223
15,8,5,4.27713509710785,5,0.300317881507511
20,8,5,4.27255634483024,5,0.295739129229899
25,8,5,4.26645773061183,5,0.289640515011484
30,8,5,4.25879736752334,5,0.281980151923003
35,8,5,4.24952753800585,5,0.272710322405504
40,8,5,4.23859843827579,5,0.261781222675452
45,8,5,4.22596249456524,5,0.249145278964901
50,8,5,4.21157912540658,5,0.23476190980624
55,8,5,4.19541978834108,5,0.218602572740741
60,8,5,4.17747311383688,5,0.200655898236539
65,8,5,4.15774989748691,5,0.180932681886572
70,8,5,4.13628769784471,5,0.159470482244368
75,8,5,4.11315477576236,5,0.136337560162019
80,8,5,4.08845311568388,5,0.111635900083535
85,8,5,4.06232029304061,5,0.0855030774402713
90,8,5,4.03492999637762,5,0.058112780777279
0,8,10,4.33307839582124,10,0.356261180220899
5,8,10,4.3321027640115,10,0.355285548411163
10,8,10,4.33047112672508,10,0.353653911124739
15,8,10,4.32810216437274,10,0.351284948772396
20,8,10,4.32483056421344,10,0.348013348613096
25,8,10,4.32040957927067,10,0.343592363670332
30,8,10,4.31451563450646,10,0.337698418906115
35,8,10,4.30675559156822,10,0.329938375967876
40,8,10,4.29667732034674,10,0.319860104746401
45,8,10,4.28378414179096,10,0.306966926190618
50,8,10,4.2675534952825,10,0.290736279682155
55,8,10,4.24745985795075,10,0.270642642350406
60,8,10,4.22300153208483,10,0.246184316484485
65,8,10,4.19373046073394,10,0.216913245133598
70,8,10,4.15928377470159,10,0.182466559101245
75,8,10,4.11941535772467,10,0.142598142124325
80,8,10,4.0740253763196,10,0.0972081607192577
85,8,10,4.02318548785041,10,0.0463682722500628
90,8,10,3.96715734637236,10,-0.0096598692279789
0,8,15,4.21798467743304,15,0.241167461832703
5,8,15,4.21647748429911,15,0.239660268698764
10,8,15,4.21735716943619,15,0.240539953835846
15,8,15,4.22045315320173,15,0.243635937601383
20,8,15,4.22542626941553,15,0.248609053815188
25,8,15,4.23175849245189,15,0.254941276851551
30,8,15,4.23874146548499,15,0.261924249884644
35,8,15,4.24546778678506,15,0.268650571184721
40,8,15,4.25082970467331,15,0.274012489072965
45,8,15,4.25352976754857,15,0.276712551948231
50,8,15,4.25210704618157,15,0.275289830581232
55,8,15,4.24498096237717,15,0.268163746776832
60,8,15,4.2305128387256,15,0.253695623125261
65,8,15,4.20708338915023,15,0.230266173549887
70,8,15,4.1731827870461,15,0.196365571445758
75,8,15,4.12750880728407,15,0.150691591683732
80,8,15,4.06906778925812,15,0.0922505736577749
85,8,15,3.99727261909247,15,0.0204554034921324
90,8,15,3.91203133680777,15,-0.0647858787925751
0,8,20,3.95652067439135,20,-0.0202965412089909
5,8,20,3.95572910263439,20,-0.0210881129659491
10,8,20,3.96198837217315,20,-0.0148288434271921
15,8,20,3.97511274795386,20,-0.00170446764648145
20,8,20,3.99473056646926,20,0.0179133508689161
25,8,20,4.02022710391068,20,0.0434098883103433
30,8,20,4.05066965064246,20,0.0738524350421145
35,8,20,4.08473041572462,20,0.107913200124278
40,8,20,4.12062564005968,20,0.143808424459342
45,8,20,4.15608800657544,20,0.179270790975102
50,8,20,4.18838432276352,20,0.211567107163181
55,8,20,4.21438297417152,20,0.237565758571182
60,8,20,4.23066798995662,20,0.253850774356276
65,8,20,4.2336907912764,20,0.256873575676062
70,8,20,4.21994800459961,20,0.243130788999266
75,8,20,4.1861741125831,20,0.209356896982755
80,8,20,4.12954017874719,20,0.152722963146845
85,8,20,4.04785290961778,20,0.0710356940174416
90,8,20,3.93975039022386,20,-0.0370668253764843
0,8,25,3.57653415762766,25,-0.400283057972687
5,8,25,3.57812875448311,25,-0.398688461117227
10,8,25,3.59184581598052,25,-0.384971399619818
15,8,25,3.61769807809663,25,-0.359119137503716
20,8,25,3.65567033945053,25,-0.321146876149807
25,8,25,3.70553762967347,25,-0.271279585926871
30,8,25,3.76662431898666,25,-0.210192896613682
