"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,3.85019258390377,0,1.45848526355655
5,8,0,3.85019258390377,0,1.45848526355654
10,8,0,3.85019258390377,0,1.45848526355654
15,8,0,3.85019258390376,0,1.45848526355654
20,8,0,3.85019258390376,0,1.45848526355654
25,8,0,3.85019258390376,0,1.45848526355654
30,8,0,3.85019258390376,0,1.45848526355654
35,8,0,3.85019258390377,0,1.45848526355654
40,8,0,3.85019258390377,0,1.45848526355655
45,8,0,3.85019258390376,0,1.45848526355654
50,8,0,3.85019258390377,0,1.45848526355654
55,8,0,3.85019258390376,0,1.45848526355654
60,8,0,3.85019258390377,0,1.45848526355654
65,8,0,3.85019258390376,0,1.45848526355654
70,8,0,3.85019258390376,0,1.45848526355654
75,8,0,3.85019258390376,0,1.45848526355654
80,8,0,3.85019258390377,0,1.45848526355654
85,8,0,3.85019258390377,0,1.45848526355654
90,8,0,3.85019258390376,0,1.45848526355654
0,8,5,4.28354452421581,5,1.89183720386858
5,8,5,4.28302992764857,5,1.89132260730135
10,8,5,4.27852380374506,5,1.88681648339784
15,8,5,4.27005439257193,5,1.87834707222471
20,8,5,4.25767518643211,5,1.86596786608488
25,8,5,4.24146631552093,5,1.8497589951737
30,8,5,4.22153636195097,5,1.82982904160375
35,8,5,4.19802444198137,5,1.80631712163415
40,8,5,4.17110235725052,5,1.7793950369033
45,8,5,4.14097658295639,5,1.74926926260917
50,8,5,4.10788983646398,5,1.71618251611676
55,8,5,4.07212195636881,5,1.68041463602159
60,8,5,4.03398982256326,5,1.64228250221604
65,8,5,3.99384606543539,5,1.60213874508817
70,8,5,3.95207634988075,5,1.56036902953352
75,8,5,3.90909507954478,5,1.51738775919756
80,8,5,3.8653394495317,5,1.47363212918448
85,8,5,3.82126188055142,5,1.4295545602042
90,8,5,3.77732099020564,5,1.38561366985842
0,8,10,4.62000220382083,10,2.22829488347361
5,8,10,4.61784278474928,10,2.22613546440206
10,8,10,4.60849739146078,10,2.21679007111356
15,8,10,4.59192503653807,10,2.20021771619084
20,8,10,4.56806387544169,10,2.17635655509447
25,8,10,4.53684251298616,10,2.14513519263894
30,8,10,4.49819545836431,10,2.10648813801709
35,8,10,4.45208226883203,10,2.06037494848481
40,8,10,4.39850976287813,10,2.00680244253091
45,8,10,4.33755650671421,10,1.94584918636698
50,8,10,4.26939857770872,10,1.8776912573615
55,8,10,4.19433537836845,10,1.80262805802123
60,8,10,4.11281401088316,10,1.72110669053594
65,8,10,4.02545043002618,10,1.63374310967896
70,8,10,3.9330452921064,10,1.54133797175917
75,8,10,3.83659215358599,10,1.44488483323877
80,8,10,3.73727551746982,10,1.3455681971226
85,8,10,3.63645628051432,10,1.2447489601671
90,8,10,3.53564252226928,10,1.14393520192206
0,8,15,4.84444747085709,15,2.45274015050987
5,8,15,4.83986590779437,15,2.44815858744715
10,8,15,4.82737003979652,15,2.4356627194493
15,8,15,4.80669273088972,15,2.4149854105425
20,8,15,4.77739262136809,15,2.38568530102087
25,8,15,4.73888055978199,15,2.34717323943477
30,8,15,4.69045633417341,15,2.29874901382619
35,8,15,4.63135503520412,15,2.23964771485689
40,8,15,4.56080216124881,15,2.16909484090159
45,8,15,4.47807648801154,15,2.08636916766432
50,8,15,4.38257973413945,15,1.99087241379223
55,8,15,4.27391205240315,15,1.88220473205592
60,8,15,4.15195220677279,15,1.76024488642557
65,8,15,4.01694077697481,15,1.62523345662759
70,8,15,3.86956367887252,15,1.47785635852529
75,8,15,3.71103154108969,15,1.31932422074247
80,8,15,3.54314794944008,15,1.15144062909285
85,8,15,3.36835634170296,15,0.976649021355743
90,8,15,3.1897518056667,15,0.798044485319478
0,8,20,4.95126386372567,20,2.55955654337845
5,8,20,4.94443830377463,20,2.55273098342741
10,8,20,4.93217295908004,20,2.54046563873282
15,8,20,4.91383026021134,20,2.52212293986412
20,8,20,4.88834421202288,20,2.49663689167566
25,8,20,4.85426699677264,20,2.46255967642542
30,8,20,4.80983517484199,20,2.41812785449477
35,8,20,4.75305250410181,20,2.36134518375459
40,8,20,4.68178551098756,20,2.29007819064034
45,8,20,4.59386831575904,20,2.20216099541182
50,8,20,4.48721471625271,20,2.09550739590549
55,8,20,4.35993771418801,20,1.96823039384079
60,8,20,4.21047894305107,20,1.81877162270385
65,8,20,4.03775226623849,20,1.64604494589127
70,8,20,3.84130664052988,20,1.44959932018266
75,8,20,3.62151258837106,20,1.22980526802383
80,8,20,3.37977341519008,20,0.988066094842856
85,8,20,3.11875529850548,20,0.727047978158256
90,8,20,2.84261777345672,20,0.450910453109498
0,8,25,4.94427303950089,25,2.55256571915367
5,8,25,4.93638303255713,25,2.54467571220991
10,8,25,4.92858339561074,25,2.53687607526352
15,8,25,4.91974474661159,25,2.52803742626436
20,8,25,4.9079633066363,25,2.51625598628908
25,8,25,4.89064166649075,25,2.49893434614352
30,8,25,4.86460896400535,25,2.47290164365813
35,8,25,4.82626878483299,25,2.43456146448576
40,8,25,4.77175904639547,25,2.38005172604825
45,8,25,4.69710930571495,25,2.30540198536773
50,8,25,4.59838653254502,25,2.2066792121978
55,8,25,4.47182834998566,25,2.08012102963843
60,8,25,4.31397094182339,25,1.92226362147617
65,8,25,4.12178592202951,25,1.73007860168229
70,8,25,3.8928461124717,25,1.50113879212448
75,8,25,3.62554463107423,25,1.23383731072701
80,8,25,3.31939501758205,25,0.927687697234827
85,8,25,2.97544114405751,25,0.583733823710291
90,8,25,2.59680050433745,25,0.205093183990231
0,8,30,4.83482020099155,30,2.44311288064433
5,8,30,4.82765393095352,30,2.4359466106063
10,8,30,4.82829326081685,30,2.43658594046962
15,8,30,4.83500391332099,30,2.44329659297377
20,8,30,4.84484904491819,30,2.45314172457097
25,8,30,4.85382568447109,30,2.46211836412387
30,8,30,4.85708432404813,30,2.46537700370091
35,8,30,4.84919971367419,30,2.45749239332697
40,8,30,4.82444755775845,30,2.43274023741123
45,8,30,4.77704483082579,30,2.38533751047856
50,8,30,4.70132743728863,30,2.30962011694141
55,8,30,4.59186044174462,30,2.2001531213974
60,8,30,4.44349594544689,30,2.05178862509967
65,8,30,4.25140808463055,30,1.85970076428332
70,8,30,4.0111436982034,30,1.61943637785618
75,8,30,3.71873369775752,30,1.3270263774103
80,8,30,3.37091766361995,30,0.979210343272728
85,8,30,2.9655459532898,30,0.573838632942577
90,8,30,2.5022417544918,30,0.110534434144577
0,8,35,4.63893776138619,35,2.24723044103897
5,8,35,4.63438863266416,35,2.24268131231694
10,8,35,4.64625857254905,35,2.25455125220182
15,8,35,4.67210132289096,35,2.28039400254374
20,8,35,4.70778635731344,35,2.31607903696622
25,8,35,4.74770608160303,35,2.35599876125581
30,8,35,4.78515022992919,35,2.39344290958197
