"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,3.59757279422474,0,-0.388350200410416
5,8,0,3.59757279422475,0,-0.388350200410411
10,8,0,3.59757279422475,0,-0.388350200410405
15,8,0,3.59757279422475,0,-0.388350200410407
20,8,0,3.59757279422475,0,-0.38835020041041
25,8,0,3.59757279422475,0,-0.388350200410408
30,8,0,3.59757279422475,0,-0.388350200410408
35,8,0,3.59757279422475,0,-0.388350200410409
40,8,0,3.59757279422475,0,-0.388350200410407
45,8,0,3.59757279422475,0,-0.388350200410408
50,8,0,3.59757279422475,0,-0.38835020041041
55,8,0,3.59757279422475,0,-0.388350200410408
60,8,0,3.59757279422475,0,-0.388350200410408
65,8,0,3.59757279422475,0,-0.38835020041041
70,8,0,3.59757279422475,0,-0.388350200410408
75,8,0,3.59757279422475,0,-0.388350200410407
80,8,0,3.59757279422475,0,-0.388350200410408
85,8,0,3.59757279422475,0,-0.388350200410408
90,8,0,3.59757279422475,0,-0.388350200410408
0,8,5,3.99263770662972,5,0.00671471199456463
5,8,5,3.97484543003269,5,-0.0110775646024701
10,8,5,3.95445750112832,5,-0.0314654935068371
15,8,5,3.93166958863492,5,-0.0542534060002397
20,8,5,3.90666971290539,5,-0.0792532817297686
25,8,5,3.87963658268137,5,-0.106286411953789
30,8,5,3.8507389271841,5,-0.135184067451054
35,8,5,3.82013582966548,5,-0.16578716496968
40,8,5,3.78797802643609,5,-0.197944968199063
45,8,5,3.7544100891347,5,-0.231512905500453
50,8,5,3.7195733600735,5,-0.266349634561653
55,8,5,3.68360946406499,5,-0.302313530570165
60,8,5,3.64666417879122,5,-0.339258815843933
65,8,5,3.60889141315688,5,-0.377031581478275
70,8,5,3.57045702252569,5,-0.415465972109467
75,8,5,3.53154218404919,5,-0.454380810585966
80,8,5,3.49234606643605,5,-0.493576928199111
85,8,5,3.45308755751737,5,-0.532835437117786
90,8,5,3.41400585983123,5,-0.571917134803931
0,8,10,4.22642899101581,10,0.240505996380653
5,8,10,4.18506016096515,10,0.199137166329988
10,8,10,4.14081467599395,10,0.154891681358794
15,8,10,4.09417878676353,10,0.108255792128369
20,8,10,4.04554581167789,10,0.0596228170427348
25,8,10,3.99520864181352,10,0.00928564717836097
30,8,10,3.94335650017242,10,-0.0425664944627391
35,8,10,3.89007673143632,10,-0.0958462631988408
40,8,10,3.83536219505623,10,-0.150560799578926
45,8,10,3.77912449977739,10,-0.206798494857765
50,8,10,3.72121288851939,10,-0.264710106115765
55,8,10,3.66143811625082,10,-0.32448487838434
60,8,10,3.59960022408874,10,-0.386322770546416
65,8,10,3.53551875524428,10,-0.450404239390874
70,8,10,3.46906371607911,10,-0.51685927855605
75,8,10,3.40018546518916,10,-0.585737529446001
80,8,10,3.32894169859132,10,-0.656981296043839
85,8,10,3.25551976083485,10,-0.730403233800305
90,8,10,3.18025262370653,10,-0.805670370928631
0,8,15,4.29603418853275,15,0.310111193897596
5,8,15,4.22634826370008,15,0.240425269064928
10,8,15,4.15610638883303,15,0.170183394197875
15,8,15,4.08621581540689,15,0.100292820771733
20,8,15,4.0173500048481,15,0.0314270102129447
25,8,15,3.94991600399059,15,-0.0360069906445651
30,8,15,3.88402946003393,15,-0.101893534601225
35,8,15,3.81950262479153,15,-0.166420369843631
40,8,15,3.75585003296601,15,-0.230072961669146
45,8,15,3.69231472007497,15,-0.293608274560191
50,8,15,3.62791525582052,15,-0.358007738814633
55,8,15,3.56151114429047,15,-0.424411850344692
60,8,15,3.49188195159132,15,-0.494041043043834
65,8,15,3.41781433607372,15,-0.568108658561441
70,8,15,3.33819111030497,15,-0.647731884330186
75,8,15,3.25207734452957,15,-0.733845650105589
80,8,15,3.15879987179417,15,-0.827123122840987
85,8,15,3.05801783048517,15,-0.927905164149986
90,8,15,2.94978259636218,15,-1.03614039827297
0,8,20,4.20709474252229,20,0.221171747887133
5,8,20,4.10585071200193,20,0.119927717366774
10,8,20,4.00862142937452,20,0.0226984347393661
15,8,20,3.91694404506521,20,-0.0689789495699461
20,8,20,3.83198074007793,20,-0.15394225455723
25,8,20,3.75441417606739,20,-0.23150881856777
30,8,20,3.68434929825356,20,-0.301573696381596
35,8,20,3.62124489163661,20,-0.364678102998544
40,8,20,3.56389571116831,20,-0.422027283466847
45,8,20,3.51047672023714,20,-0.475446274398019
50,8,20,3.45864790648827,20,-0.527275088146882
55,8,20,3.40570580813461,20,-0.580217186500545
60,8,20,3.34876030260801,20,-0.637162692027152
65,8,20,3.28491425251828,20,-0.701008742116874
70,8,20,3.2114285704532,20,-0.774494424181956
75,8,20,3.12586367740674,20,-0.860059317228419
80,8,20,3.02619722424573,20,-0.959725770389424
85,8,20,2.91092490590648,20,-1.07499808872868
90,8,20,2.77915480939746,20,-1.2067681852377
0,8,25,3.97553745688133,25,-0.0103855377538256
5,8,25,3.84091367186582,25,-0.145009322769339
10,8,25,3.71620263334259,25,-0.269720361292563
15,8,25,3.6038817328169,25,-0.382041261818252
20,8,25,3.50599636484076,25,-0.479926629794398
25,8,25,3.423881735746,25,-0.562041258889156
30,8,25,3.35787820350567,25,-0.628044791129489
35,8,25,3.30712243712845,25,-0.67880055750671
40,8,25,3.26948391031759,25,-0.716439084317564
45,8,25,3.24167504392884,25,-0.74424795070632
50,8,25,3.21951109354133,25,-0.766411901093824
55,8,25,3.19825559434237,25,-0.787667400292783
60,8,25,3.17297392946645,25,-0.812949065168703
65,8,25,3.13883175063255,25,-0.847091244002606
70,8,25,3.0913055188967,25,-0.894617475738454
75,8,25,3.02630542035638,25,-0.959617574278781
80,8,25,2.94023615498428,25,-1.04568683965087
85,8,25,2.8300342107384,25,-1.15588878389675
90,8,25,2.69322171752665,25,-1.29270127710851
0,8,30,3.62778550287072,30,-0.358137491764436
5,8,30,3.45877209898789,30,-0.527150895647266
10,8,30,3.30553875649333,30,-0.680384238141823
15,8,30,3.17198273882512,30,-0.813940255810037
20,8,30,3.06170060036102,30,-0.924222394274132
25,8,30,2.97732420836246,30,-1.0085987862727
30,8,30,2.9198283242258,30,-1.06609467040936
35,8,30,2.88805343288642,30,-1.09786956174873
40,8,30,2.87862837524625,30,-1.10729461938891
45,8,30,2.88632419997274,30,-1.09959879466242
50,8,30,2.90470536724712,30,-1.08121762738804
55,8,30,2.92685512411044,30,-1.05906787052471
60,8,30,2.94596988794135,30,-1.03995310669381
65,8,30,2.95570867894191,30,-1.03021431569325
70,8,30,2.95028966385879,30,-1.03563333077637
75,8,30,2.92440504695896,30,-1.0615179476762
80,8,30,2.87306306022112,30,-1.11285993441404
85,8,30,2.79146369671532,30,-1.19445929791984
90,8,30,2.67498344056147,30,-1.31093955407369
0,8,35,3.19849319728188,35,-0.787429797353273
5,8,35,2.99403385888912,35,-0.991889135746036
10,8,35,2.80968519639145,35,-1.17623779824371
15,8,35,2.65154940023932,35,-1.33437359439584
20,8,35,2.52582610840205,35,-1.46009688623311
25,8,35,2.43736296155918,35,-1.54856003307597
30,8,35,2.38818400444602,35,-1.59773899018913
35,8,35,2.37661742012124,35,-1.60930557451392
40,8,35,2.3974210045385,35,-1.58850199009666
45,8,35,2.44282728008661,35,-1.54309571454854
50,8,35,2.5040123982492,35,-1.48191059638596
55,8,35,2.57239131485915,35,-1.41353167977601
60,8,35,2.6403459098182,35,-1.34557708481696
65,8,35,2.70130366781701,35,-1.28461932681814
70,8,35,2.74932768119446,35,-1.2365953134407
75,8,35,2.77849892566304,35,-1.20742406897212
80,8,35,2.78238327724537,35,-1.20353971738978
85,8,35,2.75379840273466,35,-1.2321245919005
90,8,35,2.68495385223046,35,-1.3009691424047
0,8,40,2.72529219880297,40,-1.26063079583219
5,8,40,2.48373289144363,40,-1.50219010319153
10,8,40,2.26389146890281,40,-1.72203152573235
15,8,40,2.07527756043531,40,-1.91064543419984
20,8,40,1.92814552998724,40,-2.05777746464792
25,8,40,1.83060774418114,40,-2.15531525045402
30,8,40,1.78585760785419,40,-2.20006538678097
35,8,40,1.79089925885193,40,-2.19502373578323
40,8,40,1.83748711011987,40,-2.14843588451528
45,8,40,1.91472100832325,40,-2.07120198631191
50,8,40,2.0119049610369,40,-1.97401803359825
55,8,40,2.12040967124762,40,-1.86551332338754
60,8,40,2.23403258551395,40,-1.75189040912121
65,8,40,2.3480727707816,40,-1.63785022385355
70,8,40,2.45772896334104,40,-1.52819403129412
75,8,40,2.55653649016454,40,-1.42938650447062
80,8,40,2.63546620389635,40,-1.35045679073881
85,8,40,2.6830164509017,40,-1.30290654373346
90,8,40,2.68619455380657,40,-1.29972844082859
0,8,45,2.24143800114166,45,-1.7444849934935
5,8,45,1.96084984661495,45,-2.02507314802021
10,8,45,1.7005052352721,45,-2.28541775936305
15,8,45,1.47486461073897,45,-2.51105838389619
20,8,45,1.29987443264146,45,-2.6860485619937
25,8,45,1.18772859566008,45,-2.79819439897508
30,8,45,1.1421639634957,45,-2.84375903113945
35,8,45,1.15710740556117,45,-2.82881558907399
40,8,45,1.21964879136363,45,-2.76627420327153
45,8,45,1.31547910103764,45,-2.67044389359751
50,8,45,1.43366262020645,45,-2.5522603744287
55,8,45,1.56862809703311,45,-2.41729489760205
60,8,45,1.71909985994167,45,-2.26682313469349
65,8,45,1.88494563173793,45,-2.10097736289722
70,8,45,2.06340712567775,45,-1.9225158689574
75,8,45,2.24623423244748,45,-1.73968876218768
80,8,45,2.41888953460624,45,-1.56703346002892
85,8,45,2.56209265126931,45,-1.42383034336584
90,8,45,2.65486873618852,45,-1.33105425844663
0,8,50,1.7690742196581,50,-2.21684877497706
5,8,50,1.44851267213494,50,-2.53741032250021
10,8,50,1.14437190898777,50,-2.84155108564739
15,8,50,0.877626020950229,50,-3.10829697368493
20,8,50,0.67129564363053,50,-3.31462735100463
25,8,50,0.541742050818341,50,-3.44418094381682
30,8,50,0.49146455002731,50,-3.49445844460785
35,8,50,0.508522400910287,50,-3.47740059372487
