"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,3.69403287224819,0,-0.93703263346302
5,8,0,3.6940328722482,0,-0.937032633463014
10,8,0,3.6940328722482,0,-0.937032633463013
15,8,0,3.6940328722482,0,-0.937032633463014
20,8,0,3.69403287224819,0,-0.937032633463016
25,8,0,3.6940328722482,0,-0.937032633463014
30,8,0,3.6940328722482,0,-0.937032633463014
35,8,0,3.69403287224819,0,-0.937032633463017
40,8,0,3.69403287224819,0,-0.937032633463019
45,8,0,3.69403287224819,0,-0.937032633463017
50,8,0,3.69403287224819,0,-0.937032633463017
55,8,0,3.69403287224819,0,-0.937032633463017
60,8,0,3.6940328722482,0,-0.937032633463014
65,8,0,3.6940328722482,0,-0.937032633463014
70,8,0,3.6940328722482,0,-0.937032633463014
75,8,0,3.6940328722482,0,-0.937032633463014
80,8,0,3.69403287224819,0,-0.937032633463016
85,8,0,3.6940328722482,0,-0.937032633463014
90,8,0,3.6940328722482,0,-0.937032633463014
0,8,5,2.79251927043953,5,-1.83854623527168
5,8,5,2.79840183360305,5,-1.83266367210816
10,8,5,2.81265438603429,5,-1.81841111967692
15,8,5,2.83503886491138,5,-1.79602664079983
20,8,5,2.86518204471213,5,-1.76588346099908
25,8,5,2.90258726928173,5,-1.72847823642948
30,8,5,2.94664982466614,5,-1.68441568104507
35,8,5,2.99667515558671,5,-1.63439035012449
40,8,5,3.05189902614005,5,-1.57916647957116
45,8,5,3.11150869213165,5,-1.51955681357956
50,8,5,3.17466418254093,5,-1.45640132317028
55,8,5,3.24051886896807,5,-1.39054663674314
60,8,5,3.30823861911911,5,-1.3228268865921
65,8,5,3.37701896746133,5,-1.25404653824988
70,8,5,3.44609987894562,5,-1.18496562676559
75,8,5,3.51477781936369,5,-1.11628768634752
80,8,5,3.58241497177957,5,-1.04865053393164
85,8,5,3.64844554977224,5,-0.982619955938969
90,8,5,3.71237925531251,5,-0.918686250398697
0,8,10,1.5654901790443,10,-3.06557532666691
5,8,10,1.57993116693844,10,-3.05113433877276
10,8,10,1.61870144467899,10,-3.01236406103222
15,8,10,1.68078909129031,10,-2.9502764144209
20,8,10,1.76457508681683,10,-2.86649041889438
25,8,10,1.86792073740566,10,-2.76314476830554
30,8,10,1.98827803514574,10,-2.64278747056546
35,8,10,2.12281217797975,10,-2.50825332773146
40,8,10,2.26852575995618,10,-2.36253974575503
45,8,10,2.42237585352302,10,-2.20868965218819
50,8,10,2.58137773890408,10,-2.04968776680713
55,8,10,2.74269175807793,10,-1.88837374763328
60,8,10,2.90369218201622,10,-1.72737332369499
65,8,10,3.06201878347775,10,-1.56904672223346
70,8,10,3.21561290590018,10,-1.41545259981103
75,8,10,3.36274026149249,10,-1.26832524421872
80,8,10,3.50200261435489,10,-1.12906289135632
85,8,10,3.63234007848543,10,-0.99872542722578
90,8,10,3.75302515974768,10,-0.878040345963525
0,8,15,-0.00782438545306811,15,-4.63888989116428
5,8,15,0.0161746750917447,15,-4.61489083061946
10,8,15,0.0929072125980558,15,-4.53815829311315
15,8,15,0.219411612972236,15,-4.41165389273897
20,8,15,0.390828352084519,15,-4.24023715362669
25,8,15,0.600845282719663,15,-4.03022022299155
