"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,4.24239901987518,0,0.592710620394144
5,8,0,4.24239901987519,0,0.592710620394147
10,8,0,4.24239901987518,0,0.592710620394146
15,8,0,4.24239901987518,0,0.592710620394146
20,8,0,4.24239901987518,0,0.592710620394145
25,8,0,4.24239901987518,0,0.592710620394145
30,8,0,4.24239901987518,0,0.592710620394146
35,8,0,4.24239901987518,0,0.592710620394146
40,8,0,4.24239901987519,0,0.592710620394147
45,8,0,4.24239901987519,0,0.592710620394147
50,8,0,4.24239901987518,0,0.592710620394146
55,8,0,4.24239901987518,0,0.592710620394144
60,8,0,4.24239901987518,0,0.592710620394146
65,8,0,4.24239901987518,0,0.592710620394146
70,8,0,4.24239901987518,0,0.592710620394144
75,8,0,4.24239901987518,0,0.592710620394145
80,8,0,4.24239901987518,0,0.592710620394146
85,8,0,4.24239901987518,0,0.592710620394144
90,8,0,4.24239901987518,0,0.592710620394144
0,8,5,4.0385780410177,5,0.388889641536663
5,8,5,4.04254225996983,5,0.392853860488787
10,8,5,4.04885092060504,5,0.399162521124004
15,8,5,4.0573668918137,5,0.407678492332657
20,8,5,4.06789313102579,5,0.418204731544749
25,8,5,4.0801797698383,5,0.430491370357265
30,8,5,4.09393289800119,5,0.444244498520152
35,8,5,4.1088246587736,5,0.459136259292558
40,8,5,4.124504240104,5,0.474815840622962
45,8,5,4.14060933664127,5,0.490920937160226
50,8,5,4.15677766401815,5,0.507089264537113
55,8,5,4.17265812569534,5,0.522969726214297
60,8,5,4.18792126082965,5,0.538232861348608
65,8,5,4.20226863687779,5,0.552580237396749
70,8,5,4.21544089173514,5,0.565752492254104
75,8,5,4.22722417691124,5,0.577535777430198
80,8,5,4.23745480611126,5,0.587766406630226
85,8,5,4.24602197357793,5,0.596333574096889
90,8,5,4.25286847449945,5,0.603180075018408
0,8,10,3.59857099184027,10,-0.0511174076407672
5,8,10,3.61039201874415,10,-0.0392963807368897
10,8,10,3.63132794910077,10,-0.0183604503802656
15,8,10,3.66070882362614,10,0.0110204241451025
20,8,10,3.69759546417744,10,0.0479070646963985
25,8,10,3.74082392621459,10,0.0911355267335472
30,8,10,3.78905592921517,10,0.139367529734129
35,8,10,3.84083227742534,10,0.191143877944304
40,8,10,3.89462675935567,10,0.244938359874632
45,8,10,3.94889859459132,10,0.299210195110285
50,8,10,4.00214205703341,10,0.352453657552375
55,8,10,4.05293236135074,10,0.403243961869699
60,8,10,4.0999672143113,10,0.450278814830263
65,8,10,4.14210359942991,10,0.49241519994887
70,8,10,4.17838939826849,10,0.52870099878745
75,8,10,4.20808938194526,10,0.558400982464225
80,8,10,4.23070496477082,10,0.58101656528978
85,8,10,4.2459869369564,10,0.596298537475365
90,8,10,4.25394023243831,10,0.604251832957271
0,8,15,2.92287459071393,15,-0.726813808767109
5,8,15,2.94853232347108,15,-0.70115607600996
10,8,15,2.99618373763615,15,-0.653504661844891
15,8,15,3.06384454370084,15,-0.585843855780203
