"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,3.17738882152713,0,0.0165588106276217
5,8,0,3.17738882152713,0,0.0165588106276236
10,8,0,3.17738882152713,0,0.0165588106276265
15,8,0,3.17738882152713,0,0.0165588106276236
20,8,0,3.17738882152713,0,0.0165588106276236
25,8,0,3.17738882152713,0,0.0165588106276265
30,8,0,3.17738882152713,0,0.0165588106276265
35,8,0,3.17738882152713,0,0.0165588106276236
40,8,0,3.17738882152713,0,0.0165588106276236
45,8,0,3.17738882152713,0,0.0165588106276236
50,8,0,3.17738882152713,0,0.0165588106276217
55,8,0,3.17738882152713,0,0.0165588106276236
60,8,0,3.17738882152713,0,0.0165588106276245
65,8,0,3.17738882152713,0,0.0165588106276236
70,8,0,3.17738882152713,0,0.0165588106276217
75,8,0,3.17738882152713,0,0.0165588106276226
80,8,0,3.17738882152713,0,0.0165588106276226
85,8,0,3.17738882152713,0,0.0165588106276226
90,8,0,3.17738882152713,0,0.0165588106276226
0,8,5,4.07630037378458,5,0.915470362885072
5,8,5,4.0755908393822,5,0.914760828482693
10,8,5,4.06795551732432,5,0.907125506424814
15,8,5,4.0534003435316,5,0.892570332632094
20,8,5,4.03196400762009,5,0.871133996720588
25,8,5,4.00372064331171,5,0.842890632412208
30,8,5,3.96878302556232,5,0.807953014662818
35,8,5,3.92730613777087,5,0.766476126871371
40,8,5,3.87949094484554,5,0.718660933946039
45,8,5,3.82558817960491,5,0.664758168705411
50,8,5,3.76590192139559,5,0.605071910496085
55,8,5,3.70079271808633,5,0.539962707186825
60,8,5,3.63067997787696,5,0.469849966977459
65,8,5,3.55604333886505,5,0.395213327965545
70,8,5,3.47742271641966,5,0.316592705520154
75,8,5,3.39541673649703,5,0.234586725597527
80,8,5,3.31067929305376,5,0.149849282154252
85,8,5,3.22391402542053,5,0.0630840145210244
90,8,5,3.13586660129097,5,-0.024963409608532
0,8,10,4.78637938078732,10,1.62554936988782
5,8,10,4.78668018793405,10,1.62585017703454
10,8,10,4.77520088300588,10,1.61437087210638
15,8,10,4.75177969809947,10,1.59094968719996
20,8,10,4.71624707800301,10,1.55541706710351
25,8,10,4.66843750793768,10,1.50760749703818
30,8,10,4.60820382266595,10,1.44737381176645
35,8,10,4.53543389625057,10,1.37460388535106
40,8,10,4.45006962328792,10,1.28923961238842
45,8,10,4.35212809550486,10,1.19129808460536
50,8,10,4.24172484109617,10,1.08089483019667
55,8,10,4.11909890793445,10,0.958268897034945
60,8,10,3.98463940758705,10,0.82380939668755
65,8,10,3.83891286312684,10,0.678082852227335
70,8,10,3.68269029262398,10,0.521860281724479
75,8,10,3.51697240023495,10,0.356142389335449
80,8,10,3.3430105561598,10,0.182180545260296
