"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,3.89728466124318,0,0.860218017070704
5,8,0,3.89728466124319,0,0.860218017070707
10,8,0,3.89728466124319,0,0.860218017070707
15,8,0,3.89728466124319,0,0.860218017070705
20,8,0,3.89728466124319,0,0.860218017070707
25,8,0,3.89728466124319,0,0.860218017070707
30,8,0,3.89728466124319,0,0.860218017070705
35,8,0,3.89728466124319,0,0.860218017070708
40,8,0,3.89728466124319,0,0.860218017070708
45,8,0,3.89728466124319,0,0.860218017070707
50,8,0,3.89728466124319,0,0.860218017070707
55,8,0,3.89728466124319,0,0.860218017070707
60,8,0,3.89728466124319,0,0.860218017070708
65,8,0,3.89728466124319,0,0.860218017070708
70,8,0,3.89728466124319,0,0.860218017070707
75,8,0,3.89728466124319,0,0.860218017070708
80,8,0,3.89728466124319,0,0.860218017070707
85,8,0,3.89728466124319,0,0.860218017070707
90,8,0,3.89728466124319,0,0.860218017070707
0,8,5,4.30559339187841,5,1.26852674770593
5,8,5,4.30575972806556,5,1.26869308389308
10,8,5,4.30306682847208,5,1.2660001842996
15,8,5,4.29746153545008,5,1.2603948912776
20,8,5,4.28889001577986,5,1.25182337160738
25,8,5,4.27730114329937,5,1.24023449912689
30,8,5,4.26265055015427,5,1.22558390598179
35,8,5,4.24490523801742,5,1.20783859384494
40,8,5,4.22404861938678,5,1.1869819752143
45,8,5,4.20008583557777,5,1.16301919140529
50,8,5,4.17304917265008,5,1.1359825284776
55,8,5,4.14300337030088,5,1.1059367261284
60,8,5,4.11005059347498,5,1.0729839493025
65,8,5,4.07433481455758,5,1.0372681703851
70,8,5,4.03604533868391,5,0.998978694511434
75,8,5,3.9954191996732,5,0.958352555500717
80,8,5,3.95274216351468,5,0.915675519342198
85,8,5,3.90834810437056,5,0.871281460198082
90,8,5,3.86261656834156,5,0.825549924169077
0,8,10,4.53136499183455,10,1.49429834766207
5,8,10,4.53500678507653,10,1.49794014090405
10,8,10,4.53525888115265,10,1.49819223698017
15,8,10,4.53184130892337,10,1.49477466475089
20,8,10,4.52440670058602,10,1.48734005641354
25,8,10,4.51255130423991,10,1.47548466006743
30,8,10,4.49582828740904,10,1.45876164323656
35,8,10,4.47376343966312,10,1.43669679549064
40,8,10,4.44587336456456,10,1.40880672039208
45,8,10,4.41168618392115,10,1.37461953974867
50,8,10,4.3707646708739,10,1.33369802670142
55,8,10,4.32273159023114,10,1.28566494605866
60,8,10,4.26729685571244,10,1.23023021153996
65,8,10,4.20428590790965,10,1.16721926373717
70,8,10,4.13366846212098,10,1.0966018179485
75,8,10,4.05558646039694,10,1.01851981622446
80,8,10,3.97037968430567,10,0.933313040133191
85,8,10,3.87860705983283,10,0.841540415660355
90,8,10,3.78106125852028,10,0.743994614347803
0,8,15,4.57706167890874,15,1.53999503473626
5,8,15,4.58565841741132,15,1.54859177323884
10,8,15,4.59298665535366,15,1.55592001118118
15,8,15,4.59844212417636,15,1.56137548000388
20,8,15,4.60123962074838,15,1.5641729765759
25,8,15,4.60042734233531,15,1.56336069816283
30,8,15,4.59490468808951,15,1.55783804391703
35,8,15,4.58344501749476,15,1.54637837332228
40,8,15,4.56472441969278,15,1.5276577755203
45,8,15,4.53735699394577,15,1.50029034977329
50,8,15,4.49993668538173,15,1.46287004120925
55,8,15,4.45108550206682,15,1.41401885789434
60,8,15,4.3895079869159,15,1.35244134274342
65,8,15,4.3140520439874,15,1.27698539981492
70,8,15,4.22377644787117,15,1.18670980369869
75,8,15,4.11802537069052,15,1.08095872651804
80,8,15,3.99650980022949,15,0.959443156057014
85,8,15,3.85939455983978,15,0.822327915667303
90,8,15,3.70738757403149,15,0.670320929859015
0,8,20,4.45462407885982,20,1.41755743468734
5,8,20,4.46785687559053,20,1.43079023141805
10,8,20,4.48452151963145,20,1.44745487545897
15,8,20,4.50368163271738,20,1.4666149885449
20,8,20,4.52407508177418,20,1.4870084376017
25,8,20,4.54411745445201,20,1.50705081027953
30,8,20,4.5619140848593,20,1.52484744068682
35,8,20,4.57528634960949,20,1.53821970543701
40,8,20,4.58181411512524,20,1.54474747095276
45,8,20,4.57889240228796,20,1.54182575811548
50,8,20,4.56379792733301,20,1.52673128316053
55,8,20,4.53376089828417,20,1.49669425411169
60,8,20,4.48603920799572,20,1.44897256382324
65,8,20,4.41799526131898,20,1.3809286171465
70,8,20,4.32717913905712,20,1.29011249488464
75,8,20,4.21142474864246,20,1.17435810446998
80,8,20,4.06896741459272,20,1.03190077042024
85,8,20,3.89859163998117,20,0.861524995808689
90,8,20,3.69981620271346,20,0.662749558540985
0,8,25,4.18659563767611,25,1.14952899350363
5,8,25,4.20300196788895,25,1.16593532371647
10,8,25,4.22964888641259,25,1.19258224224011
15,8,25,4.26536052458908,25,1.2282938804166
20,8,25,4.30846074690079,25,1.27139410272831
25,8,25,4.35672903231543,25,1.31966238814295
30,8,25,4.40738748516728,25,1.3703208409948
35,8,25,4.45713731860708,25,1.4200706744346
40,8,25,4.50224496581896,25,1.46517832164648
45,8,25,4.53866157888728,25,1.5015949347148
50,8,25,4.56215126685838,25,1.5250846226859
55,8,25,4.56840514817529,25,1.53133850400281
60,8,25,4.55312806998413,25,1.51606142581165
65,8,25,4.51209816915531,25,1.47503152498283
70,8,25,4.4412117594544,25,1.40414511528192
75,8,25,4.33653438272706,25,1.29946773855458
80,8,25,4.19438244744255,25,1.15731580327007
85,8,25,4.01145970602691,25,0.974393061854432
90,8,25,3.78507100050429,25,0.748004356331809
0,8,30,3.80567331800922,30,0.768606673836739
5,8,30,3.82346871732441,30,0.786402073151932
10,8,30,3.85936900106886,30,0.822302356896379
