"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,4.21330595121197,0,1.40427946342919
5,8,0,4.21330595121197,0,1.40427946342919
10,8,0,4.21330595121198,0,1.40427946342919
15,8,0,4.21330595121197,0,1.40427946342919
20,8,0,4.21330595121197,0,1.40427946342919
25,8,0,4.21330595121198,0,1.40427946342919
30,8,0,4.21330595121198,0,1.40427946342919
35,8,0,4.21330595121197,0,1.40427946342919
40,8,0,4.21330595121197,0,1.40427946342919
45,8,0,4.21330595121198,0,1.40427946342919
50,8,0,4.21330595121198,0,1.40427946342919
55,8,0,4.21330595121197,0,1.40427946342919
60,8,0,4.21330595121198,0,1.40427946342919
65,8,0,4.21330595121198,0,1.40427946342919
70,8,0,4.21330595121197,0,1.40427946342919
75,8,0,4.21330595121198,0,1.40427946342919
80,8,0,4.21330595121197,0,1.40427946342919
85,8,0,4.21330595121197,0,1.40427946342919
90,8,0,4.21330595121198,0,1.40427946342919
0,8,5,4.51036936695365,5,1.70134287917086
5,8,5,4.50968642568766,5,1.70065993790488
10,8,5,4.50682269715962,5,1.69779620937684
15,8,5,4.5017447122258,5,1.69271822444301
20,8,5,4.49441477600629,5,1.6853882882235
25,8,5,4.48479378030775,5,1.67576729252497
30,8,5,4.47284478642276,5,1.66381829863997
35,8,5,4.45853726561615,5,1.64951077783336
40,8,5,4.44185185477585,5,1.63282536699306
45,8,5,4.42278545481492,5,1.61375896703213
50,8,5,4.40135647021888,5,1.59232998243609
55,8,5,4.37760996089359,5,1.5685834731108
60,8,5,4.35162245399556,5,1.54259596621278
65,8,5,4.32350614612347,5,1.51447965834068
70,8,5,4.29341221809203,5,1.48438573030924
75,8,5,4.26153298893689,5,1.4525065011541
80,8,5,4.2281026564609,5,1.41907616867812
85,8,5,4.19339641196678,5,1.384369924184
90,8,5,4.15772777942902,5,1.34870129164624
0,8,10,4.63346927910985,10,1.82444279132706
5,8,10,4.63454988486974,10,1.82552339708696
10,8,10,4.63345170781499,10,1.8244252200322
15,8,10,4.62996750839535,10,1.82094102061257
20,8,10,4.62380637957504,10,1.81477989179226
25,8,10,4.61460399594919,10,1.80557750816641
30,8,10,4.60193625957354,10,1.79290977179075
35,8,10,4.58533625072618,10,1.7763097629434
40,8,10,4.56431432825624,10,1.75528784047346
45,8,10,4.53838114082539,10,1.7293546530426
50,8,10,4.50707320925147,10,1.69804672146868
55,8,10,4.46998061881166,10,1.66095413102887
60,8,10,4.42677621039169,10,1.6177497226089
65,8,10,4.37724546789807,10,1.56821898011528
70,8,10,4.32131605318396,10,1.51228956540117
75,8,10,4.25908563195098,10,1.45005914416819
80,8,10,4.19084627217681,10,1.38181978439402
85,8,10,4.11710331113762,10,1.30807682335484
90,8,10,4.03858623939662,10,1.22955975161383
0,8,15,4.58646727577664,15,1.77744078799385
5,8,15,4.59059036182715,15,1.78156387404437
10,8,15,4.59543856308483,15,1.78641207530204
15,8,15,4.60053527577397,15,1.79150878799118
20,8,15,4.6051656439093,15,1.79613915612652
25,8,15,4.60839375634673,15,1.79936726856395
30,8,15,4.60908694005016,15,1.80006045226737
35,8,15,4.60594741098298,15,1.7969209232002
40,8,15,4.59755114401325,15,1.78852465623046
45,8,15,4.58239347648366,15,1.77336698870088
50,8,15,4.5589408100152,15,1.74991432223242
55,8,15,4.52568788334543,15,1.71666139556264
60,8,15,4.48122040270475,15,1.67219391492197
65,8,15,4.42428317715729,15,1.6152566893745
70,8,15,4.35385409349274,15,1.54482760570996
75,8,15,4.26922404783442,15,1.46019756005164
80,8,15,4.17008212816921,15,1.36105564038643
85,8,15,4.05660376019626,15,1.24757727241348
90,8,15,3.92953709183849,15,1.12051060405571
0,8,20,4.38258042318458,20,1.57355393540179
5,8,20,4.38982627436869,20,1.5807997865859
10,8,20,4.40379069228982,20,1.59476420450703
15,8,20,4.42369626581143,20,1.61466977802865
20,8,20,4.44830097416535,20,1.63927448638256
25,8,20,4.47591697521761,20,1.66689048743483
30,8,20,4.50444624085385,20,1.69541975307106
35,8,20,4.53143440087985,20,1.72240791309706
40,8,20,4.55414068318924,20,1.74511419540646
45,8,20,4.56961893315063,20,1.76059244536785
50,8,20,4.57480363618276,20,1.76577714839998
55,8,20,4.56659618930044,20,1.75756970151765
60,8,20,4.54194994151264,20,1.73292345372985
65,8,20,4.49795660738372,20,1.68893011960094
70,8,20,4.43194024624592,20,1.62291375846313
75,8,20,4.34156714200579,20,1.532540654223
80,8,20,4.22498024752909,20,1.4159537597463
85,8,20,4.08096543617294,20,1.27193894839015
90,8,20,3.90915370102827,20,1.10012721324548
0,8,25,4.04547316924314,25,1.23644668146035
5,8,25,4.05479820948921,25,1.24577172170642
10,8,25,4.07945959439421,25,1.27043310661143
15,8,25,4.11846552509248,25,1.30943903730969
20,8,25,4.17005070218985,25,1.36102421440706
25,8,25,4.23167000191468,25,1.4226435141319
30,8,25,4.30004255884983,25,1.49101607106705
35,8,25,4.37125403653259,25,1.56222754874981
40,8,25,4.44090616981719,25,1.63187968203441
45,8,25,4.50428734041362,25,1.69526085263084
50,8,25,4.55653303083876,25,1.74750654305597
55,8,25,4.59275244596342,25,1.78372595818063
60,8,25,4.60811362554127,25,1.79908713775848
65,8,25,4.59789702173367,25,1.78887053395088
70,8,25,4.55754041849584,25,1.74851393071305
75,8,25,4.48270323469515,25,1.67367674691237
80,8,25,4.36937658510834,25,1.56035009732555
85,8,25,4.21406042848339,25,1.4050339407006
90,8,25,4.01402467009702,25,1.20499818231424
0,8,30,3.60797345055402,30,0.798946962771231
5,8,30,3.61719838565755,30,0.808171897874765
10,8,30,3.65174621251119,30,0.842719724728403
15,8,30,3.7107594962573,30,0.901733008474514
20,8,30,3.79221394084894,30,0.983187453066152
25,8,30,3.89278523745827,30,1.08375874967548
30,8,30,4.00786676929853,30,1.19884028151574
35,8,30,4.1317728932681,30,1.32274640548531
40,8,30,4.2580873172584,30,1.44906082947562
45,8,30,4.38005829142989,30,1.57103180364711
50,8,30,4.49092989582959,30,1.68190340804681
55,8,30,4.5841337798741,30,1.77510729209131
60,8,30,4.65332664504874,30,1.84430015726596
65,8,30,4.69231576981547,30,1.88328928203268
70,8,30,4.69494665770778,30,1.88592016992499
75,8,30,4.65502831189157,30,1.84600182410878
80,8,30,4.56635112597611,30,1.75732463819332
85,8,30,4.42282432744516,30,1.61379783966238
90,8,30,4.21873818080463,30,1.40971169302185
0,8,35,3.10729653417045,35,0.298270046387666
5,8,35,3.11311878683995,35,0.304092299057164
10,8,35,3.15370686121887,35,0.34468037343608
15,8,35,3.22914120104919,35,0.420114713266401
20,8,35,3.33789028005537,35,0.528863792272582
25,8,35,3.47628648760216,35,0.667259999819376
30,8,35,3.63840624635315,35,0.829379758570366
35,8,35,3.81646771315758,35,1.00744122537479
40,8,35,4.00161840920482,35,1.19259192142204
45,8,35,4.1848159224308,35,1.37578943464802
50,8,35,4.35749231695969,35,1.5484658291769
55,8,35,4.5118211541517,35,1.70279466636892
60,8,35,4.64058777923998,35,1.83156129145719
65,8,35,4.73680708381743,35,1.92778059603465
70,8,35,4.79329035022894,35,1.98426386244615
75,8,35,4.80233719983116,35,1.99331071204838
80,8,35,4.75565361351044,35,1.94662712572765
85,8,35,4.64451088968833,35,1.83548440190554
90,8,35,4.4600929199997,35,1.65106643221691
0,8,40,2.57728912868953,40,-0.231737359093254
5,8,40,2.57567975947699,40,-0.233346728305797
10,8,40,2.61580074060705,40,-0.193225747175732
15,8,40,2.69997718268428,40,-0.10904930509851
20,8,40,2.82847869103968,40,0.0194522032568923
25,8,40,2.99811917538726,40,0.189092687604474
30,8,40,3.20179329967102,40,0.392766811888232
35,8,40,3.42923768281174,40,0.620211195028952
40,8,40,3.66867191403474,40,0.859645426251956
45,8,40,3.90857363384122,40,1.09954714605844
50,8,40,4.13887928681094,40,1.32985279902816
55,8,40,4.35126903808306,40,1.54224255030028
60,8,40,4.53862665346362,40,1.72960016568084
65,8,40,4.69405253350854,40,1.88502604572576
70,8,40,4.80988020662203,40,2.00085371883924
75,8,40,4.87704591462333,40,2.06801942684054
80,8,40,4.88497505202993,40,2.07594856424714
85,8,40,4.82195651541475,40,2.01293002763197
90,8,40,4.67582856952119,40,1.8668020817384
0,8,45,2.04073719301052,45,-0.768289294772269
5,8,45,2.02794360475954,45,-0.78108288302325
10,8,45,2.06035901662029,45,-0.748667471162499
15,8,45,2.144069860028,45,-0.66495662775479
20,8,45,2.28267752725476,45,-0.526348960528023
25,8,45,2.47437952356192,45,-0.334646964220866
30,8,45,2.71092360284905,45,-0.0981028849337393
35,8,45,2.97903070058207,45,0.17000421279928
40,8,45,3.26348392226877,45,0.454457434485985
45,8,45,3.55029745442471,45,0.741270966641924
50,8,45,3.8286116259679,45,1.01958513818511
55,8,45,4.09080565909392,45,1.28177917131113
60,8,45,4.33115592837181,45,1.52212944058903
65,8,45,4.54383651559059,45,1.7348100278078
70,8,45,4.72111069405542,45,1.91208420627263
75,8,45,4.8523182167637,45,2.04329172898092
80,8,45,4.9238902139543,45,2.11486372617151
85,8,45,4.92025663028926,45,2.11123014250648
90,8,45,4.82524378911211,45,2.01621730132932
0,8,50,1.50587448266891,50,-1.30315200511387
5,8,50,1.47970689480236,50,-1.32931959298043
10,8,50,1.49929384926349,50,-1.3097326385193
15,8,50,1.57565892484273,50,-1.23336756294006
20,8,50,1.71681377937374,50,-1.09221270840905
25,8,50,1.92271572324354,50,-0.88631076453925
30,8,50,2.18353425508191,50,-0.62549223270088
35,8,50,2.48223258890852,50,-0.326793898874263
40,8,50,2.79980571590107,50,-0.00922077188171756
45,8,50,3.12026720030665,50,0.311240712523862
50,8,50,3.43321179247349,50,0.624185304690706
55,8,50,3.73338821512788,50,0.924361727345092
60,8,50,4.01804515088643,50,1.20901866310365
65,8,50,4.28345284570583,50,1.47442635792304
