"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,4.00673642302829,0,0.686795181987818
5,8,0,4.00673642302829,0,0.686795181987821
10,8,0,4.0067364230283,0,0.686795181987823
15,8,0,4.0067364230283,0,0.686795181987823
20,8,0,4.0067364230283,0,0.686795181987823
25,8,0,4.0067364230283,0,0.686795181987826
30,8,0,4.0067364230283,0,0.686795181987823
35,8,0,4.0067364230283,0,0.686795181987822
40,8,0,4.0067364230283,0,0.686795181987823
45,8,0,4.0067364230283,0,0.686795181987823
50,8,0,4.0067364230283,0,0.686795181987824
55,8,0,4.0067364230283,0,0.686795181987823
60,8,0,4.0067364230283,0,0.686795181987823
65,8,0,4.0067364230283,0,0.686795181987823
70,8,0,4.0067364230283,0,0.686795181987822
75,8,0,4.0067364230283,0,0.686795181987825
80,8,0,4.00673642302829,0,0.686795181987821
85,8,0,4.0067364230283,0,0.686795181987822
90,8,0,4.0067364230283,0,0.686795181987822
0,8,5,4.33140079247066,5,1.01145955143019
5,8,5,4.31959367990193,5,0.999652438861454
10,8,5,4.305564937344,5,0.985623696303526
15,8,5,4.28938312061865,5,0.969441879578178
20,8,5,4.27111113874213,5,0.951169897701653
25,8,5,4.25080757320642,5,0.930866332165945
30,8,5,4.22852878669282,5,0.908587545652352
35,8,5,4.2043317541878,5,0.884390513147331
40,8,5,4.17827752485569,5,0.858336283815218
45,8,5,4.15043519587795,5,0.830493954837473
50,8,5,4.12088624941599,5,0.800945008375519
55,8,5,4.08972907134946,5,0.769787830308983
60,8,5,4.05708343699078,5,0.737142195950311
65,8,5,4.02309471724874,5,0.703153476208267
70,8,5,3.98793753250193,5,0.667996291461462
75,8,5,3.95181856545694,5,0.631877324416463
80,8,5,3.9149782437308,5,0.595037002690327
85,8,5,3.87769102297104,5,0.557749781930565
90,8,5,3.84026404632879,5,0.520322805288322
0,8,10,4.49179322984498,10,1.17185198880451
5,8,10,4.47106511294109,10,1.15112387190062
10,8,10,4.44800322146537,10,1.1280619804249
15,8,10,4.42264426825556,10,1.10270302721509
20,8,10,4.39494624970924,10,1.07500500866877
25,8,10,4.36479427292554,10,1.04485303188507
30,8,10,4.33200866964531,10,1.01206742860484
35,8,10,4.29635538808329,10,0.976414147042821
40,8,10,4.25755881095754,10,0.937617569917064
45,8,10,4.2153172651169,10,0.89537602407643
50,8,10,4.16932152499315,10,0.849380283952677
55,8,10,4.11927653741112,10,0.79933529637065
60,8,10,4.06492639219317,10,0.744985151152697
65,8,10,4.00608223147444,10,0.686140990433966
70,8,10,3.94265234704643,10,0.622711106005957
75,8,10,3.87467318958579,10,0.55473194854532
80,8,10,3.80233944785082,10,0.482398206810352
85,8,10,3.72603080217662,10,0.406089561136146
90,8,10,3.64633248072386,10,0.326391239683386
0,8,15,4.49097528341584,15,1.17103404237537
5,8,15,4.46442972923925,15,1.14448848819877
10,8,15,4.43792186786826,15,1.11798062682779
15,8,15,4.41133788440469,15,1.09139664336422
20,8,15,4.38437496633712,15,1.06443372529665
25,8,15,4.35655811142453,15,1.03661687038406
30,8,15,4.32725542398626,15,1.00731418294579
35,8,15,4.29569147056164,15,0.975750229521162
40,8,15,4.26095974123688,15,0.94101850019641
45,8,15,4.22203663639926,15,0.902095395358787
50,8,15,4.17780038918697,15,0.857859148146495
55,8,15,4.12705873210676,15,0.807117491066285
60,8,15,4.06858883121283,15,0.748647590172362
65,8,15,4.00119208507201,15,0.681250844031539
70,8,15,3.92376496831248,15,0.60382372727201
75,8,15,3.83538538634698,15,0.515444145306512
80,8,15,3.73541215929382,15,0.415470918253345
85,8,15,3.62359332296369,15,0.303652081923212
90,8,15,3.50017683854558,15,0.180235597505107
0,8,20,4.33872836671728,20,1.01878712567681
5,8,20,4.30907608308601,20,0.989134842045539
10,8,20,4.28416214911023,20,0.964220908069761
15,8,20,4.26350530228651,20,0.94356406124604
20,8,20,4.24634422701552,20,0.926402985975049
25,8,20,4.23168862669763,20,0.911747385657155
30,8,20,4.21835134598471,20,0.898410104944239
35,8,20,4.20495840359754,20,0.88501716255707
40,8,20,4.18993923611696,20,0.869997995076491
45,8,20,4.17150472389603,20,0.851563482855555
50,8,20,4.14762463112457,20,0.827683390084102
55,8,20,4.11601806772579,20,0.796076826685313
60,8,20,4.07417002459212,20,0.754228783551647
65,8,20,4.01938413088452,20,0.699442889844051
70,8,20,3.94887736231257,20,0.628936121272094
75,8,20,3.85991772830037,20,0.539976487259895
80,8,20,3.75000219797013,20,0.430060956929657
