"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,3.35453883759327,0,-1.85141300615939
5,8,0,3.35453883759327,0,-1.85141300615939
10,8,0,3.35453883759327,0,-1.85141300615939
15,8,0,3.35453883759327,0,-1.85141300615939
20,8,0,3.35453883759327,0,-1.85141300615939
25,8,0,3.35453883759327,0,-1.85141300615939
30,8,0,3.35453883759327,0,-1.85141300615939
35,8,0,3.35453883759327,0,-1.85141300615939
40,8,0,3.35453883759327,0,-1.85141300615939
45,8,0,3.35453883759327,0,-1.85141300615939
50,8,0,3.35453883759327,0,-1.85141300615939
55,8,0,3.35453883759327,0,-1.85141300615939
60,8,0,3.35453883759327,0,-1.85141300615939
65,8,0,3.35453883759327,0,-1.85141300615939
70,8,0,3.35453883759327,0,-1.85141300615939
75,8,0,3.35453883759327,0,-1.85141300615938
80,8,0,3.35453883759327,0,-1.85141300615939
85,8,0,3.35453883759327,0,-1.85141300615939
90,8,0,3.35453883759327,0,-1.85141300615938
0,8,5,2.24955917281414,5,-2.95639267093851
5,8,5,2.25454272241771,5,-2.95140912133494
10,8,5,2.26971431448802,5,-2.93623752926464
15,8,5,2.29483144811087,5,-2.91112039564179
20,8,5,2.32949393777202,5,-2.87645790598064
25,8,5,2.37315607701176,5,-2.8327957667409
30,8,5,2.42514287855842,5,-2.78080896519424
35,8,5,2.48466958606841,5,-2.72128225768425
40,8,5,2.55086353315974,5,-2.65508831059291
45,8,5,2.62278737258911,5,-2.58316447116354
50,8,5,2.69946270881352,5,-2.50648913493914
55,8,5,2.7798932316383,5,-2.42605861211436
60,8,5,2.86308655440293,5,-2.34286528934973
65,8,5,2.94807409311554,5,-2.25787775063712
70,8,5,3.03392846978741,5,-2.17202337396525
75,8,5,3.11977807283948,5,-2.08617377091317
80,8,5,3.20481855175113,5,-2.00113329200153
85,8,5,3.28832115707539,5,-1.91763068667726
90,8,5,3.36963795814985,5,-1.83631388560281
0,8,10,0.769944500712171,10,-4.43600734304049
5,8,10,0.783189027708517,10,-4.42276281604414
10,8,10,0.825356619185746,10,-4.38059522456691
15,8,10,0.895390063517674,10,-4.31056178023498
20,8,10,0.991550940487732,10,-4.21440090326492
25,8,10,1.11150937856815,10,-4.0944424651845
30,8,10,1.25245860725423,10,-3.95349323649843
35,8,10,1.41124382550742,10,-3.79470801824524
40,8,10,1.58449501422407,10,-3.62145682952859
45,8,10,1.76875473936835,10,-3.43719710438431
50,8,10,1.96059420675738,10,-3.24535763699528
55,8,10,2.15671329247734,10,-3.04923855127532
60,8,10,2.35402253899548,10,-2.85192930475718
65,8,10,2.54970689598309,10,-2.65624494776957
70,8,10,2.74127218411654,10,-2.46467965963611
75,8,10,2.92657588956566,10,-2.27937595418699
80,8,10,3.10384406099136,10,-2.1021077827613
85,8,10,3.2716759251964,10,-1.93427591855626
90,8,10,3.42903751681742,10,-1.77691432693523
0,8,15,-1.13424517137198,15,-6.34019701512463
5,8,15,-1.10872112641961,15,-6.31467297017227
10,8,15,-1.02119067291251,15,-6.22714251666517
15,8,15,-0.87497785387786,15,-6.08092969763052
20,8,15,-0.675512771569898,15,-5.88146461532256
25,8,15,-0.429841562202164,15,-5.63579340595482
30,8,15,-0.146057952501502,15,-5.35200979625416
35,8,15,0.167254814038418,15,-5.03869702971424
40,8,15,0.501507007260886,15,-4.70444483649177
45,8,15,0.848477213431583,15,-4.35747463032107
50,8,15,1.20057347257478,15,-4.00537837117788
55,8,15,1.55099382585434,15,-3.65495801789832
60,8,15,1.89380823382282,15,-3.31214360992984
65,8,15,2.22398541273259,15,-2.98196643102007
70,8,15,2.53738534779745,15,-2.66856649595521
75,8,15,2.83073344921122,15,-2.37521839454144
80,8,15,3.10158703761015,15,-2.10436480614251
85,8,15,3.34829988743272,15,-1.85765195631993
90,8,15,3.5699862720803,15,-1.63596557167236
0,8,20,-3.52428514417317,20,-8.73023698792583
5,8,20,-3.480617890368,20,-8.68656973412065
10,8,20,-3.31487935049455,20,-8.52083119424721
15,8,20,-3.03746760149576,20,-8.24341944524841
20,8,20,-2.66475481169513,20,-7.87070665544779
