"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,3.96722547153266,0,-1.83376782436802
5,8,0,3.96722547153266,0,-1.83376782436802
10,8,0,3.96722547153266,0,-1.83376782436802
15,8,0,3.96722547153266,0,-1.83376782436802
20,8,0,3.96722547153266,0,-1.83376782436802
25,8,0,3.96722547153266,0,-1.83376782436802
30,8,0,3.96722547153266,0,-1.83376782436802
35,8,0,3.96722547153266,0,-1.83376782436802
40,8,0,3.96722547153266,0,-1.83376782436802
45,8,0,3.96722547153266,0,-1.83376782436802
50,8,0,3.96722547153266,0,-1.83376782436802
55,8,0,3.96722547153266,0,-1.83376782436802
60,8,0,3.96722547153266,0,-1.83376782436802
65,8,0,3.96722547153266,0,-1.83376782436802
70,8,0,3.96722547153266,0,-1.83376782436802
75,8,0,3.96722547153266,0,-1.83376782436802
80,8,0,3.96722547153266,0,-1.83376782436802
85,8,0,3.96722547153266,0,-1.83376782436802
90,8,0,3.96722547153266,0,-1.83376782436802
0,8,5,3.41904009493205,5,-2.38195320096863
5,8,5,3.41863675955665,5,-2.38235653634403
10,8,5,3.42109545904566,5,-2.37989783685502
15,8,5,3.42668506793411,5,-2.37430822796657
20,8,5,3.4356436318971,5,-2.36534966400358
25,8,5,3.44816874237482,5,-2.35282455352586
30,8,5,3.46440895740795,5,-2.33658433849273
35,8,5,3.48445648703981,5,-2.31653680886087
40,8,5,3.50834132198432,5,-2.29265197391636
45,8,5,3.53602694261094,5,-2.26496635328974
50,8,5,3.56740770176014,5,-2.23358559414054
55,8,5,3.60230792950914,5,-2.19868536639154
60,8,5,3.64048276104789,5,-2.16051053485279
65,8,5,3.68162064112844,5,-2.11937265477224
70,8,5,3.72534741166056,5,-2.07564588424012
75,8,5,3.77123184515665,5,-2.02976145074403
80,8,5,3.81879244854073,5,-1.98220084735995
85,8,5,3.86750533202734,5,-1.93348796387334
90,8,5,3.91681291861092,5,-1.88418037728976
0,8,10,2.7270834889286,10,-3.07390980697207
5,8,10,2.69527538208264,10,-3.10571791381804
10,8,10,2.66862863917268,10,-3.132364656728
15,8,10,2.64844473030893,10,-3.15254856559175
20,8,10,2.63592500228735,10,-3.16506829361333
25,8,10,2.6321379608581,10,-3.16885533504258
30,8,10,2.63799016532311,10,-3.16300313057757
35,8,10,2.65420078496672,10,-3.14679251093396
40,8,10,2.68127992773593,10,-3.11971336816475
45,8,10,2.71951105757327,10,-3.08148223832741
50,8,10,2.76893809058521,10,-3.03205520531547
55,8,10,2.82935799109329,10,-2.97163530480739
60,8,10,2.90031976618579,10,-2.90067352971489
