"Phi [deg]","Freq [GHz]","Theta [deg]","dB(GainTotal) []","Theta [deg]","dB(RealizedGainTotal) []"
0,8,0,3.18844467126906,0,-2.97759258478136
5,8,0,3.18844467126906,0,-2.97759258478136
10,8,0,3.18844467126906,0,-2.97759258478135
15,8,0,3.18844467126906,0,-2.97759258478136
20,8,0,3.18844467126906,0,-2.97759258478136
25,8,0,3.18844467126906,0,-2.97759258478136
30,8,0,3.18844467126906,0,-2.97759258478136
35,8,0,3.18844467126906,0,-2.97759258478136
40,8,0,3.18844467126906,0,-2.97759258478136
45,8,0,3.18844467126906,0,-2.97759258478136
50,8,0,3.18844467126906,0,-2.97759258478136
55,8,0,3.18844467126906,0,-2.97759258478136
60,8,0,3.18844467126906,0,-2.97759258478136
65,8,0,3.18844467126906,0,-2.97759258478136
70,8,0,3.18844467126906,0,-2.97759258478136
75,8,0,3.18844467126906,0,-2.97759258478136
80,8,0,3.18844467126906,0,-2.97759258478136
85,8,0,3.18844467126906,0,-2.97759258478136
90,8,0,3.18844467126906,0,-2.97759258478136
0,8,5,3.31321777553104,5,-2.85281948051938
5,8,5,3.31127749049429,5,-2.85475976555613
10,8,5,3.30942057408785,5,-2.85661668196257
15,8,5,3.30763613163449,5,-2.85840112441593
20,8,5,3.3058686818798,5,-2.86016857417061
25,8,5,3.30402021748812,5,-2.8620170385623
30,8,5,3.30195371350479,5,-2.86408354254563
35,8,5,3.29949797710731,5,-2.86653927894311
40,8,5,3.29645369466196,5,-2.86958356138846
45,8,5,3.2926005024128,5,-2.87343675363761
50,8,5,3.28770488564814,5,-2.87833237040227
55,8,5,3.28152869775321,5,-2.88450855829721
60,8,5,3.27383808428967,5,-2.89219917176075
65,8,5,3.2644125966663,5,-2.90162465938412
70,8,5,3.25305428317715,5,-2.91298297287327
75,8,5,3.23959655008306,5,-2.92644070596735
80,8,5,3.22391258995851,5,-2.94212466609191
85,8,5,3.20592317701351,5,-2.9601140790369
90,8,5,3.18560362842534,5,-2.98043362762508
0,8,10,3.1633659037379,10,-3.00267135231252
5,8,10,3.15854562171416,10,-3.00749163433626
10,8,10,3.15761013857702,10,-3.0084271174734
15,8,10,3.16047605980636,10,-3.00556119624406
20,8,10,3.16686811672997,10,-2.99916913932045
25,8,10,3.17632943362698,10,-2.98970782242343
30,8,10,3.18823778362153,10,-2.97779947242888
35,8,10,3.20182689268009,10,-2.96421036337033
40,8,10,3.21621168093392,10,-2.9498255751165
45,8,10,3.23041625696758,10,-2.93562099908283
50,8,10,3.24340350462238,10,-2.92263375142804
55,8,10,3.25410521581049,10,-2.91193204023993
60,8,10,3.26145191094586,10,-2.90458534510456
65,8,10,3.26440172762321,10,-2.90163552842721
70,8,10,3.26196801959256,10,-2.90406923645786
75,8,10,3.25324556095609,10,-2.91279169509433
80,8,10,3.23743546469886,10,-2.92860179135155
85,8,10,3.21386907374685,10,-2.95216818230357
90,8,10,3.18203114636778,10,-2.98400610968264
0,8,15,2.78498099980179,15,-3.38105625624863
5,8,15,2.77775194772764,15,-3.38828530832278
10,8,15,2.78136834444621,15,-3.38466891160421
15,8,15,2.79553415924114,15,-3.37050309680928
20,8,15,2.81950265023524,15,-3.34653460581518
25,8,15,2.85211606519799,15,-3.31392119085242
30,8,15,2.8918606347499,15,-3.27417662130052
35,8,15,2.93693221312281,15,-3.2291050429276
40,8,15,2.98530759820584,15,-3.18072965784458
45,8,15,3.03481671684691,15,-3.1312205392035
50,8,15,3.0832114557554,15,-3.08282580029502
55,8,15,3.12822786815452,15,-3.0378093878959
60,8,15,3.16763967152493,15,-2.99839758452549
65,8,15,3.19930223808517,15,-2.96673501796525
70,8,15,3.22118753867699,15,-2.94484971737342
75,8,15,3.23141162166505,15,-2.93462563438536
80,8,15,3.22825710157135,15,-2.93778015447906
